year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,male,,,,,,,,,,,,
1984,No migration background,female,,,,,,,,,,,,
1984,Direct migration background,male,,,,,,,,,,,,
1984,Direct migration background,female,,,,,,,,,,,,
1984,Indirect migration background,male,,,,,,,,,,,,
1984,Indirect migration background,female,,,,,,,,,,,,
1985,No migration background,male,,,,,,,,,,,,
1985,No migration background,female,,,,,,,,,,,,
1985,Direct migration background,male,,,,,,,,,,,,
1985,Direct migration background,female,,,,,,,,,,,,
1985,Indirect migration background,male,,,,,,,,,,,,
1985,Indirect migration background,female,,,,,,,,,,,,
1986,No migration background,male,,,,,,,,,,,,
1986,No migration background,female,,,,,,,,,,,,
1986,Direct migration background,male,,,,,,,,,,,,
1986,Direct migration background,female,,,,,,,,,,,,
1986,Indirect migration background,male,,,,,,,,,,,,
1986,Indirect migration background,female,,,,,,,,,,,,
1987,No migration background,male,,,,,,,,,,,,
1987,No migration background,female,,,,,,,,,,,,
1987,Direct migration background,male,,,,,,,,,,,,
1987,Direct migration background,female,,,,,,,,,,,,
1987,Indirect migration background,male,,,,,,,,,,,,
1987,Indirect migration background,female,,,,,,,,,,,,
1988,No migration background,male,3340,2.8903831348465885,2.805127776167307,2.97563849352587,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1988,No migration background,female,3590,3.6855495983492874,3.601542375078986,3.769556821619589,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,Direct migration background,male,1386,2.568755385873392,2.432684032973851,2.704826738772933,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1988,Direct migration background,female,1237,3.857871882267833,3.6596039242155816,4.056139840320085,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1988,Indirect migration background,male,79,5.6827826556223675,4.555090359146981,6.810474952097754,0.0,1.0,4.0,0.0,10.0,1.0,0.0,2.0
1988,Indirect migration background,female,90,4.082961721914435,3.203935604308187,4.961987839520683,0.0,1.0,3.0,0.0,7.5,1.0,0.0,2.0
1989,No migration background,male,3230,2.7664792238238722,2.6787493320249713,2.854209115622773,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1989,No migration background,female,3460,3.9069904180363095,3.803719850048398,4.010260986024221,1.0,2.0,5.0,0.0,11.0,2.0,2.0,2.0
1989,Direct migration background,male,1333,2.6645174391092494,2.5178215228367393,2.8112133553817595,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1989,Direct migration background,female,1211,3.3158836164134464,3.1799873166221277,3.451779916204765,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1989,Indirect migration background,male,101,3.7627567306548153,2.948098054913703,4.577415406395928,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,2.0
1989,Indirect migration background,female,110,2.4567616024801033,2.1340026793948166,2.77952052556539,0.0,1.0,4.0,0.0,10.0,1.0,-1.0,1.0
1990,No migration background,male,,,,,,,,,,,,
1990,No migration background,female,,,,,,,,,,,,
1990,Direct migration background,male,,,,,,,,,,,,
1990,Direct migration background,female,,,,,,,,,,,,
1990,Indirect migration background,male,,,,,,,,,,,,
1990,Indirect migration background,female,,,,,,,,,,,,
1991,No migration background,male,5013,2.540184049645374,2.475298999713158,2.60506909957759,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1991,No migration background,female,5426,3.555718429969181,3.479938784648116,3.6314980752902457,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1991,Direct migration background,male,1340,2.5945794959536697,2.4704881868760245,2.718670805031315,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1991,Direct migration background,female,1232,3.445551913293449,3.294154274602478,3.59694955198442,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,Indirect migration background,male,137,3.2571187722277353,2.5281515839752484,3.986085960480222,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1991,Indirect migration background,female,149,3.465027696204454,3.053336150262918,3.8767192421459904,0.0,2.0,3.0,0.0,7.5,2.0,1.0,3.0
1992,No migration background,male,4825,2.6788499745799275,2.612762320246608,2.744937628913247,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,No migration background,female,5312,3.46998207608677,3.397737984160894,3.5422261680126463,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1992,Direct migration background,male,1277,2.6146920512103633,2.462090262773005,2.7672938396477216,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,Direct migration background,female,1189,3.34562176285653,3.19890489573073,3.49233862998233,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,Indirect migration background,male,168,2.6102735501946297,2.1314060632342593,3.089141037155,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0
1992,Indirect migration background,female,162,2.944052873830287,2.624179875199474,3.2639258724610998,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1993,No migration background,male,,,,,,,,,,,,
1993,No migration background,female,,,,,,,,,,,,
1993,Direct migration background,male,,,,,,,,,,,,
1993,Direct migration background,female,,,,,,,,,,,,
1993,Indirect migration background,male,,,,,,,,,,,,
1993,Indirect migration background,female,,,,,,,,,,,,
1994,No migration background,male,,,,,,,,,,,,
1994,No migration background,female,,,,,,,,,,,,
1994,Direct migration background,male,,,,,,,,,,,,
1994,Direct migration background,female,,,,,,,,,,,,
1994,Indirect migration background,male,,,,,,,,,,,,
1994,Indirect migration background,female,,,,,,,,,,,,
1995,No migration background,male,4635,2.6975786143748595,2.6272981972370704,2.7678590315126486,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1995,No migration background,female,5137,3.852145844536429,3.7758771690718045,3.9284145200010534,1.0,2.0,5.0,0.0,11.0,2.0,2.0,2.0
1995,Direct migration background,male,1381,2.657576739588508,2.531782477215695,2.7833710019613207,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1995,Direct migration background,female,1350,3.306600984963874,3.17832500013665,3.434876969791098,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,Indirect migration background,male,229,2.7352666677046313,2.2350662350046964,3.2354671004045663,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1995,Indirect migration background,female,227,2.2733173589683915,2.0094199532092945,2.5372147647274885,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1996,No migration background,male,4593,2.578407602822147,2.5179027741133444,2.63891243153095,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1996,No migration background,female,5052,3.6967387896595203,3.623768395143771,3.7697091841752695,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1996,Direct migration background,male,1287,3.0056675876070753,2.8624233626790554,3.1489118125350952,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1996,Direct migration background,female,1265,3.3183756776528672,3.176070188028774,3.4606811672769604,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1996,Indirect migration background,male,235,2.4180995664504796,2.076335832029692,2.759863300871267,0.0,1.0,3.0,0.0,7.5,1.0,1.0,2.0
1996,Indirect migration background,female,246,2.4039541134626443,2.205232852063818,2.602675374861471,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1997,No migration background,male,4563,2.5416740494488965,2.4804019279635225,2.6029461709342705,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,No migration background,female,5039,3.5289618283725606,3.4650724435136415,3.5928512132314796,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1997,Direct migration background,male,1235,2.6773690388437967,2.5495937527820773,2.805144324905516,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,Direct migration background,female,1199,3.0325705091756068,2.919229440232397,3.1459115781188167,1.0,2.0,3.301565046067823,0.0,6.753912615169558,2.0,2.0,2.0
1997,Indirect migration background,male,251,1.5247073528505786,1.368982925624451,1.6804317800767061,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0
1997,Indirect migration background,female,245,2.334556779799563,2.1367839936898325,2.532329565909294,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1998,No migration background,male,5252,2.379478700960603,2.3271044235846063,2.4318529783366,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1998,No migration background,female,5733,3.2909907800352323,3.230935206374744,3.3510463536957205,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1998,Direct migration background,male,1190,2.4108855554791178,2.289935051069759,2.5318360598884766,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1998,Direct migration background,female,1169,3.0431441687675136,2.938955204102013,3.147333133433014,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1998,Indirect migration background,male,276,1.641267347756033,1.4781940953542136,1.8043406001578521,0.0,1.0,2.0,0.0,5.0,1.0,0.9749999999999943,2.0
1998,Indirect migration background,female,268,2.199444487232473,2.010980960137156,2.3879080143277904,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1999,No migration background,male,5096,2.489411850331013,2.4313421264028725,2.547481574259154,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1999,No migration background,female,5561,3.2773213795467537,3.2205856558254955,3.334057103268012,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
