year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,9722,3.307535368311313,3.2552358626289646,3.3598348739936617,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1989,West,9445,3.3236909315100167,3.2664818743826225,3.380899988637411,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,9232,3.319866325168327,3.262896981279887,3.376835669056767,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,East,4065,2.0971170597535753,2.042028167238223,2.1522059522689276,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,West,9066,3.271799755256232,3.215363651913279,3.328235858599185,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,East,3867,2.3110558283648137,2.261870726339406,2.3602409303902214,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,9371,3.3444692284036077,3.288872539107198,3.4000659177000174,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,East,3588,2.82596566185828,2.7604643190268896,2.89146700468967,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1996,West,9102,3.2348939595870014,3.1831316740196844,3.2866562451543184,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1996,East,3576,2.783864472369724,2.716993240117937,2.850735704621511,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1997,West,8993,3.057577093445783,3.0104994688950475,3.1046547179965183,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1997,East,3539,2.788137757072931,2.725844046075179,2.8504314680706826,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
