year,migback,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1997,No migration background,West,6211,3.1339977555238905,3.076505213600505,3.191490297447276,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1997,No migration background,East,3391,2.776475993367549,2.712277881803316,2.8406741049317823,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1997,Direct migration background,West,2304,2.833958349493769,2.7445475543696847,2.9233691446178534,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1997,Direct migration background,East,130,3.1176681446853975,2.8432475766827525,3.3920887126880426,1.0,2.0,3.0,0.0,6.0,2.0,1.0,2.0
1997,Indirect migration background,West,478,1.9657771716853836,1.8344849841059794,2.097069359264788,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,Indirect migration background,East,,,,,,,,,,,,
1998,No migration background,West,7344,2.9392754100297864,2.887756409110013,2.99079441094956,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1998,No migration background,East,3641,2.5477234484912663,2.4905251351040762,2.6049217618784564,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1998,Direct migration background,West,2243,2.694821245256841,2.6122510411978315,2.777391449315851,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1998,Direct migration background,East,116,3.195917057316662,2.8639382112362686,3.527895903397056,1.0,3.0,3.0,0.0,6.0,3.0,3.0,4.0
1998,Indirect migration background,West,522,1.9074438783940686,1.7798532042507937,2.0350345525373434,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,1.0
1998,Indirect migration background,East,,,,,,,,,,,,
1999,No migration background,West,7083,2.9564213495533984,2.9054906798887137,3.007352019218083,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1999,No migration background,East,3574,2.6853460582589666,2.620181523338815,2.750510593179118,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1999,Direct migration background,West,2072,2.7789067003816363,2.670417132611343,2.88739626815193,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1999,Direct migration background,East,109,2.910309456648746,2.6912008872438467,3.1294180260536457,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1999,Indirect migration background,West,537,2.254677816921571,2.0129149471444707,2.496440686698671,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1999,Indirect migration background,East,,,,,,,,,,,,
2000,No migration background,West,14081,2.8376146971756335,2.798911250955475,2.876318143395792,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2000,No migration background,East,5533,2.5554293046362915,2.505001226683059,2.605857382589524,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2000,Direct migration background,West,3109,2.5289847011781164,2.4552882336684725,2.6026811686877602,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2000,Direct migration background,East,149,2.515350784462086,2.322740379876511,2.707961189047661,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
2000,Indirect migration background,West,738,2.221388565435235,2.0961752788291883,2.346601852041282,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2000,Indirect migration background,East,,,,,,,,,,,,
2001,No migration background,West,12744,2.920605365920293,2.880795186661409,2.9604155451791767,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2001,No migration background,East,5180,2.6315872984762465,2.5793112982370014,2.6838632987154916,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2001,Direct migration background,West,2759,2.5744535826887156,2.4897606197404563,2.659146545636975,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2001,Direct migration background,East,120,3.4382175517763685,3.116671920914894,3.759763182637843,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
2001,Indirect migration background,West,701,2.131751956006655,1.9877510671928849,2.2757528448204254,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2001,Indirect migration background,East,,,,,,,,,,,,
2002,No migration background,West,13938,2.792466752667504,2.7540870591514963,2.8308464461835117,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2002,No migration background,East,5182,2.531695630921463,2.481927748862845,2.5814635129800814,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2002,Direct migration background,West,2644,2.510667399691879,2.4290448577781754,2.5922899416055825,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2002,Direct migration background,East,114,3.1976820486402096,2.8249197738448584,3.5704443234355607,1.0,3.0,3.9891461497922363,0.0,8.472865374480591,3.0,3.0,4.0
2002,Indirect migration background,West,693,1.7920702604998584,1.6757673337013745,1.9083731872983423,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2002,Indirect migration background,East,,,,,,,,,,,,
2003,No migration background,West,13308,2.83642347948452,2.801300405281821,2.871546553687219,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2003,No migration background,East,5095,2.6810886793280746,2.6276565849558056,2.7345207737003436,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2003,Direct migration background,West,2473,2.5306195721244924,2.4489011209201426,2.6123380233288422,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2003,Direct migration background,East,104,3.215092106515784,2.9233942920061047,3.5067899210254634,1.7869648355040229,3.0,4.0,0.0,7.319552746743966,3.0,3.0,4.0
2003,Indirect migration background,West,689,1.8956224891070113,1.7838680477122135,2.0073769305018088,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2003,Indirect migration background,East,,,,,,,,,,,,
2004,No migration background,West,12967,2.6061687248760474,2.5700626789342973,2.6422747708177976,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2004,No migration background,East,4977,2.401559571943316,2.354574545549528,2.448544598337104,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2004,Direct migration background,West,2388,2.312305648527281,2.239209504613989,2.385401792440573,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2004,Direct migration background,East,100,2.872214782581937,2.636750932202139,3.107678632961735,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
2004,Indirect migration background,West,708,1.7798175990271201,1.6797529657310377,1.8798822323232025,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2004,Indirect migration background,East,30,3.875119481719033,3.118686877073825,4.631552086364241,1.0,3.0,5.0,0.0,11.0,3.0,1.0,5.0
2005,No migration background,West,12362,2.744519221452428,2.7083045377660793,2.7807339051387765,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2005,No migration background,East,4795,2.522853809888892,2.474712138481381,2.570995481296403,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2005,Direct migration background,West,2236,2.5767607012457407,2.4927263227023477,2.6607950797891338,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2005,Direct migration background,East,99,2.893189265352357,2.5954733595403146,3.1909051711643994,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0249999999999995
2005,Indirect migration background,West,723,2.0800087304000083,1.9321191147824481,2.2278983460175685,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
2005,Indirect migration background,East,33,1.8763971115283555,1.4886524055859596,2.2641418174707515,0.0,1.0,2.616868102041984,0.0,6.54217025510496,1.0,0.0,1.0
2006,No migration background,West,13611,2.6436679881105616,2.610326729625547,2.6770092465955764,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2006,No migration background,East,5108,2.2875141623065107,2.2434823361769434,2.331545988436078,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2006,Direct migration background,West,2263,2.5000128980566374,2.410983258138971,2.589042537974304,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2006,Direct migration background,East,109,2.4903621479046856,2.210954345081245,2.769769950728126,0.0,2.0,3.0,0.0,7.5,2.0,1.0,3.0
2006,Indirect migration background,West,762,2.0674559860630026,1.9422017269114191,2.1927102452145864,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2006,Indirect migration background,East,38,3.266168656269123,2.2934151489922545,4.2389221635459915,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
2007,No migration background,West,12673,2.7678529259178513,2.731993770694359,2.8037120811413434,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2007,No migration background,East,4858,2.453649924240632,2.4085408615051604,2.4987589869761035,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2007,Direct migration background,West,2019,2.5781028331533498,2.484571667370805,2.6716339989358944,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2007,Direct migration background,East,91,2.542981381355467,2.303400476182115,2.782562286528819,1.0,2.0,3.0,0.0,6.0,2.0,1.0,3.0
2007,Indirect migration background,West,735,2.076523735995459,1.9425256172939982,2.21052185469692,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2007,Indirect migration background,East,39,2.00049656166555,1.646417579522776,2.3545755438083242,0.5056241598881244,1.0,3.0,0.0,6.741563760167814,1.0,0.0,1.0
2008,No migration background,West,11947,2.6486239009207133,2.613350797014704,2.6838970048267226,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2008,No migration background,East,4626,2.2543568546373853,2.209741181769092,2.2989725275056787,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
2008,Direct migration background,West,1819,2.5776716305778233,2.467910351594527,2.6874329095611196,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
2008,Direct migration background,East,79,2.5360060527407247,2.202123437778427,2.869888667703022,1.0,2.0,3.0,0.0,6.0,2.0,1.0,3.0
2008,Indirect migration background,West,716,1.7317492887951478,1.643908365184406,1.8195902124058896,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
2008,Indirect migration background,East,40,1.7640655610141243,1.4774419842358433,2.0506891377924052,0.0,1.0,3.0,0.0,7.0,1.0,-1.0,2.0
2009,No migration background,West,11170,2.7744405121879505,2.7381057327788256,2.8107752915970754,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
2009,No migration background,East,4408,2.4692337084058,2.4211486458325706,2.517318770979029,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
