"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Westdeutschland","7.92","7.5","12086","5","7","10","10","10","7.87","7.97","0","10","8","8"
"1985","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Westdeutschland","7.85","7.5","10915","5","7","10","10","10","7.81","7.89","0","10","8","8"
"1986","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Westdeutschland","7.78","7.5","10526","5","7","10","10","10","7.74","7.82","0","10","8","8"
"1987","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Westdeutschland","7.9","7.5","7911","5","7","10","10","10","7.85","7.95","0","10","8","8"
"1988","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Westdeutschland","7.74","7.5","9927","5","7","9","10","10","7.7","7.78","0","10","8","8"
"1989","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Westdeutschland","7.71","7.5","9605","5","7","9","10","10","7.67","7.75","0","10","8","8"
"1990","Ostdeutschland","6.92","7.5","4385","3","5","9","10","10","6.84","7","0","10","8","8"
"1990","Westdeutschland","7.67","7.5","9420","5","7","9","10","10","7.63","7.71","0","10","8","8"
"1991","Ostdeutschland","6.87","6.5","4124","3","5","9","10","10","6.79","6.95","0","10","7","8"
"1991","Westdeutschland","7.73","7.5","9415","5","7","9","10","10","7.69","7.77","0","10","8","8"
"1992","Ostdeutschland","6.57","6.5","3941","3","5","8","9","10","6.5","6.64","0","10","7","7"
"1992","Westdeutschland","7.68","7.5","9287","5","7","9","10","10","7.63","7.73","0","10","8","8"
"1993","Ostdeutschland","6.67","6.5","3805","3","5","8","10","10","6.59","6.75","0","10","7","7"
"1993","Westdeutschland","7.72","7.5","9213","5","7","9","10","10","7.67","7.77","0","10","8","8"
"1994","Ostdeutschland","6.82","6.5","3751","3","5","8","10","10","6.74","6.9","0","10","7","7"
"1994","Westdeutschland","7.71","7.5","9041","5","7","9","10","10","7.66","7.76","0","10","8","8"
"1995","Ostdeutschland","6.8","6.5","3643","3","5","8","10","10","6.73","6.87","0","10","7","7"
"1995","Westdeutschland","7.66","7.5","9504","5","7","9","10","10","7.62","7.7","0","10","8","8"
"1996","Ostdeutschland","6.9","6.5","3658","4","5","9","10","10","6.83","6.97","0","10","7","8"
"1996","Westdeutschland","7.68","7.5","9307","5","7","9","10","10","7.64","7.72","0","10","8","8"
"1997","Ostdeutschland","6.98","6.5","3601","4","5","9","10","10","6.91","7.05","0","10","7","8"
"1997","Westdeutschland","7.62","7.5","9117","5","7","9","10","10","7.58","7.66","0","10","8","8"
"1998","Ostdeutschland","7.22","7.5","3816","4","6","9","10","10","7.15","7.29","0","10","8","8"
"1998","Westdeutschland","7.69","7.5","10283","5","7","9","10","10","7.65","7.73","0","10","8","8"
"1999","Ostdeutschland","7.38","7.5","3742","5","6","9","10","10","7.32","7.44","0","10","8","8"
"1999","Westdeutschland","7.7","7.5","9815","5","7","9","10","10","7.66","7.74","0","10","8","8"
"2000","Ostdeutschland","7.48","7.5","5790","5","6","9","10","10","7.43","7.53","0","10","8","8"
"2000","Westdeutschland","7.81","7.5","18147","5","7","9","10","10","7.78","7.84","0","10","8","8"
"2001","Ostdeutschland","7.61","7.5","5397","5","7","9","10","10","7.56","7.66","0","10","8","8"
"2001","Westdeutschland","7.8","7.5","16370","5","7","9","10","10","7.77","7.83","0","10","8","8"
"2002","Ostdeutschland","7.51","7.5","5384","5","7","9","10","10","7.46","7.56","0","10","8","8"
"2002","Westdeutschland","7.71","7.5","17479","5","7","9","10","10","7.68","7.74","0","10","8","8"
"2003","Ostdeutschland","7.48","7.5","5313","5","7","9","10","10","7.43","7.53","0","10","8","8"
"2003","Westdeutschland","7.72","7.5","16739","5","7","9","10","10","7.69","7.75","0","10","8","8"
"2004","Ostdeutschland","7.64","7.5","5171","5","7","9","10","10","7.59","7.69","0","10","8","8"
"2004","Westdeutschland","7.77","7.5","16282","5","7","9","10","10","7.74","7.8","0","10","8","8"
"2005","Ostdeutschland","7.55","7.5","4998","5","7","9","10","10","7.5","7.6","0","10","8","8"
"2005","Westdeutschland","7.73","7.5","15565","5","7","9","10","10","7.7","7.76","0","10","8","8"
"2006","Ostdeutschland","7.53","7.5","5241","5","7","9","10","10","7.48","7.58","0","10","8","8"
"2006","Westdeutschland","7.7","7.5","16601","5","7","9","10","10","7.67","7.73","0","10","8","8"
"2007","Ostdeutschland","7.55","7.5","4975","5","7","9","10","10","7.5","7.6","0","10","8","8"
"2007","Westdeutschland","7.72","7.5","15414","5","7","9","10","10","7.69","7.75","0","10","8","8"
"2008","Ostdeutschland","7.76","7.5","4744","5","7","9","10","10","7.71","7.81","0","10","8","8"
"2008","Westdeutschland","7.83","7.5","14488","5","7","9","10","10","7.8","7.86","0","10","8","8"
"2009","Ostdeutschland","7.61","7.5","4520","5","7","9","10","10","7.56","7.66","0","10","8","8"
"2009","Westdeutschland","7.75","7.5","13410","5","7","9","10","10","7.72","7.78","0","10","8","8"
"2010","Ostdeutschland","7.59","7.5","5444","5","7","9","10","10","7.54","7.64","0","10","8","8"
"2010","Westdeutschland","7.74","7.5","18431","5","7","9","10","10","7.71","7.77","0","10","8","8"
"2011","Ostdeutschland","7.63","7.5","5769","5","7","9","10","10","7.58","7.68","0","10","8","8"
"2011","Westdeutschland","7.78","7.5","19952","5","7","9","10","10","7.75","7.81","0","10","8","8"
"2012","Ostdeutschland","7.63","7.5","5933","5","7","9","10","10","7.58","7.68","0","10","8","8"
"2012","Westdeutschland","7.82","7.5","20421","5","7","9","10","10","7.79","7.85","0","10","8","8"
"2013","Ostdeutschland","7.72","7.5","6095","5","7","9","10","10","7.67","7.77","0","10","8","8"
"2013","Westdeutschland","7.83","7.5","24454","5","7","9","10","10","7.8","7.86","0","10","8","8"
"2014","Ostdeutschland","7.73","7.5","5564","5","7","9","10","10","7.68","7.78","0","10","8","8"
"2014","Westdeutschland","7.86","7.5","21419","5","7","9","10","10","7.83","7.89","0","10","8","8"
"2015","Ostdeutschland","7.69","7.5","5238","5","7","9","10","10","7.64","7.74","0","10","8","8"
"2015","Westdeutschland","7.91","7.5","19692","5","7","9","10","10","7.88","7.94","0","10","8","8"
"2016","Ostdeutschland","7.76","7.5","5008","5","7","9","10","10","7.71","7.81","0","10","8","8"
"2016","Westdeutschland","7.91","7.5","19052","5","7","9","10","10","7.88","7.94","0","10","8","8"
"2017","Ostdeutschland","7.77","7.5","5567","5","7","9","10","10","7.72","7.82","0","10","8","8"
"2017","Westdeutschland","7.87","7.5","20756","5","7","9","10","10","7.84","7.9","0","10","8","8"
"2018","Ostdeutschland","7.73","7.5","5465","5","7","9","10","10","7.68","7.78","0","10","8","8"
"2018","Westdeutschland","7.85","7.5","20016","5","7","9","10","10","7.82","7.88","0","10","8","8"
"2019","Ostdeutschland","7.85","7.5","5556","5","7","9","10","10","7.8","7.9","0","10","8","8"
"2019","Westdeutschland","7.93","7.5","20100","5","7","9","10","10","7.9","7.96","0","10","8","8"
"2020","Ostdeutschland","7.87","7.5","5324","5","7","9","10","10","7.82","7.92","0","10","8","8"
"2020","Westdeutschland","7.89","7.5","20306","5","7","9","10","10","7.86","7.92","0","10","8","8"
