"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 Jahre alt","Laendlicher Raum","7.75","7.5","853","7.6","7.9"
"1985","16-34 Jahre alt","Staedtischer Raum","7.33","7.5","3242","7.24","7.42"
"1985","35-65 Jahre alt","Laendlicher Raum","8.23","8.5","1209","8.11","8.35"
"1985","35-65 Jahre alt","Staedtischer Raum","7.89","7.5","4512","7.82","7.96"
"1985","66 und älter","Laendlicher Raum","8.38","8.5","290","8.17","8.59"
"1985","66 und älter","Staedtischer Raum","8.24","8.5","809","8.11","8.37"
"1986","16-34 Jahre alt","Laendlicher Raum","7.52","7.5","839","7.37","7.67"
"1986","16-34 Jahre alt","Staedtischer Raum","7.25","7.5","3214","7.17","7.33"
"1986","35-65 Jahre alt","Laendlicher Raum","8.11","7.5","1143","7.99","8.23"
"1986","35-65 Jahre alt","Staedtischer Raum","7.84","7.5","4306","7.77","7.91"
"1986","66 und älter","Laendlicher Raum","8.47","8.5","267","8.26","8.68"
"1986","66 und älter","Staedtischer Raum","8.26","7.5","757","8.13","8.39"
"1987","16-34 Jahre alt","Laendlicher Raum","7.58","7.5","700","7.42","7.74"
"1987","16-34 Jahre alt","Staedtischer Raum","7.37","7.5","2244","7.28","7.46"
"1987","35-65 Jahre alt","Laendlicher Raum","8.16","7.5","937","8.04","8.28"
"1987","35-65 Jahre alt","Staedtischer Raum","8.01","7.5","2982","7.94","8.08"
"1987","66 und älter","Laendlicher Raum","8.52","8.5","268","8.32","8.72"
"1987","66 und älter","Staedtischer Raum","8.26","8.5","780","8.12","8.4"
"1988","16-34 Jahre alt","Laendlicher Raum","7.55","7.5","770","7.38","7.72"
"1988","16-34 Jahre alt","Staedtischer Raum","7.31","7.5","3049","7.22","7.4"
"1988","35-65 Jahre alt","Laendlicher Raum","7.99","7.5","1052","7.87","8.11"
"1988","35-65 Jahre alt","Staedtischer Raum","7.77","7.5","4024","7.7","7.84"
"1988","66 und älter","Laendlicher Raum","8.45","8.5","256","8.24","8.66"
"1988","66 und älter","Staedtischer Raum","8.11","7.5","776","7.98","8.24"
"1989","16-34 Jahre alt","Laendlicher Raum","7.41","7.5","737","7.24","7.58"
"1989","16-34 Jahre alt","Staedtischer Raum","7.27","7.5","2993","7.18","7.36"
"1989","35-65 Jahre alt","Laendlicher Raum","7.91","7.5","986","7.78","8.04"
"1989","35-65 Jahre alt","Staedtischer Raum","7.75","7.5","3881","7.68","7.82"
"1989","66 und älter","Laendlicher Raum","8.45","8.5","250","8.24","8.66"
"1989","66 und älter","Staedtischer Raum","8.2","7.5","758","8.07","8.33"
"1990","16-34 Jahre alt","Laendlicher Raum","6.9","7.5","1833","6.77","7.03"
"1990","16-34 Jahre alt","Staedtischer Raum","7.03","7.5","3417","6.94","7.12"
"1990","35-65 Jahre alt","Laendlicher Raum","7.73","7.5","2443","7.64","7.82"
"1990","35-65 Jahre alt","Staedtischer Raum","7.64","7.5","4577","7.58","7.7"
"1990","66 und älter","Laendlicher Raum","8.07","7.5","544","7.88","8.26"
"1990","66 und älter","Staedtischer Raum","8.14","7.5","904","8.01","8.27"
"1991","16-34 Jahre alt","Laendlicher Raum","6.9","7.5","1780","6.78","7.02"
"1991","16-34 Jahre alt","Staedtischer Raum","7","7.5","3305","6.91","7.09"
"1991","35-65 Jahre alt","Laendlicher Raum","7.68","7.5","2424","7.59","7.77"
"1991","35-65 Jahre alt","Staedtischer Raum","7.68","7.5","4505","7.62","7.74"
"1991","66 und älter","Laendlicher Raum","8.18","7.5","525","8.02","8.34"
"1991","66 und älter","Staedtischer Raum","8.33","8.5","911","8.21","8.45"
"1992","16-34 Jahre alt","Laendlicher Raum","6.82","6.5","1669","6.7","6.94"
"1992","16-34 Jahre alt","Staedtischer Raum","6.94","6.5","3200","6.85","7.03"
"1992","35-65 Jahre alt","Laendlicher Raum","7.53","7.5","2350","7.44","7.62"
"1992","35-65 Jahre alt","Staedtischer Raum","7.54","7.5","4461","7.48","7.6"
"1992","66 und älter","Laendlicher Raum","8.13","7.5","510","7.97","8.29"
"1992","66 und älter","Staedtischer Raum","8.29","7.5","920","8.17","8.41"
"1993","16-34 Jahre alt","Laendlicher Raum","7.01","6.5","1638","6.89","7.13"
"1993","16-34 Jahre alt","Staedtischer Raum","7.03","7.5","3202","6.94","7.12"
"1993","35-65 Jahre alt","Laendlicher Raum","7.55","7.5","2331","7.46","7.64"
"1993","35-65 Jahre alt","Staedtischer Raum","7.57","7.5","4386","7.5","7.64"
"1993","66 und älter","Laendlicher Raum","7.91","7.5","526","7.73","8.09"
"1993","66 und älter","Staedtischer Raum","8.35","8.5","935","8.23","8.47"
"1994","16-34 Jahre alt","Laendlicher Raum","7.01","7.5","1581","6.89","7.13"
"1994","16-34 Jahre alt","Staedtischer Raum","7.06","7.5","3163","6.98","7.14"
"1994","35-65 Jahre alt","Laendlicher Raum","7.58","7.5","2294","7.49","7.67"
"1994","35-65 Jahre alt","Staedtischer Raum","7.54","7.5","4267","7.47","7.61"
"1994","66 und älter","Laendlicher Raum","8.27","7.5","521","8.12","8.42"
"1994","66 und älter","Staedtischer Raum","8.32","8.5","966","8.2","8.44"
"1995","16-34 Jahre alt","Laendlicher Raum","7.13","7.5","1620","7.02","7.24"
"1995","16-34 Jahre alt","Staedtischer Raum","7","7.5","3223","6.92","7.08"
"1995","35-65 Jahre alt","Laendlicher Raum","7.47","7.5","2390","7.38","7.56"
"1995","35-65 Jahre alt","Staedtischer Raum","7.55","7.5","4398","7.49","7.61"
"1995","66 und älter","Laendlicher Raum","8.1","7.5","512","7.95","8.25"
"1995","66 und älter","Staedtischer Raum","8.12","7.5","1004","8","8.24"
"1996","16-34 Jahre alt","Laendlicher Raum","7.22","7.5","1576","7.11","7.33"
"1996","16-34 Jahre alt","Staedtischer Raum","7.08","7.5","3123","7","7.16"
"1996","35-65 Jahre alt","Laendlicher Raum","7.59","7.5","2417","7.51","7.67"
"1996","35-65 Jahre alt","Staedtischer Raum","7.56","7.5","4308","7.5","7.62"
"1996","66 und älter","Laendlicher Raum","8","7.5","516","7.83","8.17"
"1996","66 und älter","Staedtischer Raum","8.08","7.5","1025","7.96","8.2"
"1997","16-34 Jahre alt","Laendlicher Raum","7.12","7.5","1521","7.01","7.23"
"1997","16-34 Jahre alt","Staedtischer Raum","7.15","7.5","3011","7.07","7.23"
"1997","35-65 Jahre alt","Laendlicher Raum","7.57","7.5","2381","7.49","7.65"
"1997","35-65 Jahre alt","Staedtischer Raum","7.48","7.5","4231","7.42","7.54"
"1997","66 und älter","Laendlicher Raum","7.9","7.5","528","7.74","8.06"
"1997","66 und älter","Staedtischer Raum","8.04","7.5","1045","7.92","8.16"
"1998","16-34 Jahre alt","Laendlicher Raum","7.45","7.5","1598","7.35","7.55"
"1998","16-34 Jahre alt","Staedtischer Raum","7.16","7.5","3171","7.08","7.24"
"1998","35-65 Jahre alt","Laendlicher Raum","7.74","7.5","2709","7.67","7.81"
"1998","35-65 Jahre alt","Staedtischer Raum","7.57","7.5","4782","7.51","7.63"
"1998","66 und älter","Laendlicher Raum","8.01","7.5","611","7.87","8.15"
"1998","66 und älter","Staedtischer Raum","8.02","7.5","1228","7.91","8.13"
"1999","16-34 Jahre alt","Laendlicher Raum","7.49","7.5","1532","7.39","7.59"
"1999","16-34 Jahre alt","Staedtischer Raum","7.23","7.5","2982","7.15","7.31"
"1999","35-65 Jahre alt","Laendlicher Raum","7.75","7.5","2616","7.68","7.82"
"1999","35-65 Jahre alt","Staedtischer Raum","7.6","7.5","4641","7.54","7.66"
"1999","66 und älter","Laendlicher Raum","8.04","7.5","614","7.9","8.18"
"1999","66 und älter","Staedtischer Raum","8.08","7.5","1172","7.97","8.19"
"2000","16-34 Jahre alt","Laendlicher Raum","7.58","7.5","2429","7.5","7.66"
"2000","16-34 Jahre alt","Staedtischer Raum","7.29","7.5","4536","7.23","7.35"
"2000","35-65 Jahre alt","Laendlicher Raum","7.85","7.5","4687","7.8","7.9"
"2000","35-65 Jahre alt","Staedtischer Raum","7.73","7.5","8702","7.69","7.77"
"2000","66 und älter","Laendlicher Raum","8.18","7.5","1256","8.09","8.27"
"2000","66 und älter","Staedtischer Raum","8.17","7.5","2327","8.1","8.24"
"2001","16-34 Jahre alt","Laendlicher Raum","7.56","7.5","2118","7.47","7.65"
"2001","16-34 Jahre alt","Staedtischer Raum","7.32","7.5","4041","7.25","7.39"
"2001","35-65 Jahre alt","Laendlicher Raum","7.82","7.5","4275","7.76","7.88"
"2001","35-65 Jahre alt","Staedtischer Raum","7.72","7.5","7953","7.68","7.76"
"2001","66 und älter","Laendlicher Raum","8.34","7.5","1187","8.25","8.43"
"2001","66 und älter","Staedtischer Raum","8.25","7.5","2193","8.18","8.32"
"2002","16-34 Jahre alt","Laendlicher Raum","7.55","7.5","2050","7.47","7.63"
"2002","16-34 Jahre alt","Staedtischer Raum","7.19","7.5","3977","7.13","7.25"
"2002","35-65 Jahre alt","Laendlicher Raum","7.7","7.5","4429","7.64","7.76"
"2002","35-65 Jahre alt","Staedtischer Raum","7.66","7.5","8831","7.62","7.7"
"2002","66 und älter","Laendlicher Raum","8.17","7.5","1229","8.08","8.26"
"2002","66 und älter","Staedtischer Raum","8.08","7.5","2347","8.01","8.15"
