"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","7.39","7.5","2237","7.28","7.5"
"1984","16-34 Jahre alt","weiblich","7.39","7.5","2308","7.28","7.5"
"1984","35-65 Jahre alt","maennlich","8.03","8.5","3174","7.94","8.12"
"1984","35-65 Jahre alt","weiblich","8.12","8.5","3107","8.03","8.21"
"1984","66 und älter","maennlich","8.46","8.5","502","8.29","8.63"
"1984","66 und älter","weiblich","8.44","8.5","758","8.3","8.58"
"1985","16-34 Jahre alt","maennlich","7.44","7.5","2064","7.33","7.55"
"1985","16-34 Jahre alt","weiblich","7.42","7.5","2031","7.31","7.53"
"1985","35-65 Jahre alt","maennlich","7.93","7.5","2859","7.85","8.01"
"1985","35-65 Jahre alt","weiblich","8.01","7.5","2862","7.93","8.09"
"1985","66 und älter","maennlich","8.32","8.5","440","8.14","8.5"
"1985","66 und älter","weiblich","8.26","8.5","659","8.12","8.4"
"1986","16-34 Jahre alt","maennlich","7.32","7.5","2065","7.22","7.42"
"1986","16-34 Jahre alt","weiblich","7.32","7.5","1988","7.21","7.43"
"1986","35-65 Jahre alt","maennlich","7.88","7.5","2728","7.8","7.96"
"1986","35-65 Jahre alt","weiblich","7.92","7.5","2721","7.84","8"
"1986","66 und älter","maennlich","8.32","8.5","418","8.14","8.5"
"1986","66 und älter","weiblich","8.31","8.5","606","8.16","8.46"
"1987","16-34 Jahre alt","maennlich","7.46","7.5","1502","7.35","7.57"
"1987","16-34 Jahre alt","weiblich","7.39","7.5","1442","7.27","7.51"
"1987","35-65 Jahre alt","maennlich","8","7.5","1877","7.91","8.09"
"1987","35-65 Jahre alt","weiblich","8.09","7.5","2042","8","8.18"
"1987","66 und älter","maennlich","8.33","8.5","417","8.15","8.51"
"1987","66 und älter","weiblich","8.33","8.5","631","8.18","8.48"
"1988","16-34 Jahre alt","maennlich","7.36","7.5","1954","7.26","7.46"
"1988","16-34 Jahre alt","weiblich","7.37","7.5","1865","7.26","7.48"
"1988","35-65 Jahre alt","maennlich","7.78","7.5","2539","7.7","7.86"
"1988","35-65 Jahre alt","weiblich","7.86","7.5","2537","7.78","7.94"
"1988","66 und älter","maennlich","8.24","7.5","415","8.07","8.41"
"1988","66 und älter","weiblich","8.17","8.5","617","8.02","8.32"
"1989","16-34 Jahre alt","maennlich","7.33","7.5","1920","7.23","7.43"
"1989","16-34 Jahre alt","weiblich","7.27","7.5","1810","7.16","7.38"
"1989","35-65 Jahre alt","maennlich","7.76","7.5","2428","7.68","7.84"
"1989","35-65 Jahre alt","weiblich","7.82","7.5","2439","7.73","7.91"
"1989","66 und älter","maennlich","8.39","8.5","393","8.23","8.55"
"1989","66 und älter","weiblich","8.19","7.5","615","8.04","8.34"
"1990","16-34 Jahre alt","maennlich","6.93","6.5","2661","6.83","7.03"
"1990","16-34 Jahre alt","weiblich","7.05","7.5","2629","6.95","7.15"
"1990","35-65 Jahre alt","maennlich","7.61","7.5","3518","7.54","7.68"
"1990","35-65 Jahre alt","weiblich","7.73","7.5","3545","7.66","7.8"
"1990","66 und älter","maennlich","8.25","7.5","550","8.09","8.41"
"1990","66 und älter","weiblich","8.05","7.5","902","7.91","8.19"
"1991","16-34 Jahre alt","maennlich","6.92","6.5","2578","6.82","7.02"
"1991","16-34 Jahre alt","weiblich","7.01","7.5","2546","6.91","7.11"
"1991","35-65 Jahre alt","maennlich","7.65","7.5","3475","7.58","7.72"
"1991","35-65 Jahre alt","weiblich","7.7","7.5","3498","7.63","7.77"
