year,regtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Urban regions,West,7.7619931048257556,7.738959395011274,7.785026814640237,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,8568.0
1985,Rural regions,West,8.103613555904701,8.063760192987635,8.143466918821767,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,2347.0
1986,Urban regions,West,7.711633968484808,7.688875715821106,7.73439222114851,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,8282.0
1986,Rural regions,West,7.985379010370206,7.9446811596766755,8.026076861063737,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,2244.0
1987,Urban regions,West,7.84599815549787,7.820275614090717,7.871720696905024,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,6010.0
1987,Rural regions,West,8.045967648851468,8.00176110265588,8.090174195047055,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,1901.0
1988,Urban regions,West,7.679097626869833,7.656588948439619,7.701606305300047,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7856.0
1988,Rural regions,West,7.940629770510276,7.89920065076691,7.982058890253643,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,2071.0
1989,Urban regions,West,7.671500998377312,7.648777811643769,7.694224185110856,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7639.0
1989,Rural regions,West,7.857617418484931,7.8141950735215655,7.901039763448296,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,1966.0
1990,Urban regions,West,7.622620854528989,7.599590138041738,7.6456515710162405,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7457.0
1990,Urban regions,East,6.638305120986651,6.566883509587919,6.709726732385382,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,1447.0
1990,Rural regions,West,7.81056883912105,7.767610251820729,7.853527426421371,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1963.0
1990,Rural regions,East,7.06483481451732,7.014727321868059,7.11494230716658,5.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,2851.0
1991,Urban regions,West,7.685999149985643,7.662993455547082,7.7090048444242045,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7412.0
1991,Urban regions,East,6.613370196410354,6.545788971070042,6.680951421750667,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,1321.0
1991,Rural regions,West,7.871792313192188,7.830740456799721,7.9128441695846545,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,2000.0
1991,Rural regions,East,6.9950779174423,6.950613072256987,7.0395427626276135,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,2717.0
1992,Urban regions,West,7.631895456627675,7.608657110363335,7.655133802892015,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7286.0
1992,Urban regions,East,6.287835385294953,6.226110422874621,6.349560347715284,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1305.0
1992,Rural regions,West,7.832648827960899,7.790600791099622,7.874696864822176,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,1988.0
1992,Rural regions,East,6.764797252115624,6.7213038765234066,6.808290627707842,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2531.0
1993,Urban regions,West,7.6717303422504814,7.648107310018742,7.695353374482221,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7227.0
