year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,7.91623,7.87509,7.95737,7.00000,8.00000,10.00000,2.50000,10.00000,12086.00000
1985,7.84611,7.80485,7.88736,7.00000,8.00000,10.00000,2.50000,10.00000,10915.00000
1986,7.77837,7.73734,7.81940,7.00000,8.00000,10.00000,2.50000,10.00000,10526.00000
1987,7.89511,7.84918,7.94103,7.00000,8.00000,10.00000,2.50000,10.00000,7911.00000
1988,7.74084,7.69999,7.78169,7.00000,8.00000,9.00000,4.00000,10.00000,9927.00000
1989,7.71436,7.67281,7.75592,7.00000,8.00000,9.00000,4.00000,10.00000,9605.00000
1990,7.51914,7.48137,7.55691,6.00000,8.00000,9.00000,1.50000,10.00000,13805.00000
1991,7.55395,7.51725,7.59065,6.00000,8.00000,9.00000,1.50000,10.00000,13539.00000
1992,7.45634,7.41941,7.49326,6.00000,8.00000,9.00000,1.50000,10.00000,13228.00000
1993,7.50949,7.47184,7.54713,6.00000,8.00000,9.00000,1.50000,10.00000,13018.00000
1994,7.53675,7.49906,7.57444,6.00000,8.00000,9.00000,1.50000,10.00000,12792.00000
1995,7.49344,7.45678,7.53011,6.00000,8.00000,9.00000,1.50000,10.00000,13147.00000
1996,7.53260,7.49600,7.56921,7.00000,8.00000,9.00000,4.00000,10.00000,12965.00000
1997,7.49744,7.46141,7.53346,6.00000,8.00000,9.00000,1.50000,10.00000,12718.00000
1998,7.59665,7.56278,7.63052,7.00000,8.00000,9.00000,4.00000,10.00000,14099.00000
1999,7.63733,7.60360,7.67107,7.00000,8.00000,9.00000,4.00000,10.00000,13557.00000
2000,7.74842,7.72287,7.77398,7.00000,8.00000,9.00000,4.00000,10.00000,23937.00000
2001,7.76687,7.74084,7.79289,7.00000,8.00000,9.00000,4.00000,10.00000,21767.00000
2002,7.67082,7.64531,7.69633,7.00000,8.00000,9.00000,4.00000,10.00000,22863.00000
2003,7.67643,7.65064,7.70223,7.00000,8.00000,9.00000,4.00000,10.00000,22052.00000
2004,7.74761,7.72197,7.77325,7.00000,8.00000,9.00000,4.00000,10.00000,21453.00000
2005,7.69416,7.66724,7.72108,7.00000,8.00000,9.00000,4.00000,10.00000,20563.00000
2006,7.66837,7.64215,7.69459,7.00000,8.00000,9.00000,4.00000,10.00000,21842.00000
2007,7.68651,7.66035,7.71267,7.00000,8.00000,9.00000,4.00000,10.00000,20389.00000
2008,7.81348,7.78716,7.83981,7.00000,8.00000,9.00000,4.00000,10.00000,19232.00000
2009,7.72454,7.69680,7.75228,7.00000,8.00000,9.00000,4.00000,10.00000,17930.00000
2010,7.71241,7.68790,7.73692,7.00000,8.00000,9.00000,4.00000,10.00000,23875.00000
2011,7.75292,7.72939,7.77644,7.00000,8.00000,9.00000,4.00000,10.00000,25721.00000
2012,7.78818,7.76541,7.81095,7.00000,8.00000,9.00000,4.00000,10.00000,26354.00000
2013,7.81122,7.78951,7.83293,7.00000,8.00000,9.00000,4.00000,10.00000,30549.00000
2014,7.84118,7.81871,7.86365,7.00000,8.00000,9.00000,4.00000,10.00000,26983.00000
2015,7.86924,7.84610,7.89238,7.00000,8.00000,9.00000,4.00000,10.00000,24930.00000
2016,7.88574,7.86239,7.90909,7.00000,8.00000,9.00000,4.00000,10.00000,24060.00000
2017,7.85895,7.83636,7.88154,7.00000,8.00000,9.00000,4.00000,10.00000,26323.00000
2018,7.83301,7.81019,7.85583,7.00000,8.00000,9.00000,4.00000,10.00000,25481.00000
2019,7.91254,7.88986,7.93523,7.00000,8.00000,9.00000,4.00000,10.00000,25631.00000
2020,7.89704,7.87434,7.91974,7.00000,8.00000,9.00000,4.00000,10.00000,25525.00000
2021,8.06098,8.03449,8.08747,7.00000,8.00000,9.00000,4.00000,10.00000,17181.00000
2022,7.81643,7.79224,7.84062,7.00000,8.00000,9.00000,4.00000,10.00000,26109.00000
