"year","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","7","7.5","4934","4","5","9","10","10","6.93","7.07","0","10","7","7"
"1995","2","7.52","7.5","3822","5","6","9","10","10","7.45","7.59","0","10","8","8"
"1995","3","7.77","7.5","2195","5","7","9","10","10","7.68","7.86","0","10","8","8"
"1995","4","7.87","7.5","1472","5","7","9","10","10","7.77","7.97","0","10","8","8"
"1995","5 Einkommensstärkstes Quintil","8.33","8.5","724","6","8","10","10","10","8.21","8.45","0","10","8","9"
"1996","1 Einkommensschwächstes Quintil","7.09","7.5","4470","4","6","9","10","10","7.02","7.16","0","10","7","8"
"1996","2","7.55","7.5","3833","5","7","9","10","10","7.48","7.62","0","10","8","8"
"1996","3","7.7","7.5","2291","5","7","9","10","10","7.62","7.78","0","10","8","8"
"1996","4","7.94","7.5","1546","5","7","9","10","10","7.84","8.04","0","10","8","8"
"1996","5 Einkommensstärkstes Quintil","8.12","7.5","825","5","8","9","10","10","8","8.24","0","10","8","9"
"1997","1 Einkommensschwächstes Quintil","7.03","7.5","4205","4","5","9","10","10","6.96","7.1","0","10","7","7"
"1997","2","7.55","7.5","3780","5","6","9","10","10","7.49","7.61","0","10","8","8"
"1997","3","7.6","7.5","2342","5","7","9","10","10","7.52","7.68","0","10","8","8"
"1997","4","7.95","7.5","1570","5","7","9","10","10","7.85","8.05","0","10","8","8"
"1997","5 Einkommensstärkstes Quintil","8.11","7.5","821","6","7","9","10","10","7.99","8.23","0","10","8","8"
"1998","1 Einkommensschwächstes Quintil","7.15","7.5","4554","4","6","9","10","10","7.09","7.21","0","10","7","8"
"1998","2","7.62","7.5","4079","5","7","9","10","10","7.56","7.68","0","10","8","8"
"1998","3","7.75","7.5","2548","5","7","9","10","10","7.67","7.83","0","10","8","8"
"1998","4","7.92","7.5","1910","5","7","9","10","10","7.83","8.01","0","10","8","8"
"1998","5 Einkommensstärkstes Quintil","8.19","7.5","1008","6","7","9","10","10","8.09","8.29","1","10","8","9"
"1999","1 Einkommensschwächstes Quintil","7.17","7.5","3811","4","6","9","10","10","7.1","7.24","0","10","7","8"
"1999","2","7.65","7.5","4070","5","7","9","10","10","7.59","7.71","0","10","8","8"
"1999","3","7.75","7.5","2548","5","7","9","10","10","7.68","7.82","0","10","8","8"
"1999","4","7.93","7.5","1985","5","7","9","10","10","7.85","8.01","0","10","8","8"
"1999","5 Einkommensstärkstes Quintil","8.18","8.5","1143","6","8","10","10","10","8.07","8.29","0","10","8","9"
"2000","1 Einkommensschwächstes Quintil","7.25","7.5","6199","4","6","9","10","10","7.19","7.31","0","10","8","8"
"2000","2","7.74","7.5","6772","5","7","9","10","10","7.69","7.79","0","10","8","8"
"2000","3","7.86","7.5","4634","5","7","9","10","10","7.81","7.91","0","10","8","8"
"2000","4","8.04","7.5","3827","5","7","9","10","10","7.98","8.1","0","10","8","8"
"2000","5 Einkommensstärkstes Quintil","8.25","8.5","2505","6","8","10","10","10","8.18","8.32","0","10","9","9"
"2001","1 Einkommensschwächstes Quintil","7.26","7.5","5191","4","6","9","10","10","7.2","7.32","0","10","8","8"
"2001","2","7.68","7.5","5928","5","7","9","10","10","7.63","7.73","0","10","8","8"
"2001","3","7.93","7.5","4503","5","7","9","10","10","7.88","7.98","0","10","8","8"
"2001","4","7.98","7.5","3691","5","7","9","10","10","7.92","8.04","0","10","8","8"
"2001","5 Einkommensstärkstes Quintil","8.34","8.5","2454","6","8","10","10","10","8.28","8.4","1","10","9","9"
"2002","1 Einkommensschwächstes Quintil","7.16","7.5","4602","4","6","9","10","10","7.1","7.22","0","10","8","8"
"2002","2","7.63","7.5","5300","5","7","9","10","10","7.58","7.68","0","10","8","8"
"2002","3","7.75","7.5","4371","5","7","9","10","10","7.7","7.8","0","10","8","8"
"2002","4","7.94","7.5","4198","5","7","9","10","10","7.89","7.99","0","10","8","8"
"2002","5 Einkommensstärkstes Quintil","8.27","8.5","4392","6","8","10","10","10","8.22","8.32","0","10","9","9"
"2003","1 Einkommensschwächstes Quintil","7.17","7.5","4309","4","6","9","10","10","7.11","7.23","0","10","8","8"
"2003","2","7.56","7.5","5067","5","7","9","10","10","7.51","7.61","0","10","8","8"
"2003","3","7.84","7.5","4323","5","7","9","10","10","7.79","7.89","0","10","8","8"
"2003","4","7.89","7.5","4328","5","7","9","10","10","7.84","7.94","0","10","8","8"
"2003","5 Einkommensstärkstes Quintil","8.25","8.5","4025","6","8","9","10","10","8.2","8.3","0","10","9","9"
"2004","1 Einkommensschwächstes Quintil","7.25","7.5","4168","4","6","9","10","10","7.19","7.31","0","10","8","8"
"2004","2","7.72","7.5","4926","5","7","9","10","10","7.67","7.77","0","10","8","8"
"2004","3","7.83","7.5","4095","5","7","9","10","10","7.78","7.88","0","10","8","8"
"2004","4","7.95","7.5","4243","5","7","9","10","10","7.9","8","0","10","8","8"
"2004","5 Einkommensstärkstes Quintil","8.27","8.5","4021","6","8","10","10","10","8.22","8.32","0","10","9","9"
"2005","1 Einkommensschwächstes Quintil","7.15","7.5","4118","4","6","9","10","10","7.08","7.22","0","10","8","8"
"2005","2","7.72","7.5","4548","5","7","9","10","10","7.66","7.78","0","10","8","8"
"2005","3","7.75","7.5","3854","5","7","9","10","10","7.69","7.81","0","10","8","8"
"2005","4","7.92","7.5","4050","5","7","9","10","10","7.87","7.97","0","10","8","8"
"2005","5 Einkommensstärkstes Quintil","8.18","7.5","3993","6","8","9","10","10","8.13","8.23","0","10","9","9"
"2006","1 Einkommensschwächstes Quintil","7.06","7.5","4246","4","6","9","10","10","6.99","7.13","0","10","8","8"
"2006","2","7.72","7.5","4867","5","7","9","10","10","7.67","7.77","0","10","8","8"
"2006","3","7.74","7.5","4155","5","7","9","10","10","7.68","7.8","0","10","8","8"
"2006","4","7.89","7.5","4416","5","7","9","10","10","7.84","7.94","0","10","8","8"
"2006","5 Einkommensstärkstes Quintil","8.19","7.5","4158","6","7","9","10","10","8.14","8.24","0","10","9","9"
"2007","1 Einkommensschwächstes Quintil","7.09","7.5","3738","4","6","9","10","10","7.02","7.16","0","10","8","8"
"2007","2","7.68","7.5","4486","5","7","9","10","10","7.62","7.74","0","10","8","8"
"2007","3","7.83","7.5","3864","5","7","9","10","10","7.77","7.89","0","10","8","8"
"2007","4","7.86","7.5","4222","6","7","9","10","10","7.81","7.91","0","10","8","8"
"2007","5 Einkommensstärkstes Quintil","8.16","7.5","4079","6","7","9","10","10","8.11","8.21","0","10","8","9"
"2008","1 Einkommensschwächstes Quintil","7.24","7.5","3315","4","6","9","10","10","7.17","7.31","0","10","8","8"
"2008","2","7.7","7.5","4032","5","7","9","10","10","7.64","7.76","0","10","8","8"
"2008","3","7.94","7.5","3716","6","7","9","10","10","7.89","7.99","0","10","8","8"
"2008","4","8.07","7.5","4090","6","7","9","10","10","8.02","8.12","0","10","8","8"
"2008","5 Einkommensstärkstes Quintil","8.24","7.5","4079","6","8","9","10","10","8.19","8.29","0","10","9","9"
"2009","1 Einkommensschwächstes Quintil","7.19","7.5","2963","4","6","9","10","10","7.11","7.27","0","10","8","8"
"2009","2","7.66","7.5","3647","5","7","9","10","10","7.6","7.72","0","10","8","8"
"2009","3","7.77","7.5","3357","5","7","9","10","10","7.71","7.83","0","10","8","8"
"2009","4","7.95","7.5","3930","6","7","9","10","10","7.9","8","0","10","8","8"
"2009","5 Einkommensstärkstes Quintil","8.06","7.5","4033","6","7","9","10","10","8.01","8.11","0","10","8","9"
"2010","1 Einkommensschwächstes Quintil","6.96","6.5","4683","3","6","9","10","10","6.89","7.03","0","10","8","8"
"2010","2","7.66","7.5","5512","5","7","9","10","10","7.61","7.71","0","10","8","8"
"2010","3","7.86","7.5","4211","5","7","9","10","10","7.81","7.91","0","10","8","8"
"2010","4","7.9","7.5","4716","5","7","9","10","10","7.85","7.95","0","10","8","8"
"2010","5 Einkommensstärkstes Quintil","8.09","7.5","4753","6","7","9","10","10","8.05","8.13","0","10","8","9"
"2011","1 Einkommensschwächstes Quintil","7.03","7.5","4655","4","6","9","10","10","6.96","7.1","0","10","7","8"
"2011","2","7.63","7.5","5618","5","7","9","10","10","7.58","7.68","0","10","8","8"
"2011","3","7.8","7.5","4670","5","7","9","10","10","7.75","7.85","0","10","8","8"
"2011","4","7.97","7.5","5319","6","7","9","10","10","7.92","8.02","0","10","8","8"
"2011","5 Einkommensstärkstes Quintil","8.18","7.5","5459","6","8","9","10","10","8.14","8.22","0","10","9","9"
"2012","1 Einkommensschwächstes Quintil","6.98","7.5","4314","4","5","9","10","10","6.91","7.05","0","10","7","8"
"2012","2","7.59","7.5","5478","5","7","9","10","10","7.54","7.64","0","10","8","8"
"2012","3","7.92","7.5","4989","5","7","9","10","10","7.87","7.97","0","10","8","8"
"2012","4","7.97","7.5","5638","6","7","9","10","10","7.93","8.01","0","10","8","8"
"2012","5 Einkommensstärkstes Quintil","8.2","7.5","5935","6","7","9","10","10","8.16","8.24","0","10","9","9"
"2013","1 Einkommensschwächstes Quintil","6.95","7.5","5511","3","5","9","10","10","6.89","7.01","0","10","7","8"
