year,sex,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,male,Very good,0.15624,1169,6452,0.14738,0.16510
1992,male,Good,0.41948,2790,6452,0.40743,0.43152
1992,male,Satisfactory,0.28605,1701,6452,0.27503,0.29708
1992,male,Poor,0.09880,584,6452,0.09152,0.10608
1992,male,Bad,0.03943,208,6452,0.03468,0.04418
1992,female,Very good,0.12159,956,6838,0.11384,0.12934
1992,female,Good,0.36087,2728,6838,0.34949,0.37226
1992,female,Satisfactory,0.32245,2026,6838,0.31137,0.33353
1992,female,Poor,0.14254,845,6838,0.13425,0.15083
1992,female,Bad,0.05254,283,6838,0.04725,0.05783
1994,male,Very good,0.10169,725,6200,0.09416,0.10921
1994,male,Good,0.41204,2675,6200,0.39979,0.42429
1994,male,Satisfactory,0.32400,1896,6200,0.31235,0.33565
1994,male,Poor,0.12635,703,6200,0.11808,0.13462
1994,male,Bad,0.03592,201,6200,0.03129,0.04056
1994,female,Very good,0.07630,615,6647,0.06991,0.08268
1994,female,Good,0.34863,2547,6647,0.33718,0.36009
1994,female,Satisfactory,0.34915,2174,6647,0.33769,0.36061
1994,female,Poor,0.17424,1047,6647,0.16512,0.18336
1994,female,Bad,0.05169,264,6647,0.04636,0.05701
1995,male,Very good,0.09503,712,6385,0.08784,0.10223
1995,male,Good,0.41211,2763,6385,0.40004,0.42418
1995,male,Satisfactory,0.33434,1989,6385,0.32277,0.34592
1995,male,Poor,0.12506,734,6385,0.11694,0.13317
1995,male,Bad,0.03346,187,6385,0.02905,0.03787
1995,female,Very good,0.07045,591,6858,0.06439,0.07650
1995,female,Good,0.36103,2696,6858,0.34966,0.37240
1995,female,Satisfactory,0.34420,2231,6858,0.33295,0.35544
1995,female,Poor,0.17307,1055,6858,0.16411,0.18202
1995,female,Bad,0.05126,285,6858,0.04604,0.05648
1996,male,Very good,0.08662,662,6279,0.07967,0.09358
1996,male,Good,0.40909,2670,6279,0.39693,0.42125
1996,male,Satisfactory,0.34735,2059,6279,0.33557,0.35913
1996,male,Poor,0.11922,684,6279,0.11120,0.12723
1996,male,Bad,0.03772,204,6279,0.03301,0.04243
1996,female,Very good,0.08164,626,6742,0.07510,0.08818
1996,female,Good,0.34605,2566,6742,0.33470,0.35741
1996,female,Satisfactory,0.35689,2293,6742,0.34545,0.36832
1996,female,Poor,0.16874,1007,6742,0.15980,0.17768
1996,female,Bad,0.04668,250,6742,0.04164,0.05171
1997,male,Very good,0.09259,653,6199,0.08537,0.09980
1997,male,Good,0.41409,2773,6199,0.40182,0.42635
1997,male,Satisfactory,0.33980,1919,6199,0.32801,0.35159
1997,male,Poor,0.11616,663,6199,0.10818,0.12414
1997,male,Bad,0.03737,191,6199,0.03264,0.04209
1997,female,Very good,0.07515,519,6611,0.06879,0.08150
1997,female,Good,0.35477,2657,6611,0.34323,0.36630
1997,female,Satisfactory,0.35909,2241,6611,0.34753,0.37066
1997,female,Poor,0.16322,932,6611,0.15431,0.17213
1997,female,Bad,0.04777,262,6611,0.04263,0.05292
1998,male,Very good,0.10942,797,6877,0.10204,0.11680
1998,male,Good,0.42573,3078,6877,0.41404,0.43742
1998,male,Satisfactory,0.31063,2048,6877,0.29970,0.32157
1998,male,Poor,0.12009,746,6877,0.11241,0.12778
1998,male,Bad,0.03412,208,6877,0.02983,0.03841
1998,female,Very good,0.08875,677,7329,0.08224,0.09526
1998,female,Good,0.37347,3019,7329,0.36239,0.38455
1998,female,Satisfactory,0.33533,2344,7329,0.32452,0.34614
1998,female,Poor,0.14953,983,7329,0.14136,0.15769
1998,female,Bad,0.05292,306,7329,0.04780,0.05805
1999,male,Very good,0.09416,672,6594,0.08711,0.10121
1999,male,Good,0.42102,2882,6594,0.40910,0.43294
1999,male,Satisfactory,0.33065,2113,6594,0.31929,0.34200
1999,male,Poor,0.11704,711,6594,0.10928,0.12480
1999,male,Bad,0.03713,216,6594,0.03257,0.04169
1999,female,Very good,0.08566,625,7050,0.07912,0.09219
1999,female,Good,0.35961,2805,7050,0.34840,0.37081
1999,female,Satisfactory,0.34214,2347,7050,0.33107,0.35322
1999,female,Poor,0.16230,997,7050,0.15369,0.17090
1999,female,Bad,0.05030,276,7050,0.04520,0.05540
2000,male,Very good,0.11939,1368,11559,0.11348,0.12531
2000,male,Good,0.40705,4890,11559,0.39809,0.41601
2000,male,Satisfactory,0.32466,3651,11559,0.31612,0.33319
2000,male,Poor,0.11500,1286,11559,0.10918,0.12081
2000,male,Bad,0.03390,364,11559,0.03060,0.03720
2000,female,Very good,0.10046,1305,12507,0.09520,0.10573
2000,female,Good,0.35864,4862,12507,0.35024,0.36705
2000,female,Satisfactory,0.34735,4156,12507,0.33901,0.35570
2000,female,Poor,0.14794,1702,12507,0.14171,0.15416
2000,female,Bad,0.04560,482,12507,0.04195,0.04926
2001,male,Very good,0.12183,1255,10505,0.11558,0.12809
2001,male,Good,0.39972,4369,10505,0.39036,0.40909
2001,male,Satisfactory,0.32481,3341,10505,0.31586,0.33377
2001,male,Poor,0.11994,1192,10505,0.11373,0.12615
2001,male,Bad,0.03369,348,10505,0.03024,0.03714
2001,female,Very good,0.09648,1164,11385,0.09106,0.10190
2001,female,Good,0.36215,4431,11385,0.35332,0.37098
2001,female,Satisfactory,0.34303,3797,11385,0.33431,0.35175
2001,female,Poor,0.15261,1567,11385,0.14600,0.15922
2001,female,Bad,0.04573,426,11385,0.04189,0.04957
2002,male,Very good,0.10236,1208,11109,0.09672,0.10799
2002,male,Good,0.40420,4755,11109,0.39507,0.41332
2002,male,Satisfactory,0.33519,3559,11109,0.32642,0.34397
2002,male,Poor,0.12177,1236,11109,0.11569,0.12785
2002,male,Bad,0.03648,351,11109,0.03299,0.03996
2002,female,Very good,0.08348,1138,11875,0.07851,0.08846
2002,female,Good,0.35933,4707,11875,0.35070,0.36796
2002,female,Satisfactory,0.35584,3968,11875,0.34723,0.36445
2002,female,Poor,0.15546,1653,11875,0.14894,0.16197
2002,female,Bad,0.04589,409,11875,0.04213,0.04966
