"m11126","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Sehr gut","1992","(noch) kein Abschluss","164","0.245436664162301","0.216857035421851","0.27401629290275",""
"Sehr gut","1992","Hauptschule","757","0.0957012551335117","0.0885638666274926","0.102838643639531",""
"Sehr gut","1992","Realschule","628","0.171174654892092","0.157915419334862","0.184433890449322",""
"Sehr gut","1992","(Fach-)Abitur","218","0.214365552331046","0.187479667692257","0.241251436969835",""
"Sehr gut","1992","AkademikerIn","288","0.171427631898257","0.153242696823937","0.189612566972577",""
"Gut","1992","(noch) kein Abschluss","297","0.353687261208114","0.321935334713428","0.385439187702799",""
"Gut","1992","Hauptschule","2367","0.330941400117431","0.319524921043508","0.342357879191355",""
"Gut","1992","Realschule","1529","0.464253733153107","0.446697775557374","0.48180969074884",""
"Gut","1992","(Fach-)Abitur","411","0.475266290527149","0.442549208589428","0.507983372464869",""
"Gut","1992","AkademikerIn","824","0.468608148543569","0.444530255426693","0.492686041660445",""
"Zufriedenstellend","1992","(noch) kein Abschluss","219","0.214035286067128","0.18679678362583","0.241273788508425",""
"Zufriedenstellend","1992","Hauptschule","2183","0.357674643072608","0.346045541442535","0.369303744702681",""
"Zufriedenstellend","1992","Realschule","695","0.259646984929623","0.24421299151114","0.275080978348106",""
"Zufriedenstellend","1992","(Fach-)Abitur","177","0.199349581401375","0.173175846166589","0.225523316636161",""
"Zufriedenstellend","1992","AkademikerIn","394","0.255046491359251","0.234014500682234","0.276078482036267",""
"Weniger gut","1992","(noch) kein Abschluss","143","0.125926951404428","0.103894023014586","0.147959879794271",""
"Weniger gut","1992","Hauptschule","891","0.153293093333672","0.144552268813192","0.162033917854151",""
"Weniger gut","1992","Realschule","197","0.0828798905361786","0.0731746805454727","0.0925851005268846",""
"Weniger gut","1992","(Fach-)Abitur","69","0.0865933868510529","0.0681682376957592","0.105018536006347",""
"Weniger gut","1992","AkademikerIn","106","0.0737345358365172","0.0611247029783475","0.0863443686946869",""
"Schlecht","1992","(noch) kein Abschluss","48","0.0609138371580296","0.0450302089382217","0.0767974653778376",""
"Schlecht","1992","Hauptschule","328","0.0623896083427777","0.0565215842002635","0.068257632485292",""
"Schlecht","1992","Realschule","51","0.0220447364889992","0.0168760618560665","0.0272134111219319",""
"Schlecht","1992","(Fach-)Abitur","20","","","",""
"Schlecht","1992","AkademikerIn","38","0.0311831923624061","0.0227965670972756","0.0395698176275366",""
"Sehr gut","1993","(noch) kein Abschluss","","","","",""
"Sehr gut","1993","Hauptschule","","","","",""
"Sehr gut","1993","Realschule","","","","",""
"Sehr gut","1993","(Fach-)Abitur","","","","",""
"Sehr gut","1993","AkademikerIn","","","","",""
"Gut","1993","(noch) kein Abschluss","","","","",""
"Gut","1993","Hauptschule","","","","",""
"Gut","1993","Realschule","","","","",""
"Gut","1993","(Fach-)Abitur","","","","",""
"Gut","1993","AkademikerIn","","","","",""
"Zufriedenstellend","1993","(noch) kein Abschluss","","","","",""
"Zufriedenstellend","1993","Hauptschule","","","","",""
"Zufriedenstellend","1993","Realschule","","","","",""
"Zufriedenstellend","1993","(Fach-)Abitur","","","","",""
"Zufriedenstellend","1993","AkademikerIn","","","","",""
"Weniger gut","1993","(noch) kein Abschluss","","","","",""
"Weniger gut","1993","Hauptschule","","","","",""
"Weniger gut","1993","Realschule","","","","",""
"Weniger gut","1993","(Fach-)Abitur","","","","",""
"Weniger gut","1993","AkademikerIn","","","","",""
"Schlecht","1993","(noch) kein Abschluss","","","","",""
"Schlecht","1993","Hauptschule","","","","",""
"Schlecht","1993","Realschule","","","","",""
"Schlecht","1993","(Fach-)Abitur","","","","",""
"Schlecht","1993","AkademikerIn","","","","",""
"Sehr gut","1994","(noch) kein Abschluss","131","0.183156856618421","0.157077272521155","0.209236440715687",""
"Sehr gut","1994","Hauptschule","483","0.0641856723911821","0.0580303141016683","0.0703410306806959",""
"Sehr gut","1994","Realschule","385","0.107925721932394","0.0969030024099038","0.118948441454884",""
"Sehr gut","1994","(Fach-)Abitur","141","0.130732489175083","0.108961068719636","0.15250390963053",""
"Sehr gut","1994","AkademikerIn","150","0.0909160645425093","0.0770401994424925","0.104791929642526",""
"Gut","1994","(noch) kein Abschluss","330","0.422421746295895","0.389117601426912","0.455725891164878",""
"Gut","1994","Hauptschule","2132","0.315627469820682","0.303954721377341","0.327300218264022",""
"Gut","1994","Realschule","1404","0.431392499808844","0.413798347225125","0.448986652392563",""
"Gut","1994","(Fach-)Abitur","459","0.490055025700761","0.457769909219813","0.522340142181708",""
"Gut","1994","AkademikerIn","768","0.464803573388607","0.440730635524724","0.488876511252489",""
"Zufriedenstellend","1994","(noch) kein Abschluss","205","0.231853974966184","0.20339960962942","0.260308340302948",""
"Zufriedenstellend","1994","Hauptschule","2143","0.373683624689561","0.36153328663035","0.385833962748773",""
"Zufriedenstellend","1994","Realschule","917","0.321224781270525","0.304636809898085","0.337812752642964",""
"Zufriedenstellend","1994","(Fach-)Abitur","210","0.242843507021654","0.215150230037073","0.270536784006235",""
"Zufriedenstellend","1994","AkademikerIn","512","0.307827503431673","0.285548352145999","0.330106654717348",""
