"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1990","16-34 Jahre alt","7.51","7.5","973","7.34","7.68"
"1990","35-65 Jahre alt","7.6","7.5","498","7.38","7.82"
"1990","66 und älter","","","","",""
"1991","16-34 Jahre alt","","","","",""
"1991","35-65 Jahre alt","","","","",""
"1991","66 und älter","","","","",""
"1992","16-34 Jahre alt","","","","",""
"1992","35-65 Jahre alt","","","","",""
"1992","66 und älter","","","","",""
"1993","16-34 Jahre alt","","","","",""
"1993","35-65 Jahre alt","","","","",""
"1993","66 und älter","","","","",""
"1994","16-34 Jahre alt","","","","",""
"1994","35-65 Jahre alt","","","","",""
"1994","66 und älter","","","","",""
"1995","16-34 Jahre alt","","","","",""
"1995","35-65 Jahre alt","","","","",""
"1995","66 und älter","","","","",""
"1996","16-34 Jahre alt","","","","",""
"1996","35-65 Jahre alt","","","","",""
"1996","66 und älter","","","","",""
"1997","16-34 Jahre alt","6.43","6.5","1674","6.31","6.55"
"1997","35-65 Jahre alt","6.45","6.5","1729","6.34","6.56"
"1997","66 und älter","5.32","4.5","47","4.56","6.08"
"1998","16-34 Jahre alt","6.66","6.5","1699","6.54","6.78"
"1998","35-65 Jahre alt","6.59","6.5","1915","6.48","6.7"
"1998","66 und älter","4.75","4.5","50","3.88","5.62"
"1999","16-34 Jahre alt","6.59","6.5","1586","6.47","6.71"
"1999","35-65 Jahre alt","6.57","6.5","1956","6.46","6.68"
"1999","66 und älter","6.44","6.5","64","5.82","7.06"
"2000","16-34 Jahre alt","6.7","6.5","2324","6.59","6.81"
"2000","35-65 Jahre alt","6.47","6.5","3484","6.38","6.56"
"2000","66 und älter","5.08","5.5","118","4.4","5.76"
"2001","16-34 Jahre alt","6.66","6.5","1791","6.54","6.78"
"2001","35-65 Jahre alt","6.39","6.5","2481","6.28","6.5"
"2001","66 und älter","4.62","4.5","115","3.96","5.28"
"2002","16-34 Jahre alt","6.5","6.5","1504","6.37","6.63"
