"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1990","16-34 Jahre alt","Laendlicher Raum","7.55","7.5","620","7.34","7.76"
"1990","16-34 Jahre alt","Staedtischer Raum","7.4","7.5","326","7.09","7.71"
"1990","35-65 Jahre alt","Laendlicher Raum","7.64","7.5","325","7.37","7.91"
"1990","35-65 Jahre alt","Staedtischer Raum","7.48","7.5","161","7.09","7.87"
"1990","66 und älter","Laendlicher Raum","","","","",""
"1990","66 und älter","Staedtischer Raum","","","","",""
"1991","16-34 Jahre alt","Laendlicher Raum","","","","",""
"1991","16-34 Jahre alt","Staedtischer Raum","","","","",""
"1991","35-65 Jahre alt","Laendlicher Raum","","","","",""
"1991","35-65 Jahre alt","Staedtischer Raum","","","","",""
"1991","66 und älter","Laendlicher Raum","","","","",""
"1991","66 und älter","Staedtischer Raum","","","","",""
"1992","16-34 Jahre alt","Laendlicher Raum","","","","",""
"1992","16-34 Jahre alt","Staedtischer Raum","","","","",""
"1992","35-65 Jahre alt","Laendlicher Raum","","","","",""
"1992","35-65 Jahre alt","Staedtischer Raum","","","","",""
"1992","66 und älter","Laendlicher Raum","","","","",""
"1992","66 und älter","Staedtischer Raum","","","","",""
"1993","16-34 Jahre alt","Laendlicher Raum","","","","",""
"1993","16-34 Jahre alt","Staedtischer Raum","","","","",""
"1993","35-65 Jahre alt","Laendlicher Raum","","","","",""
"1993","35-65 Jahre alt","Staedtischer Raum","","","","",""
"1993","66 und älter","Laendlicher Raum","","","","",""
"1993","66 und älter","Staedtischer Raum","","","","",""
"1994","16-34 Jahre alt","Laendlicher Raum","","","","",""
"1994","16-34 Jahre alt","Staedtischer Raum","","","","",""
"1994","35-65 Jahre alt","Laendlicher Raum","","","","",""
"1994","35-65 Jahre alt","Staedtischer Raum","","","","",""
"1994","66 und älter","Laendlicher Raum","","","","",""
"1994","66 und älter","Staedtischer Raum","","","","",""
"1995","16-34 Jahre alt","Laendlicher Raum","","","","",""
"1995","16-34 Jahre alt","Staedtischer Raum","","","","",""
"1995","35-65 Jahre alt","Laendlicher Raum","","","","",""
"1995","35-65 Jahre alt","Staedtischer Raum","","","","",""
"1995","66 und älter","Laendlicher Raum","","","","",""
"1995","66 und älter","Staedtischer Raum","","","","",""
"1996","16-34 Jahre alt","Laendlicher Raum","","","","",""
"1996","16-34 Jahre alt","Staedtischer Raum","","","","",""
"1996","35-65 Jahre alt","Laendlicher Raum","","","","",""
"1996","35-65 Jahre alt","Staedtischer Raum","","","","",""
"1996","66 und älter","Laendlicher Raum","","","","",""
"1996","66 und älter","Staedtischer Raum","","","","",""
"1997","16-34 Jahre alt","Laendlicher Raum","6.66","6.5","584","6.46","6.86"
"1997","16-34 Jahre alt","Staedtischer Raum","6.3","6.5","1090","6.15","6.45"
"1997","35-65 Jahre alt","Laendlicher Raum","6.55","6.5","589","6.36","6.74"
"1997","35-65 Jahre alt","Staedtischer Raum","6.41","6.5","1140","6.28","6.54"
"1997","66 und älter","Laendlicher Raum","","","","",""
"1997","66 und älter","Staedtischer Raum","4.89","4.5","32","3.95","5.83"
"1998","16-34 Jahre alt","Laendlicher Raum","6.94","6.5","594","6.75","7.13"
"1998","16-34 Jahre alt","Staedtischer Raum","6.51","6.5","1105","6.36","6.66"
"1998","35-65 Jahre alt","Laendlicher Raum","6.52","6.5","677","6.34","6.7"
"1998","35-65 Jahre alt","Staedtischer Raum","6.63","6.5","1238","6.5","6.76"
"1998","66 und älter","Laendlicher Raum","","","","",""
"1998","66 und älter","Staedtischer Raum","4.65","4.5","32","3.44","5.86"
"1999","16-34 Jahre alt","Laendlicher Raum","6.51","6.5","565","6.3","6.72"
"1999","16-34 Jahre alt","Staedtischer Raum","6.64","6.5","1021","6.49","6.79"
"1999","35-65 Jahre alt","Laendlicher Raum","6.44","6.5","706","6.26","6.62"
"1999","35-65 Jahre alt","Staedtischer Raum","6.63","6.5","1250","6.5","6.76"
"1999","66 und älter","Laendlicher Raum","","","","",""
"1999","66 und älter","Staedtischer Raum","5.93","5.5","40","5.03","6.83"
"2000","16-34 Jahre alt","Laendlicher Raum","6.88","7.5","839","6.7","7.06"
"2000","16-34 Jahre alt","Staedtischer Raum","6.6","6.5","1485","6.47","6.73"
"2000","35-65 Jahre alt","Laendlicher Raum","6.45","6.5","1150","6.3","6.6"
"2000","35-65 Jahre alt","Staedtischer Raum","6.47","6.5","2334","6.37","6.57"
"2000","66 und älter","Laendlicher Raum","4.07","4.5","43","2.88","5.26"
"2000","66 und älter","Staedtischer Raum","5.57","6.5","75","4.76","6.38"
"2001","16-34 Jahre alt","Laendlicher Raum","6.68","6.5","649","6.47","6.89"
"2001","16-34 Jahre alt","Staedtischer Raum","6.65","6.5","1142","6.5","6.8"
"2001","35-65 Jahre alt","Laendlicher Raum","6.4","6.5","833","6.21","6.59"
"2001","35-65 Jahre alt","Staedtischer Raum","6.38","6.5","1648","6.25","6.51"
"2001","66 und älter","Laendlicher Raum","5.14","4.5","46","4.18","6.1"
"2001","66 und älter","Staedtischer Raum","4.34","4.5","69","3.44","5.24"
"2002","16-34 Jahre alt","Laendlicher Raum","6.49","6.5","530","6.27","6.71"
"2002","16-34 Jahre alt","Staedtischer Raum","6.5","6.5","974","6.35","6.65"
"2002","35-65 Jahre alt","Laendlicher Raum","6.51","6.5","776","6.33","6.69"
"2002","35-65 Jahre alt","Staedtischer Raum","6.41","6.5","1734","6.29","6.53"
"2002","66 und älter","Laendlicher Raum","","","","",""
"2002","66 und älter","Staedtischer Raum","4.97","4.5","64","4.09","5.85"
"2003","16-34 Jahre alt","Laendlicher Raum","6.28","6.5","1057","6.13","6.43"
"2003","16-34 Jahre alt","Staedtischer Raum","6.19","5.5","1887","6.08","6.3"
"2003","35-65 Jahre alt","Laendlicher Raum","6.42","6.5","2023","6.32","6.52"
"2003","35-65 Jahre alt","Staedtischer Raum","6.27","6.5","3726","6.19","6.35"
"2003","66 und älter","Laendlicher Raum","5.99","5.5","228","5.65","6.33"
"2003","66 und älter","Staedtischer Raum","6.32","5.5","303","6","6.64"
"2004","16-34 Jahre alt","Laendlicher Raum","6.7","6.5","478","6.46","6.94"
"2004","16-34 Jahre alt","Staedtischer Raum","6.46","6.5","869","6.29","6.63"
"2004","35-65 Jahre alt","Laendlicher Raum","6.14","6.5","781","5.96","6.32"
"2004","35-65 Jahre alt","Staedtischer Raum","6.21","6.5","1687","6.09","6.33"
"2004","66 und älter","Laendlicher Raum","","","","",""
"2004","66 und älter","Staedtischer Raum","5.22","5.5","63","4.36","6.08"
"2005","16-34 Jahre alt","Laendlicher Raum","6.4","6.5","455","6.15","6.65"
"2005","16-34 Jahre alt","Staedtischer Raum","6.39","6.5","811","6.2","6.58"
"2005","35-65 Jahre alt","Laendlicher Raum","6.14","6.5","779","5.95","6.33"
"2005","35-65 Jahre alt","Staedtischer Raum","6.16","6.5","1567","6.03","6.29"
"2005","66 und älter","Laendlicher Raum","4.43","5.5","31","2.95","5.91"
"2005","66 und älter","Staedtischer Raum","4.25","4.5","82","3.45","5.05"
"2006","16-34 Jahre alt","Laendlicher Raum","6.43","6.5","466","6.2","6.66"
"2006","16-34 Jahre alt","Staedtischer Raum","6.27","6.5","749","6.07","6.47"
"2006","35-65 Jahre alt","Laendlicher Raum","6.19","6.5","780","6.01","6.37"
"2006","35-65 Jahre alt","Staedtischer Raum","6.14","6.5","1514","6","6.28"
"2006","66 und älter","Laendlicher Raum","","","","",""
"2006","66 und älter","Staedtischer Raum","3.82","3.5","57","2.82","4.82"
"2007","16-34 Jahre alt","Laendlicher Raum","6.84","7.5","406","6.6","7.08"
"2007","16-34 Jahre alt","Staedtischer Raum","6.25","6.5","665","6.04","6.46"
"2007","35-65 Jahre alt","Laendlicher Raum","6.24","6.5","768","6.06","6.42"
"2007","35-65 Jahre alt","Staedtischer Raum","6.22","6.5","1480","6.09","6.35"
"2007","66 und älter","Laendlicher Raum","2.8","1","38","1.74","3.86"
"2007","66 und älter","Staedtischer Raum","4.31","4.5","70","3.37","5.25"
"2008","16-34 Jahre alt","Laendlicher Raum","6.98","7.5","341","6.72","7.24"
"2008","16-34 Jahre alt","Staedtischer Raum","6.45","6.5","564","6.23","6.67"
"2008","35-65 Jahre alt","Laendlicher Raum","6.62","6.5","651","6.43","6.81"
"2008","35-65 Jahre alt","Staedtischer Raum","6.72","6.5","1240","6.59","6.85"
"2008","66 und älter","Laendlicher Raum","","","","",""
"2008","66 und älter","Staedtischer Raum","6.04","6.5","39","4.82","7.26"
"2009","16-34 Jahre alt","Laendlicher Raum","7.14","7.5","337","6.88","7.4"
"2009","16-34 Jahre alt","Staedtischer Raum","6.81","6.5","492","6.58","7.04"
"2009","35-65 Jahre alt","Laendlicher Raum","6.6","6.5","674","6.4","6.8"
"2009","35-65 Jahre alt","Staedtischer Raum","6.64","6.5","1110","6.5","6.78"
"2009","66 und älter","Laendlicher Raum","","","","",""
"2009","66 und älter","Staedtischer Raum","3.36","2","45","2.29","4.43"
"2010","16-34 Jahre alt","Laendlicher Raum","7.32","7.5","972","7.16","7.48"
"2010","16-34 Jahre alt","Staedtischer Raum","6.84","7.5","1721","6.71","6.97"
"2010","35-65 Jahre alt","Laendlicher Raum","6.82","6.5","1383","6.69","6.95"
"2010","35-65 Jahre alt","Staedtischer Raum","6.66","6.5","2720","6.56","6.76"
"2010","66 und älter","Laendlicher Raum","3.67","0","32","2.24","5.1"
"2010","66 und älter","Staedtischer Raum","4.71","4.5","47","3.51","5.91"
"2011","16-34 Jahre alt","Laendlicher Raum","7.12","7.5","981","6.97","7.27"
"2011","16-34 Jahre alt","Staedtischer Raum","6.97","7.5","1528","6.84","7.1"
"2011","35-65 Jahre alt","Laendlicher Raum","7.16","7.5","1639","7.05","7.27"
"2011","35-65 Jahre alt","Staedtischer Raum","7.09","7.5","2985","7.01","7.17"
"2011","66 und älter","Laendlicher Raum","4.45","2","36","3.06","5.84"
"2011","66 und älter","Staedtischer Raum","4.16","4.5","86","3.35","4.97"
"2012","16-34 Jahre alt","Laendlicher Raum","7.52","7.5","874","7.38","7.66"
"2012","16-34 Jahre alt","Staedtischer Raum","6.99","7.5","1318","6.86","7.12"
"2012","35-65 Jahre alt","Laendlicher Raum","7.27","7.5","1610","7.17","7.37"
"2012","35-65 Jahre alt","Staedtischer Raum","7.19","7.5","2833","7.11","7.27"
"2012","66 und älter","Laendlicher Raum","","","","",""
"2012","66 und älter","Staedtischer Raum","5.14","6.5","56","4.17","6.11"
"2013","16-34 Jahre alt","Laendlicher Raum","7.38","7.5","737","7.22","7.54"
"2013","16-34 Jahre alt","Staedtischer Raum","6.5","7.5","1100","6.35","6.65"
"2013","35-65 Jahre alt","Laendlicher Raum","7.36","7.5","1493","7.26","7.46"
"2013","35-65 Jahre alt","Staedtischer Raum","7.32","7.5","2700","7.24","7.4"
"2013","66 und älter","Laendlicher Raum","4.43","4.5","30","3.12","5.74"
"2013","66 und älter","Staedtischer Raum","5.28","4.5","49","4.22","6.34"
"2014","16-34 Jahre alt","Laendlicher Raum","7.34","7.5","691","7.18","7.5"
"2014","16-34 Jahre alt","Staedtischer Raum","7.03","7.5","1216","6.89","7.17"
"2014","35-65 Jahre alt","Laendlicher Raum","7.21","7.5","1466","7.1","7.32"
"2014","35-65 Jahre alt","Staedtischer Raum","7.19","7.5","2893","7.11","7.27"
"2014","66 und älter","Laendlicher Raum","3.81","2","30","2.45","5.17"
"2014","66 und älter","Staedtischer Raum","4.63","4.5","57","3.62","5.64"
"2015","16-34 Jahre alt","Laendlicher Raum","7.39","7.5","532","7.21","7.57"
"2015","16-34 Jahre alt","Staedtischer Raum","7.42","7.5","926","7.28","7.56"
"2015","35-65 Jahre alt","Laendlicher Raum","7.17","7.5","1277","7.06","7.28"
"2015","35-65 Jahre alt","Staedtischer Raum","7.32","7.5","2452","7.23","7.41"
"2015","66 und älter","Laendlicher Raum","5.36","6.5","37","4.29","6.43"
"2015","66 und älter","Staedtischer Raum","6.9","7.5","47","5.87","7.93"
"2016","16-34 Jahre alt","Laendlicher Raum","7.59","7.5","502","7.38","7.8"
"2016","16-34 Jahre alt","Staedtischer Raum","7.15","7.5","868","7","7.3"
"2016","35-65 Jahre alt","Laendlicher Raum","7.37","7.5","1186","7.25","7.49"
"2016","35-65 Jahre alt","Staedtischer Raum","7.42","7.5","2209","7.33","7.51"
