year,sampreg,rentown,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,West,Tenant,0.658024901927341,5863,0.6458822224824058,0.6701675813722762
1984,West,Owner,0.341975098072659,5863,0.32983241862772383,0.3541177775175942
1985,West,Tenant,0.6462443095599393,5272,0.6333375133215602,0.6591511057983184
1985,West,Owner,0.3537556904400607,5272,0.3408488942016816,0.36666248667843987
1986,West,Tenant,0.6353525322740814,5039,0.622062443688342,0.6486426208598208
1986,West,Owner,0.36464746772591855,5039,0.35135737914017906,0.37793755631165804
1987,West,Tenant,0.6320128694952745,4975,0.6186118201930133,0.6454139187975356
1987,West,Owner,0.36798713050472553,4975,0.3545860812024643,0.38138817980698675
1988,West,Tenant,0.6334661354581673,4770,0.6197915038238168,0.6471407670925179
1988,West,Owner,0.3665338645418327,4770,0.35285923290748217,0.3802084961761832
1989,West,Tenant,0.6314543889845095,4651,0.6175900388869071,0.6453187390821118
1989,West,Owner,0.36854561101549055,4651,0.3546812609178882,0.3824099611130929
1990,West,Tenant,0.6214332389457634,6750,0.6098621917745503,0.6330042861169766
1990,West,Owner,0.37856676105423653,6750,0.3669957138830234,0.3901378082254497
1990,East,Tenant,0.7101718532280539,6750,0.6993486405457546,0.7209950659103531
1990,East,Owner,0.2898281467719461,6750,0.2790049340896469,0.30065135945424537
1991,West,Tenant,0.6224951519069166,6629,0.6108254082759644,0.6341648955378688
1991,West,Owner,0.3775048480930834,6629,0.36583510446213124,0.3891745917240355
1991,East,Tenant,0.704579768495219,6629,0.6935968625811076,0.7155626744093303
1991,East,Owner,0.2954202315047811,6629,0.2844373255906697,0.30640313741889247
1992,West,Tenant,0.619712261112304,6603,0.6080028075456083,0.6314217146789998
1992,West,Owner,0.38028773888769596,6603,0.3685782853210002,0.39199719245439174
1992,East,Tenant,0.710174717368962,6603,0.6992317233891658,0.7211177113487581
1992,East,Owner,0.289825282631038,6603,0.2788822886512418,0.3007682766108342
1993,West,Tenant,0.6219043552519214,6570,0.6101787296501269,0.633629980853716
1993,West,Owner,0.37809564474807855,6570,0.36637001914628403,0.3898212703498731
1993,East,Tenant,0.7076923076923077,6570,0.696694256261891,0.7186903591227245
1993,East,Owner,0.2923076923076923,6570,0.28130964087727556,0.3033057437381091
1994,West,Tenant,0.61731059788474,6496,0.6054908517891674,0.6291303439803125
1994,West,Owner,0.3826894021152601,6496,0.37086965601968747,0.3945091482108327
1994,East,Tenant,0.7,6496,0.6888559587593901,0.7111440412406098
1994,East,Owner,0.3,6496,0.28885595875939013,0.31114404124060985
