year,rentown,proportion,n,lower_confidence,upper_confidence
1984,Zur Miete,0.658024901927341,5863,0.6458822224824058,0.6701675813722762
1984,Eigentum,0.341975098072659,5863,0.32983241862772383,0.3541177775175942
1985,Zur Miete,0.6462443095599393,5272,0.6333375133215602,0.6591511057983184
1985,Eigentum,0.3537556904400607,5272,0.3408488942016816,0.36666248667843987
1986,Zur Miete,0.6353525322740814,5039,0.622062443688342,0.6486426208598208
1986,Eigentum,0.36464746772591855,5039,0.35135737914017906,0.37793755631165804
1987,Zur Miete,0.6320128694952745,4975,0.6186118201930133,0.6454139187975356
1987,Eigentum,0.36798713050472553,4975,0.3545860812024643,0.38138817980698675
1988,Zur Miete,0.6334661354581673,4770,0.6197915038238168,0.6471407670925179
1988,Eigentum,0.3665338645418327,4770,0.35285923290748217,0.3802084961761832
1989,Zur Miete,0.6314543889845095,4651,0.6175900388869071,0.6453187390821118
1989,Eigentum,0.36854561101549055,4651,0.3546812609178882,0.3824099611130929
1990,Zur Miete,0.6497627520759194,6750,0.6383822150368629,0.6611432891149759
1990,Eigentum,0.3502372479240807,6750,0.33885671088502417,0.3616177849631372
1991,Zur Miete,0.6471031985515993,6629,0.6355993621703407,0.6586070349328578
1991,Eigentum,0.35289680144840074,6629,0.34139296506714223,0.36440063782965926
1992,Zur Miete,0.646372860820839,6603,0.6348409898814303,0.6579047317602477
1992,Eigentum,0.353627139179161,6603,0.3420952682397524,0.3651590101185696
1993,Zur Miete,0.6465215405693409,6570,0.6349618459038183,0.6580812352348634
1993,Eigentum,0.35347845943065914,6570,0.34191876476513666,0.3650381540961816
1994,Zur Miete,0.6409979978438318,6496,0.6293323238636289,0.6526636718240347
1994,Eigentum,0.3590020021561682,6496,0.34733632817596527,0.3706676761363711
1995,Zur Miete,0.6470061221442437,6697,0.6355601231457054,0.658452121142782
1995,Eigentum,0.3529938778557563,6697,0.341547878857218,0.36443987685429463
1996,Zur Miete,0.63881767455889,6631,0.6272560659283463,0.6503792831894338
1996,Eigentum,0.36118232544110995,6631,0.34962071681056617,0.37274393407165374
1997,Zur Miete,0.6266422242590896,6546,0.6149245748801658,0.6383598736380133
1997,Eigentum,0.3733577757409105,6546,0.3616401263619868,0.3850754251198342
1998,Zur Miete,0.6088715113927464,7417,0.5977653371216269,0.6199776856638659
1998,Eigentum,0.39112848860725363,7417,0.3800223143361341,0.4022346628783732
1999,Zur Miete,0.5997480050398992,7143,0.5883856879527077,0.6111103221270907
1999,Eigentum,0.4002519949601008,7143,0.3888896778729093,0.41161431204729226
2000,Zur Miete,0.5501930501930502,12950,0.5416248063428183,0.5587612940432821
2000,Eigentum,0.4498069498069498,12950,0.4412387059567178,0.45837519365718177
2001,Zur Miete,0.5490582191780822,11680,0.5400341152912862,0.5580823230648781
2001,Eigentum,0.4509417808219178,11680,0.44191767693512185,0.4599658847087138
2002,Zur Miete,0.5214543072387815,12212,0.5125943319845248,0.5303142824930382
2002,Eigentum,0.4785456927612185,12212,0.4696857175069617,0.4874056680154753
