year,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Not Disabled (<= 30%),0.73127,11068,12132,0.72338,0.73916
1984,West,Disabled (> 30%),0.09254,1064,12132,0.08738,0.09770
1985,West,Not Disabled (<= 30%),0.74349,10055,10984,0.73533,0.75166
1985,West,Disabled (> 30%),0.09146,929,10984,0.08607,0.09685
1987,West,Not Disabled (<= 30%),0.73997,9517,10404,0.73154,0.74840
1987,West,Disabled (> 30%),0.09130,887,10404,0.08576,0.09683
1988,West,Not Disabled (<= 30%),0.73031,8983,9929,0.72158,0.73904
1988,West,Disabled (> 30%),0.10103,946,9929,0.09510,0.10696
1989,West,Not Disabled (<= 30%),0.72783,8686,9620,0.71893,0.73672
1989,West,Disabled (> 30%),0.10468,934,9620,0.09856,0.11080
1991,West,Not Disabled (<= 30%),0.71707,8456,9405,0.70797,0.72617
1991,West,Disabled (> 30%),0.10613,949,9405,0.09991,0.11236
1991,East,Not Disabled (<= 30%),0.80751,4139,4139,0.79550,0.81952
1992,West,Not Disabled (<= 30%),0.71394,8332,9301,0.70475,0.72312
1992,West,Disabled (> 30%),0.10893,969,9301,0.10260,0.11526
1992,East,Not Disabled (<= 30%),0.74676,3701,3915,0.73313,0.76038
1992,East,Disabled (> 30%),0.05212,214,3915,0.04515,0.05908
1994,West,Not Disabled (<= 30%),0.71576,8138,9067,0.70647,0.72504
1994,West,Disabled (> 30%),0.10422,929,9067,0.09793,0.11051
1994,East,Not Disabled (<= 30%),0.75311,3528,3745,0.73930,0.76692
1994,East,Disabled (> 30%),0.05723,217,3745,0.04979,0.06467
1995,West,Not Disabled (<= 30%),0.70191,8514,9498,0.69271,0.71111
1995,West,Disabled (> 30%),0.10951,984,9498,0.10323,0.11580
1995,East,Not Disabled (<= 30%),0.75145,3424,3667,0.73746,0.76544
1995,East,Disabled (> 30%),0.06635,243,3667,0.05830,0.07441
1996,West,Not Disabled (<= 30%),0.70738,8361,9338,0.69815,0.71661
1996,West,Disabled (> 30%),0.11103,977,9338,0.10466,0.11741
1996,East,Not Disabled (<= 30%),0.75324,3406,3661,0.73927,0.76721
1996,East,Disabled (> 30%),0.07078,255,3661,0.06247,0.07909
1997,West,Not Disabled (<= 30%),0.70770,8207,9163,0.69838,0.71701
1997,West,Disabled (> 30%),0.10958,956,9163,0.10318,0.11598
1997,East,Not Disabled (<= 30%),0.76002,3349,3604,0.74607,0.77396
1997,East,Disabled (> 30%),0.07031,255,3604,0.06196,0.07866
1998,West,Not Disabled (<= 30%),0.71103,9226,10359,0.70230,0.71976
1998,West,Disabled (> 30%),0.11091,1133,10359,0.10487,0.11696
1998,East,Not Disabled (<= 30%),0.76242,3553,3832,0.74895,0.77590
1998,East,Disabled (> 30%),0.06675,279,3832,0.05885,0.07466
1999,West,Not Disabled (<= 30%),0.70923,8788,9880,0.70027,0.71818
1999,West,Disabled (> 30%),0.11356,1092,9880,0.10730,0.11981
1999,East,Not Disabled (<= 30%),0.76998,3477,3770,0.75655,0.78342
1999,East,Disabled (> 30%),0.07311,293,3770,0.06480,0.08142
2000,West,Not Disabled (<= 30%),0.72234,16284,18224,0.71584,0.72884
2000,West,Disabled (> 30%),0.09872,1940,18224,0.09439,0.10305
