year,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Not Disabled (<= 30%),0.74041,7731,8645,0.73116,0.74965
1984,No migration background,Disabled (> 30%),0.09852,914,8645,0.09224,0.10480
1984,Direct migration background,Not Disabled (<= 30%),0.82588,3217,3362,0.81306,0.83870
1984,Direct migration background,Disabled (> 30%),0.05817,145,3362,0.05025,0.06608
1984,Indirect migration background,Not Disabled (<= 30%),0.11207,120,120,0.05539,0.16875
1985,No migration background,Not Disabled (<= 30%),0.75367,7141,7949,0.74419,0.76314
1985,No migration background,Disabled (> 30%),0.09675,808,7949,0.09025,0.10325
1985,Direct migration background,Not Disabled (<= 30%),0.84040,2778,2895,0.82706,0.85374
1985,Direct migration background,Disabled (> 30%),0.06563,117,2895,0.05661,0.07466
1985,Indirect migration background,Not Disabled (<= 30%),0.13812,136,136,0.07992,0.19633
1987,No migration background,Not Disabled (<= 30%),0.75281,6696,7434,0.74301,0.76262
1987,No migration background,Disabled (> 30%),0.09529,738,7434,0.08861,0.10196
1987,Direct migration background,Not Disabled (<= 30%),0.84401,2655,2798,0.83056,0.85745
1987,Direct migration background,Disabled (> 30%),0.08330,143,2798,0.07306,0.09354
1987,Indirect migration background,Not Disabled (<= 30%),0.13321,166,166,0.08136,0.18506
1988,No migration background,Not Disabled (<= 30%),0.74303,6292,7051,0.73283,0.75323
1988,No migration background,Disabled (> 30%),0.10472,759,7051,0.09757,0.11186
1988,Direct migration background,Not Disabled (<= 30%),0.83469,2481,2659,0.82057,0.84882
1988,Direct migration background,Disabled (> 30%),0.09954,178,2659,0.08816,0.11092
1988,Indirect migration background,Not Disabled (<= 30%),0.15421,210,210,0.10524,0.20317
1989,No migration background,Not Disabled (<= 30%),0.73936,6030,6785,0.72891,0.74980
1989,No migration background,Disabled (> 30%),0.10998,755,6785,0.10253,0.11742
1989,Direct migration background,Not Disabled (<= 30%),0.84718,2408,2579,0.83329,0.86107
1989,Direct migration background,Disabled (> 30%),0.09323,171,2579,0.08201,0.10446
1989,Indirect migration background,Not Disabled (<= 30%),0.17504,248,248,0.12765,0.22243
1991,No migration background,Not Disabled (<= 30%),0.74655,9829,10581,0.73826,0.75484
1991,No migration background,Disabled (> 30%),0.08606,752,10581,0.08072,0.09141
1991,Direct migration background,Not Disabled (<= 30%),0.86463,2426,2616,0.85152,0.87774
1991,Direct migration background,Disabled (> 30%),0.09717,190,2616,0.08581,0.10852
1991,Indirect migration background,Not Disabled (<= 30%),0.19824,340,340,0.15580,0.24068
1992,No migration background,Not Disabled (<= 30%),0.72837,9316,10274,0.71977,0.73697
1992,No migration background,Disabled (> 30%),0.09972,958,10274,0.09393,0.10551
1992,Direct migration background,Not Disabled (<= 30%),0.86070,2322,2536,0.84723,0.87418
