year,bula_h,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Not Disabled (<= 30%),0.75735,362,362,0.71312,0.80157
1984,Hamburg,Not Disabled (<= 30%),0.80923,284,284,0.76345,0.85501
1984,Lower Saxony,Not Disabled (<= 30%),0.73837,1120,1232,0.71382,0.76292
1984,Lower Saxony,Disabled (> 30%),0.08722,112,1232,0.07146,0.10299
1984,Bremen,Not Disabled (<= 30%),0.75430,114,114,0.67492,0.83368
1984,North Rhine-Westphalia,Not Disabled (<= 30%),0.69838,2905,3241,0.68258,0.71418
1984,North Rhine-Westphalia,Disabled (> 30%),0.11397,336,3241,0.10303,0.12491
1984,Hesse,Not Disabled (<= 30%),0.75468,1142,1242,0.73074,0.77862
1984,Hesse,Disabled (> 30%),0.09059,100,1242,0.07462,0.10656
1984,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.76014,773,848,0.73138,0.78889
1984,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.08485,75,848,0.06608,0.10362
1984,Baden-Wuerttemberg,Not Disabled (<= 30%),0.73551,2104,2252,0.71729,0.75373
1984,Baden-Wuerttemberg,Disabled (> 30%),0.06776,148,2252,0.05738,0.07814
1984,Bavaria,Not Disabled (<= 30%),0.73827,1910,2085,0.71939,0.75714
1984,Bavaria,Disabled (> 30%),0.08617,175,2085,0.07412,0.09822
1984,Berlin,Not Disabled (<= 30%),0.69276,354,408,0.64794,0.73758
1984,Berlin,Disabled (> 30%),0.14258,54,408,0.10861,0.17655
1985,Schleswig-Holstein,Not Disabled (<= 30%),0.74479,324,324,0.69724,0.79233
1985,Hamburg,Not Disabled (<= 30%),0.84214,261,261,0.79782,0.88646
1985,Lower Saxony,Not Disabled (<= 30%),0.75508,1002,1100,0.72966,0.78051
1985,Lower Saxony,Disabled (> 30%),0.08483,98,1100,0.06836,0.10131
1985,Bremen,Not Disabled (<= 30%),0.75856,98,98,0.67339,0.84372
1985,North Rhine-Westphalia,Not Disabled (<= 30%),0.71503,2659,2953,0.69875,0.73132
1985,North Rhine-Westphalia,Disabled (> 30%),0.10992,294,2953,0.09863,0.12120
1985,Hesse,Not Disabled (<= 30%),0.76219,1039,1126,0.73731,0.78706
1985,Hesse,Disabled (> 30%),0.09049,87,1126,0.07373,0.10725
1985,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.76677,704,769,0.73686,0.79668
1985,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.08751,65,769,0.06752,0.10750
1985,Baden-Wuerttemberg,Not Disabled (<= 30%),0.74912,1914,2040,0.73031,0.76794
1985,Baden-Wuerttemberg,Disabled (> 30%),0.06744,126,2040,0.05656,0.07833
1985,Bavaria,Not Disabled (<= 30%),0.74562,1736,1889,0.72597,0.76526
1985,Bavaria,Disabled (> 30%),0.08654,153,1889,0.07386,0.09922
1985,Berlin,Not Disabled (<= 30%),0.70944,318,362,0.66260,0.75627
1985,Berlin,Disabled (> 30%),0.13378,44,362,0.09866,0.16890
1987,Schleswig-Holstein,Not Disabled (<= 30%),0.72426,294,326,0.67567,0.77285
1987,Schleswig-Holstein,Disabled (> 30%),0.09349,32,326,0.06184,0.12514
1987,Hamburg,Not Disabled (<= 30%),0.81404,206,206,0.76078,0.86730
1987,Lower Saxony,Not Disabled (<= 30%),0.74591,992,1101,0.72018,0.77163
1987,Lower Saxony,Disabled (> 30%),0.09820,109,1101,0.08061,0.11579
1987,Bremen,Not Disabled (<= 30%),0.82814,92,92,0.75063,0.90565
1987,North Rhine-Westphalia,Not Disabled (<= 30%),0.71365,2532,2816,0.69695,0.73035
1987,North Rhine-Westphalia,Disabled (> 30%),0.10945,284,2816,0.09792,0.12099
1987,Hesse,Not Disabled (<= 30%),0.75624,972,1049,0.73025,0.78224
1987,Hesse,Disabled (> 30%),0.08423,77,1049,0.06741,0.10104
1987,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.77081,699,764,0.74098,0.80063
1987,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.08575,65,764,0.06588,0.10562
1987,Baden-Wuerttemberg,Not Disabled (<= 30%),0.74187,1825,1953,0.72246,0.76129
1987,Baden-Wuerttemberg,Disabled (> 30%),0.07022,128,1953,0.05888,0.08155
1987,Bavaria,Not Disabled (<= 30%),0.74648,1594,1714,0.72588,0.76708
1987,Bavaria,Disabled (> 30%),0.07725,120,1714,0.06461,0.08990
1987,Berlin,Not Disabled (<= 30%),0.71190,311,356,0.66479,0.75901
1987,Berlin,Disabled (> 30%),0.13674,45,356,0.10100,0.17248
1988,Schleswig-Holstein,Not Disabled (<= 30%),0.69177,285,324,0.64141,0.74213
1988,Schleswig-Holstein,Disabled (> 30%),0.10927,39,324,0.07524,0.14329
1988,Hamburg,Not Disabled (<= 30%),0.84166,188,188,0.78933,0.89398
1988,Lower Saxony,Not Disabled (<= 30%),0.75467,945,1043,0.72854,0.78079
1988,Lower Saxony,Disabled (> 30%),0.08875,98,1043,0.07148,0.10602
1988,Bremen,Not Disabled (<= 30%),0.78633,87,87,0.69969,0.87296
1988,North Rhine-Westphalia,Not Disabled (<= 30%),0.70243,2381,2681,0.68512,0.71974
1988,North Rhine-Westphalia,Disabled (> 30%),0.12169,300,2681,0.10931,0.13407
1988,Hesse,Not Disabled (<= 30%),0.72468,906,996,0.69693,0.75244
1988,Hesse,Disabled (> 30%),0.10309,90,996,0.08419,0.12198
1988,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.73765,651,735,0.70583,0.76948
1988,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.12116,84,735,0.09755,0.14476
1988,Baden-Wuerttemberg,Not Disabled (<= 30%),0.74333,1738,1880,0.72358,0.76308
1988,Baden-Wuerttemberg,Disabled (> 30%),0.07587,142,1880,0.06389,0.08784
1988,Bavaria,Not Disabled (<= 30%),0.74056,1514,1641,0.71935,0.76178
1988,Bavaria,Disabled (> 30%),0.08697,127,1641,0.07333,0.10061
1988,Berlin,Not Disabled (<= 30%),0.71475,288,329,0.66589,0.76362
1988,Berlin,Disabled (> 30%),0.13061,41,329,0.09414,0.16708
1989,Schleswig-Holstein,Not Disabled (<= 30%),0.66808,266,303,0.61497,0.72119
1989,Schleswig-Holstein,Disabled (> 30%),0.11706,37,303,0.08080,0.15332
