"year","hhtyp","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","13264.41","2761","524","0","0","24695","35401","57418","11887.14","14641.68","0","60793","11964","17588"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Staedtischer Raum","7268.23","0","956","0","0","13994","21454","42949","6225.77","8310.69","0","358109","0","5522"
"1985","Alleinerziehende","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Staedtischer Raum","14187.63","13282.5","596","0","1125","22701","30243","65797","13132.85","15242.41","0","65797","12118","15288"
"1985","Paar mit Kind(ern)","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Paar mit Kind(ern)","Staedtischer Raum","31284.13","28287.5","7350","14327","19593","38340","51896","93589","30877.1","31691.16","0","271803","26270","27076"
"1985","Sonstige","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Sonstige","Staedtischer Raum","20936.64","18918","630","0","6953","30294","48797","65048","19643.87","22229.41","0","65697","21417","25662"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","14900.94","9469","480","0","0","27417","39267","65752","13355.97","16445.91","0","72757","15339","20046"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Staedtischer Raum","7253.43","0","908","0","0","14776","22191","43460","6527.81","7979.05","0","71064","74","4653"
"1986","Alleinerziehende","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Staedtischer Raum","14315.58","12782.5","561","0","0","22241","31240","74126","13141.47","15489.69","0","74126","12066","14647"
"1986","Paar mit Kind(ern)","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Paar mit Kind(ern)","Staedtischer Raum","31586.6","29311.5","6901","14623","20240","39267","52430","87313","31201.73","31971.47","0","175117","27252","28479"
"1986","Sonstige","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Sonstige","Staedtischer Raum","21546.1","19363","596","0","5829","30780","43997","79348","20098.2","22994","0","104508","23775","28223"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16339.62","10417.5","494","0","0","26848","40699","78125","14208.85","18470.39","0","206521","15748","20177"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","1-Pers.- Haushalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","1-Pers.- Haushalt","Staedtischer Raum","8123.44","0","908","0","0","15952","24337","46783","7347.68","8899.2","0","66724","1227","6705"
"1987","Alleinerziehende","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Alleinerziehende","Staedtischer Raum","16135.22","13319.5","538","0","3298","24956","38654","87241","14862.05","17408.39","0","87241","12476","14776"
"1987","Paar mit Kind(ern)","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Paar mit Kind(ern)","Staedtischer Raum","32898.25","29703.5","6701","15727","21464","40729","54657","100162","32493.79","33302.71","0","186323","28436","29098"
"1987","Sonstige","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Sonstige","Staedtischer Raum","25361.06","22139","666","0","9945","35379","51456","88736","23779.83","26942.29","0","109438","25922","28070"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","15142.79","5642.5","470","0","0","27047","40494","64924","13262.31","17023.27","0","187082","14919","19940"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","1-Pers.- Haushalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","1-Pers.- Haushalt","Staedtischer Raum","8288.11","0","867","0","0","16106","24747","43946","7400.37","9175.85","0","163613","0","6381"
"1988","Alleinerziehende","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Alleinerziehende","Staedtischer Raum","16812.37","14580.5","542","0","3144","23991","37682","83835","15413.95","18210.79","0","83835","12782","15339"
"1988","Paar mit Kind(ern)","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Paar mit Kind(ern)","Staedtischer Raum","33855.3","30305","6390","16182","22253","42041","54943","99493","33417.34","34293.26","0","186323","28760","29695"
