"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","20950.4","20562.5","3140","20301.2","21599.6"
"1985","Staedtischer Raum","22898.97","21420","11458","22559.96","23237.98"
"1986","Laendlicher Raum","23053.12","21906","2998","22197.68","23908.56"
"1986","Staedtischer Raum","23199.32","22082","10896","22865.84","23532.8"
"1987","Laendlicher Raum","22826.65","22321","2939","22158.73","23494.57"
"1987","Staedtischer Raum","24338.99","23262.5","10703","23990.9","24687.08"
"1988","Laendlicher Raum","23461.18","22704.5","2757","22775.01","24147.35"
"1988","Staedtischer Raum","25291.22","23772","10256","24908.93","25673.51"
"1989","Laendlicher Raum","25124.04","24329.5","2613","24302.93","25945.15"
"1989","Staedtischer Raum","26566.85","24925.5","9981","26150.04","26983.66"
"1990","Laendlicher Raum","26041.26","24341","2594","25274.6","26807.92"
"1990","Staedtischer Raum","28328.57","26622.5","9839","27842.49","28814.65"
"1991","Laendlicher Raum","27312.77","25804","2653","26486.62","28138.92"
"1991","Staedtischer Raum","29470.73","27480.5","9774","29018.61","29922.85"
"1992","Laendlicher Raum","24576.57","22469.5","6141","24124.32","25028.82"
"1992","Staedtischer Raum","29564.03","27592.5","11522","29146.5","29981.56"
"1993","Laendlicher Raum","25854.68","24314","6119","25340.49","26368.87"
"1993","Staedtischer Raum","31302.78","29618","11409","30852.43","31753.13"
"1994","Laendlicher Raum","27565.57","25944.5","5997","27005.02","28126.12"
"1994","Staedtischer Raum","31629.11","30146","11141","31166.76","32091.46"
"1995","Laendlicher Raum","28114.5","25412","6204","27507.32","28721.68"
"1995","Staedtischer Raum","31529.8","29382.5","11508","31065.33","31994.27"
"1996","Laendlicher Raum","29550.36","27070","6074","28941.73","30158.99"
"1996","Staedtischer Raum","32695.32","30282.5","11265","32205.47","33185.17"
"1997","Laendlicher Raum","29089.59","26098","5973","28430.55","29748.63"
"1997","Staedtischer Raum","33140.03","30645","11033","32642.19","33637.87"
"1998","Laendlicher Raum","29347.61","26968","6619","28731.92","29963.3"
"1998","Staedtischer Raum","33311.09","31205","12137","32798.53","33823.65"
"1999","Laendlicher Raum","29133.26","26887","6371","28510.67","29755.85"
"1999","Staedtischer Raum","34752.95","32008.5","11617","34229.67","35276.23"
"2000","Laendlicher Raum","30749.8","28364","11149","30217.75","31281.85"
"2000","Staedtischer Raum","35530.65","32481.5","20658","35109.92","35951.38"
"2001","Laendlicher Raum","30566.83","28566","9976","30029.23","31104.43"
"2001","Staedtischer Raum","35772.1","32972","18752","35298.57","36245.63"
"2002","Laendlicher Raum","30553.8","28518","10123","29886.8","31220.8"
"2002","Staedtischer Raum","35664.66","31861","19993","35002.78","36326.54"
"2003","Laendlicher Raum","31589.94","28998","9640","30892.6","32287.28"
"2003","Staedtischer Raum","36255.22","32502.5","19152","35611.39","36899.05"
"2004","Laendlicher Raum","30982.8","28306","9366","30250.83","31714.77"
"2004","Staedtischer Raum","35768.44","32195","18565","35120.7","36416.18"
"2005","Laendlicher Raum","31021.98","28196.5","8954","30310.55","31733.41"
"2005","Staedtischer Raum","35630.29","32415","17752","34989.06","36271.52"
"2006","Laendlicher Raum","30448.45","25757","9853","29763.69","31133.21"
"2006","Staedtischer Raum","35552.3","31196","18815","34900.66","36203.94"
"2007","Laendlicher Raum","31356.62","28358.5","9163","30628.11","32085.13"
"2007","Staedtischer Raum","36709.31","31655","17455","36011.94","37406.68"
"2008","Laendlicher Raum","32795.87","29626","8563","32026.68","33565.06"
"2008","Staedtischer Raum","37407.33","32505.5","16314","36702.24","38112.42"
"2009","Laendlicher Raum","33752.08","29999","8182","32860.47","34643.69"
"2009","Staedtischer Raum","38784.89","33605.5","15039","37930.02","39639.76"
"2010","Laendlicher Raum","32953.04","29012","13142","32384.49","33521.59"
"2010","Staedtischer Raum","38841.28","32694","24326","38275.92","39406.64"
"2011","Laendlicher Raum","35355.55","30705","15821","34801.28","35909.82"
"2011","Staedtischer Raum","40409.96","33599","28180","39858.33","40961.59"
"2012","Laendlicher Raum","35193.01","31199.5","15455","34635","35751.02"
"2012","Staedtischer Raum","41685.12","34787.5","26951","41031.87","42338.37"
"2013","Laendlicher Raum","35638.41","30490","16152","35055.47","36221.35"
"2013","Staedtischer Raum","42123.02","34395","31513","41568.6","42677.44"
"2014","Laendlicher Raum","35777.8","30127.5","14364","35148.15","36407.45"
"2014","Staedtischer Raum","42893.15","35425","27143","42255.84","43530.46"
"2015","Laendlicher Raum","36909.44","31276.5","14124","36299.52","37519.36"
"2015","Staedtischer Raum","43272.6","35996.5","26928","42677.92","43867.28"
"2016","Laendlicher Raum","39118.93","32493.5","12782","38300.73","39937.13"
"2016","Staedtischer Raum","44804.77","37330.5","24008","44088.33","45521.21"
"2017","Laendlicher Raum","40484.19","34873.5","15191","39807.36","41161.02"
"2017","Staedtischer Raum","45864.29","38375","29456","45254.77","46473.81"
"2018","Laendlicher Raum","40951.41","35046.5","15352","40299.12","41603.7"
"2018","Staedtischer Raum","47034.48","39032.5","31134","46399.96","47669"
"2019","Laendlicher Raum","43539.72","37753.5","15495","42555.85","44523.59"
"2019","Staedtischer Raum","49959.27","41995","31216","49019.93","50898.61"
"2020","Laendlicher Raum","45597.69","39007","15196","43723.66","47471.72"
"2020","Staedtischer Raum","53044.55","44297","31354","51760.51","54328.59"
