"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","22299.55","21218","16176","22007.59","22591.51"
"1985","22409.34","21139","14598","22108.64","22710.04"
"1986","23162.93","22011.5","13894","22842.88","23482.98"
"1987","23965.7","23003","13642","23656.96","24274.44"
"1988","24846.77","23565","13013","24512.15","25181.39"
"1989","26225.29","24757.5","12594","25853.59","26596.99"
"1990","27794.58","26172","12433","27377.84","28211.32"
"1991","28948.4","27014","12427","28551.27","29345.53"
"1992","27941.48","25357.5","17842","27625.53","28257.43"
"1993","29559.98","27151","17528","29213.3","29906.66"
"1994","30328.29","28586","17138","29967.99","30688.59"
"1995","30426.9","28182.5","17712","30056.97","30796.83"
"1996","31697.85","29108","17339","31314.13","32081.57"
"1997","31840.58","29375.5","17007","31442.65","32238.51"
"1998","32042.2","29829","18756","31645.05","32439.35"
"1999","32961.78","30288.5","17988","32557.07","33366.49"
"2000","33995.35","31183.5","31807","33663.73","34326.97"
"2001","34111.92","31403.5","28728","33749.69","34474.15"
"2002","34020.01","30779.5","30116","33524.23","34515.79"
"2003","34764.91","31206","28792","34274.9","35254.92"
"2004","34242.13","31063","27931","33744.69","34739.57"
"2005","34152.12","30994.5","26706","33661.68","34642.56"
"2006","33899.72","29389","28668","33409.4","34390.04"
"2007","34974.56","30476.5","26618","34450.69","35498.43"
"2008","35913.5","31362","24877","35378.44","36448.56"
"2009","37139.16","32401","23221","36500.58","37777.74"
"2010","36952.57","31530.5","37468","36532.79","37372.35"
"2011","38763.88","32469.5","44001","38356.81","39170.95"
"2012","39566","33354","42406","39102.02","40029.98"
"2013","40011.03","33071.5","47665","39593.63","40428.43"
"2014","40609.33","33508.5","41507","40137.75","41080.91"
"2015","41225.76","34009","41052","40781.67","41669.85"
"2016","42991.31","35715","36790","42443.03","43539.59"
"2017","44187.32","37004","44647","43723.27","44651.37"
"2018","45145.82","37585","46486","44669.11","45622.53"
"2019","47910.55","40698","47513","47210.3","48610.8"
"2020","50684.29","42164.5","46550","49624.55","51744.03"
