"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","22299.55","21218","16176","22007.59","22591.51"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","22409.34","21139","14598","22108.64","22710.04"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","23162.93","22011.5","13894","22842.88","23482.98"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","23965.7","23003","13642","23656.96","24274.44"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","24846.77","23565","13013","24512.15","25181.39"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","26225.29","24757.5","12594","25853.59","26596.99"
"1990","Ostdeutschland","","","","",""
"1990","Westdeutschland","27794.58","26172","12433","27377.84","28211.32"
"1991","Ostdeutschland","","","","",""
"1991","Westdeutschland","28948.4","27014","12427","28551.27","29345.53"
"1992","Ostdeutschland","18016.24","17284.5","5401","17678.78","18353.7"
"1992","Westdeutschland","30371.37","28532","12441","29961.35","30781.39"
"1993","Ostdeutschland","20626.86","19013.5","5167","20188.19","21065.53"
"1993","Westdeutschland","31758.76","29850","12361","31315.78","32201.74"
"1994","Ostdeutschland","22842.31","20623.5","5032","22321.17","23363.45"
"1994","Westdeutschland","32131.63","30655.5","12106","31677.86","32585.4"
"1995","Ostdeutschland","23701.12","21231.5","4861","23143.83","24258.41"
"1995","Westdeutschland","31979.07","29980.5","12851","31519.49","32438.65"
"1996","Ostdeutschland","24354.81","21878.5","4797","23757.88","24951.74"
"1996","Westdeutschland","33371.54","30756.5","12542","32897.78","33845.3"
"1997","Ostdeutschland","24508.66","21542","4683","23830.86","25186.46"
"1997","Westdeutschland","33503.79","31150","12324","33023.35","33984.23"
"1998","Ostdeutschland","24987.58","22024","4934","24334.26","25640.9"
"1998","Westdeutschland","33637.42","31288","13822","33155.55","34119.29"
"1999","Ostdeutschland","25462.48","21755.5","4771","24738.21","26186.75"
"1999","Westdeutschland","34614.08","32207.5","13217","34134.23","35093.93"
"2000","Ostdeutschland","26111.82","21575.5","7357","25446.51","26777.13"
"2000","Westdeutschland","35754.31","33137","24450","35375.88","36132.74"
"2001","Ostdeutschland","25456.02","21996","6738","24847.57","26064.47"
"2001","Westdeutschland","36011.14","33366.5","21990","35581.1","36441.18"
"2002","Ostdeutschland","24876.84","20101","6704","24071.88","25681.8"
"2002","Westdeutschland","36018.32","32642.5","23412","35429.98","36606.66"
"2003","Ostdeutschland","25244.11","20675","6547","24435.91","26052.31"
"2003","Westdeutschland","36848.73","33406","22245","36268.13","37429.33"
"2004","Ostdeutschland","24638.86","19674","6378","23848.47","25429.25"
"2004","Westdeutschland","36332.98","33293.5","21553","35739.52","36926.44"
"2005","Ostdeutschland","24583.32","17925","6151","23739.8","25426.84"
"2005","Westdeutschland","36248.74","33595.5","20555","35670.5","36826.98"
"2006","Ostdeutschland","23571.07","16775","6540","22769.45","24372.69"
"2006","Westdeutschland","36135.31","32431","22128","35552.48","36718.14"
"2007","Ostdeutschland","24828.88","18587.5","6124","23958.62","25699.14"
"2007","Westdeutschland","37173.69","32829.5","20494","36551.57","37795.81"
"2008","Ostdeutschland","25386.06","19804.5","5821","24467.69","26304.43"
"2008","Westdeutschland","38180.7","34131","19056","37548.42","38812.98"
"2009","Ostdeutschland","26923.74","21615.5","5582","25993.81","27853.67"
"2009","Westdeutschland","39400.73","34931","17639","38620.11","40181.35"
"2010","Ostdeutschland","27061.6","19799.5","7930","26335.54","27787.66"
"2010","Westdeutschland","39030.37","34096","29538","38539.67","39521.07"
"2011","Ostdeutschland","27967.02","21550","9146","27291.48","28642.56"
"2011","Westdeutschland","41005.48","34901.5","34855","40527.67","41483.29"
"2012","Ostdeutschland","28728.24","21355","8870","28027.44","29429.04"
"2012","Westdeutschland","41779.37","35612","33536","41227.02","42331.72"
"2013","Ostdeutschland","29647.41","22775","8836","28944.81","30350.01"
"2013","Westdeutschland","42120.8","34997","38829","41637.46","42604.14"
"2014","Ostdeutschland","30149.62","22830","8022","29416.3","30882.94"
"2014","Westdeutschland","42737.29","35597","33485","42183.93","43290.65"
"2015","Ostdeutschland","30568.42","22727","7723","29830.87","31305.97"
"2015","Westdeutschland","43393.57","36498.5","33329","42878.22","43908.92"
"2016","Ostdeutschland","33135.83","25755","7155","32101.61","34170.05"
"2016","Westdeutschland","44969.28","37935","29635","44340.06","45598.5"
"2017","Ostdeutschland","34104.71","27490","8649","33319.81","34889.61"
"2017","Westdeutschland","46176.63","39296","35998","45635.7","46717.56"
"2018","Ostdeutschland","34590.15","27432","8973","33794.14","35386.16"
"2018","Westdeutschland","47242.44","39602.5","37513","46685.17","47799.71"
"2019","Ostdeutschland","37699.14","32190","9360","36357.5","39040.78"
"2019","Westdeutschland","49931.21","42068","38057","49123.02","50739.4"
"2020","Ostdeutschland","39109.47","33550","8794","37897.19","40321.75"
"2020","Westdeutschland","52977.12","44592.5","37756","51702.49","54251.75"
