"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","20950.4","20562.5","3140","20301.2","21599.6"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","22898.97","21420","11458","22559.96","23237.98"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","23053.12","21906","2998","22197.68","23908.56"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","23199.32","22082","10896","22865.84","23532.8"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","22826.65","22321","2939","22158.73","23494.57"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","24338.99","23262.5","10703","23990.9","24687.08"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","23461.18","22704.5","2757","22775.01","24147.35"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","25291.22","23772","10256","24908.93","25673.51"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","25124.04","24329.5","2613","24302.93","25945.15"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","26566.85","24925.5","9981","26150.04","26983.66"
"1990","Laendlicher Raum","Ostdeutschland","","","","",""
"1990","Laendlicher Raum","Westdeutschland","26041.26","24341","2594","25274.6","26807.92"
"1990","Staedtischer Raum","Ostdeutschland","","","","",""
"1990","Staedtischer Raum","Westdeutschland","28328.57","26622.5","9839","27842.49","28814.65"
"1991","Laendlicher Raum","Ostdeutschland","","","","",""
"1991","Laendlicher Raum","Westdeutschland","27312.77","25804","2653","26486.62","28138.92"
"1991","Staedtischer Raum","Ostdeutschland","","","","",""
"1991","Staedtischer Raum","Westdeutschland","29470.73","27480.5","9774","29018.61","29922.85"
"1992","Laendlicher Raum","Ostdeutschland","17398.62","16862.5","3460","16989.56","17807.68"
"1992","Laendlicher Raum","Westdeutschland","29071.13","26788.5","2681","28246.73","29895.53"
"1992","Staedtischer Raum","Ostdeutschland","18954.82","18186","1782","18340.38","19569.26"
