year,quintil_oecd_hh,sampreg,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,West,No,0.97991,1331,1331,0.97237,0.98745
2007,1st Quintile,East,No,0.99754,610,610,0.99361,1.00148
2007,2nd Quintile,West,No,0.99598,1465,1465,0.99273,0.99922
2007,2nd Quintile,East,No,0.99948,639,639,0.99771,1.00125
2007,3rd Quintile,West,No,0.99627,1560,1560,0.99325,0.99930
2007,3rd Quintile,East,No,0.99460,649,649,0.98896,1.00024
2007,4th Quintile,West,No,0.99492,1814,1814,0.99165,0.99819
2007,4th Quintile,East,No,0.99830,512,512,0.99472,1.00187
2007,5th Quintile,West,No,0.99882,2485,2485,0.99747,1.00017
2007,5th Quintile,East,No,0.99767,343,343,0.99257,1.00278
2008,1st Quintile,West,No,0.97508,1263,1263,0.96648,0.98368
2008,1st Quintile,East,No,0.99276,587,587,0.98589,0.99962
2008,2nd Quintile,West,No,0.99153,1344,1344,0.98663,0.99643
2008,2nd Quintile,East,No,0.99052,613,613,0.98285,0.99820
2008,3rd Quintile,West,No,0.99069,1488,1488,0.98581,0.99557
2008,3rd Quintile,East,No,0.99662,664,664,0.99221,1.00104
2008,4th Quintile,West,No,0.99518,1681,1681,0.99186,0.99849
2008,4th Quintile,East,No,0.99593,427,427,0.98988,1.00198
2008,5th Quintile,West,No,0.99587,2343,2343,0.99328,0.99847
2008,5th Quintile,East,No,0.99772,344,344,0.99267,1.00277
2009,1st Quintile,West,No,0.97889,1187,1187,0.97071,0.98707
2009,1st Quintile,East,No,0.97482,576,576,0.96201,0.98762
2009,2nd Quintile,West,No,0.98282,1249,1249,0.97561,0.99003
2009,2nd Quintile,East,No,0.98515,613,613,0.97557,0.99474
2009,3rd Quintile,West,No,0.99454,1351,1351,0.99061,0.99847
2009,3rd Quintile,East,No,0.99924,593,593,0.99702,1.00146
2009,4th Quintile,West,No,0.99511,1632,1632,0.99173,0.99850
2009,5th Quintile,West,No,0.99742,2150,2150,0.99527,0.99956
2010,1st Quintile,West,Yes,0.03614,34,2280,0.02848,0.04381
2010,1st Quintile,West,No,0.96386,2246,2280,0.95619,0.97152
2010,1st Quintile,East,No,0.97469,854,854,0.96415,0.98523
2010,2nd Quintile,West,No,0.97529,2034,2034,0.96855,0.98204
2010,2nd Quintile,East,No,0.98961,851,851,0.98279,0.99643
2010,3rd Quintile,West,No,0.99536,1896,1896,0.99230,0.99842
2010,3rd Quintile,East,No,0.99826,648,648,0.99504,1.00147
2010,4th Quintile,West,No,0.98827,1977,1977,0.98353,0.99302
