,Unnamed: 0,year,bula_h,rentown,hlc0061_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Schleswig-Holstein,Owner,No,1.0,203,11174,0.90422,1.11437
1,1,2005,Schleswig-Holstein,Tenant,No,1.0,153,11174,0.91244,1.08226
2,2,2005,Hamburg,Owner,No,1.0,46,11174,0.7422,1.318
3,3,2005,Hamburg,Tenant,No,1.0,130,11174,0.87143,1.09803
4,4,2005,Lower Saxony,Owner,No,1.0,568,11174,0.93676,1.07106
5,5,2005,Lower Saxony,Tenant,No,1.0,376,11174,0.92411,1.06593
6,6,2005,Bremen,Owner,No,1.0,39,11174,0.75484,1.26061
7,7,2005,Bremen,Tenant,No,1.0,48,11174,0.81719,1.18481
8,8,2005,North Rhine-Westphalia,Owner,No,1.0,1086,11174,0.95114,1.05017
9,9,2005,North Rhine-Westphalia,Tenant,No,1.0,1273,11174,0.96065,1.043
10,10,2005,Hesse,Owner,No,1.0,370,11174,0.9176,1.07238
11,11,2005,Hesse,Tenant,No,1.0,393,11174,0.94474,1.07023
12,12,2005,"Rhineland-Palatinate, Saarland",Owner,No,1.0,386,11174,0.92409,1.07138
13,13,2005,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,290,11174,0.92725,1.08064
14,14,2005,Baden-Wuerttemberg,Owner,No,1.0,672,11174,0.9432,1.05242
15,15,2005,Baden-Wuerttemberg,Tenant,No,1.0,648,11174,0.94117,1.06126
16,16,2005,Bavaria,Owner,No,1.0,853,11174,0.9492,1.05936
17,17,2005,Bavaria,Tenant,No,1.0,698,11174,0.94345,1.0641
18,18,2005,Berlin,Owner,No,1.0,78,11174,0.84775,1.16229
19,19,2005,Berlin,Tenant,No,1.0,380,11174,0.93087,1.07725
20,20,2005,Brandenburg,Owner,No,1.0,186,11174,0.90563,1.12684
21,21,2005,Brandenburg,Tenant,No,1.0,284,11174,0.92419,1.08055
22,22,2005,Mecklenburg-Western Pomerania,Owner,No,1.0,117,11174,0.86676,1.14232
23,23,2005,Mecklenburg-Western Pomerania,Tenant,No,1.0,158,11174,0.91681,1.10066
24,24,2005,Saxony,Owner,No,1.0,324,11174,0.92055,1.07639
25,25,2005,Saxony,Tenant,No,1.0,487,11174,0.94119,1.06563
26,26,2005,Saxony-Anhalt,Owner,No,1.0,222,11174,0.88638,1.0934
27,27,2005,Saxony-Anhalt,Tenant,No,1.0,247,11174,0.91423,1.08663
28,28,2005,Thuringa,Owner,No,1.0,229,11174,0.90136,1.11698
29,29,2005,Thuringa,Tenant,No,1.0,230,11174,0.90667,1.1052
30,30,2006,Schleswig-Holstein,Owner,No,1.0,215,12234,0.90949,1.11588
31,31,2006,Schleswig-Holstein,Tenant,No,1.0,172,12234,0.92539,1.0903
32,32,2006,Hamburg,Owner,No,1.0,48,12234,0.75387,1.33612
33,33,2006,Hamburg,Tenant,No,1.0,145,12234,0.90826,1.10357
34,34,2006,Lower Saxony,Owner,No,1.0,639,12234,0.94501,1.05665
35,35,2006,Lower Saxony,Tenant,No,1.0,431,12234,0.94325,1.06351
36,36,2006,Bremen,Owner,No,1.0,36,12234,0.75664,1.27172
37,37,2006,Bremen,Tenant,No,1.0,54,12234,0.83391,1.15047
38,38,2006,North Rhine-Westphalia,Owner,No,1.0,1202,12234,0.95549,1.03976
39,39,2006,North Rhine-Westphalia,Tenant,No,1.0,1326,12234,0.97045,1.04165
40,40,2006,Hesse,Owner,No,1.0,426,12234,0.92021,1.07568
41,41,2006,Hesse,Tenant,No,1.0,417,12234,0.93505,1.05968
42,42,2006,"Rhineland-Palatinate, Saarland",Owner,No,1.0,408,12234,0.92706,1.06949
43,43,2006,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,317,12234,0.93416,1.06602
44,44,2006,Baden-Wuerttemberg,Owner,No,1.0,786,12234,0.94276,1.05293
45,45,2006,Baden-Wuerttemberg,Tenant,No,1.0,686,12234,0.94666,1.05362
46,46,2006,Bavaria,Owner,No,1.0,971,12234,0.95989,1.04032
47,47,2006,Bavaria,Tenant,No,1.0,755,12234,0.9483,1.04969
48,48,2006,Berlin,Owner,No,1.0,86,12234,0.83732,1.15031
49,49,2006,Berlin,Tenant,No,1.0,396,12234,0.93388,1.06276
50,50,2006,Brandenburg,Owner,No,1.0,217,12234,0.88816,1.09875
51,51,2006,Brandenburg,Tenant,No,1.0,315,12234,0.92612,1.073
52,52,2006,Mecklenburg-Western Pomerania,Owner,No,1.0,138,12234,0.85928,1.13726
53,53,2006,Mecklenburg-Western Pomerania,Tenant,No,1.0,165,12234,0.90722,1.09999
54,54,2006,Saxony,Owner,No,1.0,343,12234,0.91279,1.08942
55,55,2006,Saxony,Tenant,No,1.0,533,12234,0.94108,1.05725
56,56,2006,Saxony-Anhalt,Owner,No,1.0,222,12234,0.90828,1.12186
57,57,2006,Saxony-Anhalt,Tenant,No,1.0,270,12234,0.91731,1.09056
58,58,2006,Thuringa,Owner,No,1.0,264,12234,0.90227,1.09284
59,59,2006,Thuringa,Tenant,No,1.0,251,12234,0.90974,1.0858
60,60,2007,Schleswig-Holstein,Owner,No,1.0,193,11411,0.89908,1.1182
61,61,2007,Schleswig-Holstein,Tenant,No,1.0,164,11411,0.90058,1.08732
62,62,2007,Hamburg,Owner,No,1.0,47,11411,0.70851,1.29524
63,63,2007,Hamburg,Tenant,No,1.0,143,11411,0.87434,1.10065
64,64,2007,Lower Saxony,Owner,No,1.0,593,11411,0.94003,1.05886
65,65,2007,Lower Saxony,Tenant,No,1.0,408,11411,0.93928,1.06141
66,66,2007,Bremen,Owner,No,1.0,38,11411,0.80044,1.30296
67,67,2007,Bremen,Tenant,No,1.0,51,11411,0.83135,1.21144
68,68,2007,North Rhine-Westphalia,Owner,No,1.0,1114,11411,0.9524,1.04528
69,69,2007,North Rhine-Westphalia,Tenant,No,1.0,1216,11411,0.96276,1.04239
70,70,2007,Hesse,Owner,No,1.0,390,11411,0.92508,1.08082
71,71,2007,Hesse,Tenant,No,1.0,392,11411,0.93498,1.07568
72,72,2007,"Rhineland-Palatinate, Saarland",Owner,No,1.0,380,11411,0.92553,1.07064
73,73,2007,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,281,11411,0.91588,1.06875
74,74,2007,Baden-Wuerttemberg,Owner,No,1.0,734,11411,0.93269,1.06196
75,75,2007,Baden-Wuerttemberg,Tenant,No,1.0,616,11411,0.92918,1.06201
76,76,2007,Bavaria,Owner,No,1.0,925,11411,0.95213,1.04146
77,77,2007,Bavaria,Tenant,No,1.0,708,11411,0.95274,1.05452
