year,quintil_oecd_hh,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,No,0.98430,1941,1941,0.97876,0.98983
2007,2nd Quintile,No,0.99677,2104,2104,0.99434,0.99919
2007,3rd Quintile,No,0.99590,2209,2209,0.99323,0.99856
2007,4th Quintile,No,0.99545,2326,2326,0.99272,0.99819
2007,5th Quintile,No,0.99872,2828,2828,0.99741,1.00004
2008,1st Quintile,No,0.97944,1850,1850,0.97298,0.98591
2008,2nd Quintile,No,0.99129,1957,1957,0.98718,0.99541
2008,3rd Quintile,No,0.99205,2152,2152,0.98830,0.99581
2008,4th Quintile,No,0.99528,2108,2108,0.99235,0.99820
2008,5th Quintile,No,0.99603,2687,2687,0.99366,0.99841
2009,1st Quintile,Yes,0.02215,31,1794,0.01534,0.02897
2009,1st Quintile,No,0.97785,1763,1794,0.97103,0.98466
2009,2nd Quintile,No,0.98337,1862,1862,0.97756,0.98918
2009,3rd Quintile,No,0.99556,1944,1944,0.99260,0.99852
2009,4th Quintile,No,0.99583,2057,2057,0.99305,0.99862
2009,5th Quintile,No,0.99764,2480,2480,0.99574,0.99955
2010,1st Quintile,Yes,0.03353,46,3146,0.02724,0.03982
2010,1st Quintile,No,0.96647,3100,3146,0.96018,0.97276
2010,2nd Quintile,Yes,0.02113,34,2919,0.01592,0.02635
2010,2nd Quintile,No,0.97887,2885,2919,0.97365,0.98408
2010,3rd Quintile,No,0.99593,2544,2544,0.99345,0.99840
2010,4th Quintile,No,0.98777,2436,2436,0.98341,0.99214
2010,5th Quintile,No,0.99754,2707,2707,0.99567,0.99940
2011,1st Quintile,Yes,0.03252,58,3646,0.02676,0.03828
2011,1st Quintile,No,0.96748,3588,3646,0.96172,0.97324
2011,2nd Quintile,Yes,0.02288,55,3359,0.01782,0.02793
2011,2nd Quintile,No,0.97712,3304,3359,0.97207,0.98218
2011,3rd Quintile,Yes,0.01090,35,3170,0.00728,0.01451
2011,3rd Quintile,No,0.98910,3135,3170,0.98549,0.99272
2011,4th Quintile,Yes,0.01407,31,3003,0.00986,0.01829
2011,4th Quintile,No,0.98593,2972,3003,0.98171,0.99014
2011,5th Quintile,No,0.98880,3101,3101,0.98509,0.99250
2012,1st Quintile,Yes,0.03347,68,3514,0.02752,0.03942
2012,1st Quintile,No,0.96653,3446,3514,0.96058,0.97248
2012,2nd Quintile,Yes,0.02660,63,3250,0.02107,0.03214
2012,2nd Quintile,No,0.97340,3187,3250,0.96786,0.97893
2012,3rd Quintile,Yes,0.01504,39,3134,0.01078,0.01930
2012,3rd Quintile,No,0.98496,3095,3134,0.98070,0.98922
2012,4th Quintile,No,0.98915,2930,2930,0.98540,0.99290
2012,5th Quintile,No,0.98711,3079,3079,0.98312,0.99109
2013,1st Quintile,Yes,0.03082,79,4160,0.02556,0.03607
2013,1st Quintile,No,0.96918,4081,4160,0.96393,0.97444
2013,2nd Quintile,Yes,0.02774,77,3793,0.02251,0.03296
2013,2nd Quintile,No,0.97226,3716,3793,0.96704,0.97749
2013,3rd Quintile,Yes,0.01769,42,3319,0.01321,0.02218
2013,3rd Quintile,No,0.98231,3277,3319,0.97782,0.98679
2013,4th Quintile,Yes,0.01096,31,3055,0.00727,0.01466
2013,4th Quintile,No,0.98904,3024,3055,0.98534,0.99273
2013,5th Quintile,No,0.99225,3173,3173,0.98920,0.99530
2014,1st Quintile,Yes,0.03410,91,3424,0.02802,0.04017
2014,1st Quintile,No,0.96590,3333,3424,0.95983,0.97198
2014,2nd Quintile,Yes,0.02690,64,3287,0.02137,0.03243
2014,2nd Quintile,No,0.97310,3223,3287,0.96757,0.97863
2014,3rd Quintile,Yes,0.01193,35,3080,0.00809,0.01576
2014,3rd Quintile,No,0.98807,3045,3080,0.98424,0.99191
2014,4th Quintile,No,0.98760,2861,2861,0.98354,0.99165
2014,5th Quintile,No,0.99321,2974,2974,0.99026,0.99616
2015,1st Quintile,Yes,0.04256,92,3473,0.03584,0.04927
2015,1st Quintile,No,0.95744,3381,3473,0.95073,0.96416
2015,2nd Quintile,Yes,0.02552,67,3290,0.02013,0.03091
2015,2nd Quintile,No,0.97448,3223,3290,0.96909,0.97987
2015,3rd Quintile,Yes,0.01384,37,2943,0.00962,0.01807
2015,3rd Quintile,No,0.98616,2906,2943,0.98193,0.99038
2015,4th Quintile,No,0.99511,2733,2733,0.99250,0.99773
2015,5th Quintile,No,0.99690,2900,2900,0.99487,0.99892
2016,1st Quintile,Yes,0.03993,94,3067,0.03300,0.04686
2016,1st Quintile,No,0.96007,2973,3067,0.95314,0.96700
2016,2nd Quintile,Yes,0.03084,61,2997,0.02465,0.03703
2016,2nd Quintile,No,0.96916,2936,2997,0.96297,0.97535
2016,3rd Quintile,Yes,0.01354,34,2697,0.00918,0.01791
2016,3rd Quintile,No,0.98646,2663,2697,0.98209,0.99082
2016,4th Quintile,No,0.99363,2600,2600,0.99057,0.99669
2016,5th Quintile,No,0.99743,2703,2703,0.99552,0.99934
2017,1st Quintile,Yes,0.05016,115,4814,0.04400,0.05633
