year,pgisced97,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,West,,,,,,,,,,,,
1984,Primary Level,West,,,,,,,,,,,,
1984,Lower Secondary Level,West,,,,,,,,,,,,
1984,Upper Secondary Level,West,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1984,First Stage of Tertiary Education,West,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1985,Pre-primary Level,West,187,0.09130,0.04104,0.14157,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,Primary Level,West,834,1.44606,1.23220,1.65991,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,0.00000
1985,Lower Secondary Level,West,3061,0.65622,0.58884,0.72359,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,Upper Secondary Level,West,5180,0.81655,0.75796,0.87514,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,Post-secondary Non-tertiary Level,West,275,0.75337,0.49044,1.01631,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,First Stage of Tertiary Education,West,619,0.93616,0.74844,1.12388,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1985,Second Stage of Tertiary Education,West,754,0.83952,0.69450,0.98454,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1986,Pre-primary Level,West,188,0.09087,0.02210,0.15964,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,Primary Level,West,778,1.49551,1.28060,1.71042,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,0.00000
1986,Lower Secondary Level,West,2907,0.75350,0.67575,0.83125,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,Upper Secondary Level,West,4992,0.84264,0.78085,0.90442,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,Post-secondary Non-tertiary Level,West,274,0.83816,0.56288,1.11344,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,First Stage of Tertiary Education,West,580,1.01557,0.81244,1.21870,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1986,Second Stage of Tertiary Education,West,749,0.87097,0.70665,1.03530,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1987,Pre-primary Level,West,191,0.06239,0.02341,0.10137,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,Primary Level,West,751,1.64135,1.41714,1.86556,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,0.00000
1987,Lower Secondary Level,West,2836,0.81927,0.73741,0.90114,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,Upper Secondary Level,West,4970,0.91881,0.84951,0.98811,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
