year,age_gr,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,0-16 y.,Urban regions,,,,,,,,,,,,
1985,0-16 y.,Rural regions,,,,,,,,,,,,
1985,17-29 y.,Urban regions,2498,0.88447,0.78254,0.98641,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,17-29 y.,Rural regions,642,1.05603,0.84189,1.27018,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,30-45 y.,Urban regions,2750,1.59622,1.49683,1.69562,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,1.00000
1985,30-45 y.,Rural regions,723,1.77441,1.57999,1.96883,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1985,46-65 y.,Urban regions,2616,0.32021,0.27364,0.36677,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,46-65 y.,Rural regions,688,0.35657,0.27085,0.44229,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,66 and older,Urban regions,819,0.11153,0.07298,0.15008,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1985,66 and older,Rural regions,288,0.13496,0.05123,0.21869,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,0-16 y.,Urban regions,,,,,,,,,,,,
1986,0-16 y.,Rural regions,,,,,,,,,,,,
1986,17-29 y.,Urban regions,2423,0.86984,0.76724,0.97245,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,17-29 y.,Rural regions,632,1.09688,0.87917,1.31459,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,30-45 y.,Urban regions,2596,1.75172,1.63539,1.86804,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,1.00000
1986,30-45 y.,Rural regions,671,1.98395,1.76478,2.20312,0.00000,1.00000,2.90759,0.0,7.26896,1.0,1.00000,1.00000
1986,46-65 y.,Urban regions,2565,0.32131,0.27686,0.36575,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,46-65 y.,Rural regions,663,0.45526,0.35277,0.55776,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,66 and older,Urban regions,767,0.15523,0.09115,0.21930,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1986,66 and older,Rural regions,264,0.18594,0.08652,0.28537,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,0-16 y.,Urban regions,,,,,,,,,,,,
1987,0-16 y.,Rural regions,,,,,,,,,,,,
1987,17-29 y.,Urban regions,2371,0.93631,0.83121,1.04142,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,17-29 y.,Rural regions,637,1.36261,1.08824,1.63699,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,30-45 y.,Urban regions,2519,1.93591,1.80883,2.06299,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,1.00000
1987,30-45 y.,Rural regions,649,2.13053,1.86435,2.39672,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1987,46-65 y.,Urban regions,2555,0.33357,0.28487,0.38228,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,46-65 y.,Rural regions,653,0.40434,0.31364,0.49503,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,66 and older,Urban regions,800,0.22395,0.14436,0.30355,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1987,66 and older,Rural regions,268,0.18152,0.07845,0.28459,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,0-16 y.,Urban regions,,,,,,,,,,,,
1988,0-16 y.,Rural regions,,,,,,,,,,,,
1988,17-29 y.,Urban regions,2300,0.98188,0.86414,1.09963,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,17-29 y.,Rural regions,571,1.21009,0.97244,1.44774,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,30-45 y.,Urban regions,2334,1.95017,1.81634,2.08401,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,1.00000
1988,30-45 y.,Rural regions,618,1.99672,1.75119,2.24225,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1988,46-65 y.,Urban regions,2487,0.34906,0.29621,0.40192,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,46-65 y.,Rural regions,624,0.51148,0.39085,0.63211,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,66 and older,Urban regions,784,0.20480,0.13876,0.27085,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1988,66 and older,Rural regions,252,0.25305,0.12305,0.38306,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,0-16 y.,Urban regions,,,,,,,,,,,,
1989,0-16 y.,Rural regions,,,,,,,,,,,,
1989,17-29 y.,Urban regions,2269,1.10783,0.97288,1.24278,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,17-29 y.,Rural regions,558,1.22803,0.95516,1.50091,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,30-45 y.,Urban regions,2271,2.09359,1.95115,2.23604,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1989,30-45 y.,Rural regions,571,2.11871,1.86181,2.37562,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1989,46-65 y.,Urban regions,2396,0.36638,0.31404,0.41873,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,46-65 y.,Rural regions,586,0.49093,0.35287,0.62899,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,66 and older,Urban regions,764,0.19439,0.12412,0.26466,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1989,66 and older,Rural regions,247,0.20616,0.09752,0.31479,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,0-16 y.,Urban regions,,,,,,,,,,,,
1990,0-16 y.,Rural regions,,,,,,,,,,,,
1990,17-29 y.,Urban regions,2514,1.30381,1.16095,1.44666,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,17-29 y.,Rural regions,1311,1.47367,1.28432,1.66302,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1990,30-45 y.,Urban regions,2737,2.13587,2.00370,2.26805,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1990,30-45 y.,Rural regions,1522,1.89043,1.73692,2.04395,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1990,46-65 y.,Urban regions,2788,0.40656,0.35248,0.46064,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,46-65 y.,Rural regions,1445,0.36857,0.29455,0.44259,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,66 and older,Urban regions,917,0.26602,0.18846,0.34358,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1990,66 and older,Rural regions,540,0.22874,0.14134,0.31614,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1991,0-16 y.,Urban regions,,,,,,,,,,,,
1991,0-16 y.,Rural regions,,,,,,,,,,,,
1991,17-29 y.,Urban regions,2416,1.30019,1.15863,1.44174,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1991,17-29 y.,Rural regions,1251,1.69380,1.48646,1.90114,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1991,30-45 y.,Urban regions,2740,1.93341,1.81605,2.05077,0.00000,1.00000,2.00000,0.0,5.00000,1.0,0.00000,1.00000
1991,30-45 y.,Rural regions,1528,1.72899,1.59098,1.86699,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1991,46-65 y.,Urban regions,2691,0.35473,0.30313,0.40633,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1991,46-65 y.,Rural regions,1420,0.30703,0.25384,0.36021,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1991,66 and older,Urban regions,918,0.13638,0.08850,0.18426,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1991,66 and older,Rural regions,520,0.18117,0.10175,0.26060,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,0-16 y.,Urban regions,,,,,,,,,,,,
1992,0-16 y.,Rural regions,,,,,,,,,,,,
1992,17-29 y.,Urban regions,2357,1.30303,1.15117,1.45489,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,17-29 y.,Rural regions,1178,1.61104,1.39778,1.82430,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1992,30-45 y.,Urban regions,2722,2.21541,2.08150,2.34932,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1992,30-45 y.,Rural regions,1484,1.93250,1.78332,2.08168,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1992,46-65 y.,Urban regions,2654,0.34710,0.29904,0.39517,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,46-65 y.,Rural regions,1354,0.34756,0.28353,0.41158,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,66 and older,Urban regions,933,0.19743,0.13880,0.25605,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1992,66 and older,Rural regions,509,0.24742,0.16729,0.32756,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,0-16 y.,Urban regions,,,,,,,,,,,,
1993,0-16 y.,Rural regions,,,,,,,,,,,,
1993,17-29 y.,Urban regions,2316,1.19626,1.04480,1.34771,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,17-29 y.,Rural regions,1161,1.54408,1.33477,1.75338,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1993,30-45 y.,Urban regions,2716,2.25189,2.10654,2.39725,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1993,30-45 y.,Rural regions,1473,1.96736,1.79299,2.14173,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1993,46-65 y.,Urban regions,2620,0.32021,0.26564,0.37478,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,46-65 y.,Rural regions,1330,0.35267,0.28725,0.41809,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,66 and older,Urban regions,947,0.16075,0.11434,0.20717,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1993,66 and older,Rural regions,524,0.19572,0.12161,0.26983,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1994,0-16 y.,Urban regions,,,,,,,,,,,,
1994,0-16 y.,Rural regions,,,,,,,,,,,,
1994,17-29 y.,Urban regions,2236,1.29726,1.13251,1.46201,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1994,17-29 y.,Rural regions,1104,1.59445,1.37010,1.81881,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1994,30-45 y.,Urban regions,2700,2.29682,2.15243,2.44121,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1994,30-45 y.,Rural regions,1446,1.90451,1.75045,2.05857,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1994,46-65 y.,Urban regions,2562,0.35356,0.30595,0.40116,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1994,46-65 y.,Rural regions,1324,0.35720,0.29631,0.41808,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1994,66 and older,Urban regions,975,0.15965,0.11470,0.20460,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1994,66 and older,Rural regions,517,0.16410,0.10604,0.22216,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1995,0-16 y.,Urban regions,,,,,,,,,,,,
1995,0-16 y.,Rural regions,,,,,,,,,,,,
1995,17-29 y.,Urban regions,2230,1.32350,1.15899,1.48800,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000
1995,17-29 y.,Rural regions,1124,1.50440,1.28224,1.72656,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1995,30-45 y.,Urban regions,2893,2.39895,2.25028,2.54762,0.00000,1.00000,3.00000,0.0,7.50000,1.0,0.00000,1.00000
1995,30-45 y.,Rural regions,1546,2.15295,1.97337,2.33253,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
