year,bula_h,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1988,Lower Saxony,female,,,,,,,,,,,,
1988,Bremen,male,,,,,,,,,,,,
1988,Bremen,female,,,,,,,,,,,,
1988,North Rhine-Westphalia,male,,,,,,,,,,,,
1988,North Rhine-Westphalia,female,,,,,,,,,,,,
1988,Hesse,male,,,,,,,,,,,,
1988,Hesse,female,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1988,Baden-Wuerttemberg,male,,,,,,,,,,,,
1988,Baden-Wuerttemberg,female,,,,,,,,,,,,
1988,Bavaria,male,,,,,,,,,,,,
1988,Bavaria,female,,,,,,,,,,,,
1988,Berlin,male,,,,,,,,,,,,
1988,Berlin,female,,,,,,,,,,,,
1989,Schleswig-Holstein,male,,,,,,,,,,,,
1989,Schleswig-Holstein,female,,,,,,,,,,,,
1989,Hamburg,male,,,,,,,,,,,,
1989,Hamburg,female,,,,,,,,,,,,
1989,Lower Saxony,male,,,,,,,,,,,,
1989,Lower Saxony,female,,,,,,,,,,,,
1989,Bremen,male,,,,,,,,,,,,
1989,Bremen,female,,,,,,,,,,,,
1989,North Rhine-Westphalia,male,,,,,,,,,,,,
1989,North Rhine-Westphalia,female,,,,,,,,,,,,
1989,Hesse,male,,,,,,,,,,,,
1989,Hesse,female,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1989,Baden-Wuerttemberg,male,,,,,,,,,,,,
1989,Baden-Wuerttemberg,female,,,,,,,,,,,,
1989,Bavaria,male,,,,,,,,,,,,
1989,Bavaria,female,,,,,,,,,,,,
1989,Berlin,male,,,,,,,,,,,,
1989,Berlin,female,,,,,,,,,,,,
1990,Schleswig-Holstein,male,81,24.325739619205898,21.9526158224075,26.698863416004297,10.0,20.0,35.01234149878771,1.0,72.53085374696929,20.0,16.0,28.0
1990,Schleswig-Holstein,female,62,11.337054381297012,9.821337204087673,12.852771558506351,3.2010197792922797,7.835640551329547,15.0,1.0,32.698470331061586,8.0,4.0,11.0
1990,Hamburg,male,47,14.658246683330178,12.195123687791066,17.121369678869293,7.0,10.0,18.99660952482608,1.0,36.991523812065196,10.0,4.949999999999989,12.0
1990,Hamburg,female,34,9.974793860211742,8.853523749501697,11.096063970921787,4.453770519123405,8.0,16.65593106713311,1.0,25.0,8.0,3.0,11.0
1990,Lower Saxony,male,266,17.11500239764209,15.837804396467028,18.392200398817153,4.0,10.0,21.210678854550235,1.0,47.02669713637559,10.0,8.0,12.0
1990,Lower Saxony,female,189,10.028248204308055,9.25245164966026,10.804044758955849,3.0,6.0,13.0,0.0,28.0,6.0,4.0,7.0
1990,Bremen,male,,,,,,,,,,,,
1990,Bremen,female,,,,,,,,,,,,
1990,North Rhine-Westphalia,male,776,14.15283556754389,13.514500094978674,14.791171040109107,4.0,8.0,17.0,0.0,36.5,8.0,6.0,8.0
1990,North Rhine-Westphalia,female,489,10.235233509866564,9.666523972266967,10.803943047466161,3.0,7.0,14.0,0.0,30.5,7.0,6.0,9.0
1990,Hesse,male,301,18.457470429738287,17.384981288579294,19.52995957089728,5.0,13.0,25.0,0.0,55.0,13.0,11.0,16.0
1990,Hesse,female,200,10.318427811664769,9.363490540033865,11.273365083295673,2.0,5.0,15.0,1.0,34.5,5.0,3.9749999999999943,6.0
1990,"Rhineland-Palatinate, Saarland",male,199,16.813983995961223,15.549718787205627,18.07824920471682,5.0,10.0,20.0,1.0,42.5,10.0,8.0,12.0
1990,"Rhineland-Palatinate, Saarland",female,110,9.542639561835982,8.67498879523336,10.410290328438602,3.0,6.0,13.42300188385667,1.0,29.057504709641677,6.0,4.0,8.0
1990,Baden-Wuerttemberg,male,578,13.38918726373094,12.538559658950186,14.239814868511695,3.0,8.0,16.0,0.0,35.5,8.0,6.0,10.0
1990,Baden-Wuerttemberg,female,414,9.199578803693692,8.62642892410584,9.772728683281544,2.0,5.0,12.0,0.0,27.0,5.0,3.9749999999999943,6.0
1990,Bavaria,male,454,15.907051562503845,14.711965306213953,17.102137818793736,4.0,10.0,20.0,0.0,44.0,10.0,10.0,12.0
1990,Bavaria,female,333,12.537291573889574,11.628688566386035,13.445894581393112,3.0,8.0,16.0,0.0,35.5,8.0,6.0,10.0
1990,Berlin,male,88,12.614495103014391,11.835490018774124,13.39350018725466,6.220954405065642,11.491854764064414,15.0,1.0,28.168568392401536,12.0,9.0,14.0
1990,Berlin,female,71,9.095510297343688,8.438443539756,9.752577054931377,5.0,7.0,14.04899099885517,1.0,27.62247749713793,7.0,4.0,8.0
1990,Brandenburg,male,,,,,,,,,,,,
1990,Brandenburg,female,,,,,,,,,,,,
1990,Mecklenburg-Western Pomerania,male,,,,,,,,,,,,
1990,Mecklenburg-Western Pomerania,female,,,,,,,,,,,,
1990,Saxony,male,,,,,,,,,,,,
1990,Saxony,female,,,,,,,,,,,,
1990,Saxony-Anhalt,male,,,,,,,,,,,,
1990,Saxony-Anhalt,female,,,,,,,,,,,,
1990,Thuringa,male,,,,,,,,,,,,
1990,Thuringa,female,,,,,,,,,,,,
1991,Schleswig-Holstein,male,,,,,,,,,,,,
1991,Schleswig-Holstein,female,,,,,,,,,,,,
1991,Hamburg,male,,,,,,,,,,,,
1991,Hamburg,female,,,,,,,,,,,,
1991,Lower Saxony,male,,,,,,,,,,,,
1991,Lower Saxony,female,,,,,,,,,,,,
1991,Bremen,male,,,,,,,,,,,,
1991,Bremen,female,,,,,,,,,,,,
1991,North Rhine-Westphalia,male,,,,,,,,,,,,
1991,North Rhine-Westphalia,female,,,,,,,,,,,,
1991,Hesse,male,,,,,,,,,,,,
1991,Hesse,female,,,,,,,,,,,,
1991,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1991,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1991,Baden-Wuerttemberg,male,,,,,,,,,,,,
1991,Baden-Wuerttemberg,female,,,,,,,,,,,,
1991,Bavaria,male,,,,,,,,,,,,
1991,Bavaria,female,,,,,,,,,,,,
1991,Berlin,male,,,,,,,,,,,,
