year,age_gr,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2000,30-45 y.,3165,28.43933378347216,26.79070397404754,30.087963592896784,11.0,18.0,30.0,1.0,58.5,18.0,16.0,18.0
2000,46-65 y.,1850,25.798762398150732,23.57474269139703,28.022782104904433,10.0,16.0,25.0,1.0,47.5,16.0,15.0,17.0
2000,66 and older,,,,,,,,,,,,
2001,0-16 y.,,,,,,,,,,,,
2001,17-29 y.,2236,20.169590734799105,17.975052684095566,22.364128785502643,3.0,10.0,20.0,1.0,45.5,10.0,10.0,12.0
2001,30-45 y.,5155,19.02889458204312,17.80483491419337,20.252954249892866,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0
2001,46-65 y.,3459,14.76960392130907,13.816067492304445,15.723140350313695,3.0,8.0,18.0,1.0,40.5,8.0,6.0,8.0
2001,66 and older,52,13.560158065522398,7.512926925398465,19.60738920564633,2.0,5.0,12.431966071806167,1.0,28.079915179515417,5.0,0.0,7.0
2002,0-16 y.,,,,,,,,,,,,
2002,17-29 y.,2173,22.16783111464283,19.64290320636254,24.69275902292312,3.0,10.0,20.0,0.0,45.5,10.0,10.0,11.0
2002,30-45 y.,5203,19.093054197806538,17.910438846357536,20.27566954925554,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0
2002,46-65 y.,4111,16.23374324022686,15.039756167632474,17.42773031282125,3.0,8.0,17.0,0.0,38.0,8.0,6.0,8.0
2002,66 and older,68,28.084864312165696,5.678650860069105,50.491077764262286,1.4248406294543918,4.0,15.0,0.0,35.36273905581841,4.0,2.0,6.0
2003,0-16 y.,,,,,,,,,,,,
2003,17-29 y.,2600,17.11381547192661,16.11462064518034,18.11301029867288,4.0,10.0,20.0,1.0,44.0,10.0,10.0,10.0
2003,30-45 y.,4763,16.642808764762275,16.031375739627727,17.254241789896824,4.0,10.0,21.0,0.0,46.5,10.0,9.0,10.0
2003,46-65 y.,3896,13.989435659782693,13.415556363536044,14.563314956029341,3.0,9.0,17.0,1.0,38.0,9.0,8.0,10.0
2003,66 and older,58,11.693405581624255,7.689240113105676,15.697571050142834,2.0,5.777964430208117,15.0,1.0,34.5,6.0,4.0,9.0
2004,0-16 y.,,,,,,,,,,,,
2004,17-29 y.,1992,23.540556751489902,20.88225360292074,26.198859900059063,5.0,10.0,20.0,1.0,42.5,10.0,8.0,10.0
2004,30-45 y.,4569,18.97640628063469,17.876150905429707,20.076661655839676,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0
2004,46-65 y.,3934,18.527557400571077,17.029936108860497,20.025178692281656,3.0,9.0,18.0,0.0,40.5,9.0,8.0,10.0
2004,66 and older,80,11.257736368814927,5.603637919884006,16.91183481774585,2.0,5.0,12.0,0.0,27.0,5.0,3.0,7.0
2005,0-16 y.,,,,,,,,,,,,
2005,17-29 y.,1835,25.385660058743586,21.92677921683994,28.84454090064723,5.0,11.0,21.0,1.0,45.0,11.0,9.0,12.0
2005,30-45 y.,4251,19.358803987256078,18.178469064756545,20.53913890975561,4.0,10.0,21.0,1.0,46.5,10.0,9.0,10.0
2005,46-65 y.,3753,18.993073601092647,17.538352849308108,20.447794352877185,4.0,10.0,19.0,1.0,41.5,10.0,10.0,12.0
2005,66 and older,83,13.654704524614758,8.19727258099277,19.112136468236745,2.0,6.0,18.820117112033376,1.0,44.05029278008344,6.0,2.0,9.0
2006,0-16 y.,,,,,,,,,,,,
2006,17-29 y.,1892,23.31752068918424,20.991823263290733,25.643218115077744,4.0,12.0,23.0,1.0,51.5,12.0,12.0,14.0
2006,30-45 y.,4433,20.745878917821205,19.36296817454141,22.128789661101,4.0,10.0,22.0,1.0,49.0,10.0,9.0,10.0
2006,46-65 y.,4164,19.035835656207226,17.621690277902296,20.449981034512156,4.0,9.0,20.0,1.0,44.0,9.0,8.0,10.0
2006,66 and older,108,10.215916204785241,7.552382078967293,12.87945033060319,2.0,5.0,10.0,1.0,22.0,5.0,2.0,6.0
2007,0-16 y.,,,,,,,,,,,,
2007,17-29 y.,1776,23.050485457603152,20.18545816457158,25.915512750634726,4.0,10.0,21.0,1.0,46.5,10.0,8.0,10.0
2007,30-45 y.,4156,21.558073206635285,20.106173357648,23.00997305562257,4.0,10.0,23.0,1.0,51.5,10.0,8.0,10.0
2007,46-65 y.,3997,19.967096586831357,18.383949536316027,21.550243637346686,3.0,10.0,20.0,1.0,45.5,10.0,10.0,12.0
2007,66 and older,102,16.804801771111887,6.527167967650312,27.08243557457346,2.0,5.338424628039626,12.0,1.0,27.0,5.0,2.0,7.0
2008,0-16 y.,,,,,,,,,,,,
2008,17-29 y.,1723,23.18847961680671,20.371902033824924,26.005057199788496,4.0,10.0,25.0,1.0,56.5,10.0,8.0,10.0
2008,30-45 y.,3839,21.85875092085558,20.178331635290093,23.53917020642107,4.0,10.0,23.0,1.0,51.5,10.0,8.0,10.0
2008,46-65 y.,3973,19.677003495692304,18.155954248389783,21.198052742994825,3.0,10.0,20.0,1.0,45.5,10.0,10.0,12.0
2008,66 and older,108,11.535800079115157,8.282375541333131,14.789224616897183,1.0,5.0,12.0,1.0,28.5,5.0,3.0,7.0249999999999995
2009,0-16 y.,,,,,,,,,,,,
2009,17-29 y.,1554,22.800119034001796,20.14952948518414,25.450708582819452,4.0,10.0,25.0,1.0,56.5,10.0,8.0,10.0
2009,30-45 y.,3475,21.005981879510347,19.452854387325626,22.55910937169507,4.0,11.0,23.0,1.0,51.5,11.0,10.0,12.0
2009,46-65 y.,3830,20.641071069248856,18.93323760230354,22.348904536194173,3.0,10.0,20.0,1.0,45.5,10.0,10.0,11.0
2009,66 and older,131,12.339668910932009,8.233048591595447,16.44628923026857,1.0,6.0,12.0,1.0,28.5,6.0,4.974999999999994,10.0
2010,0-16 y.,,,,,,,,,,,,
2010,17-29 y.,1875,25.237586000173323,21.91308687241908,28.562085127927567,4.0,11.0,24.0,1.0,54.0,11.0,10.0,12.0
2010,30-45 y.,5927,20.173019806379788,19.075577100608005,21.27046251215157,4.0,11.0,24.0,1.0,54.0,11.0,10.0,12.0
2010,46-65 y.,4346,21.522985592557752,19.702542174906203,23.343429010209302,3.0,10.0,21.0,1.0,48.0,10.0,10.0,12.0
2010,66 and older,134,14.594336058801092,10.36495739084797,18.823714726754215,2.0,5.756265820261875,12.0,1.0,27.0,6.0,4.0,9.0
2011,0-16 y.,,,,,,,,,,,,
2011,17-29 y.,2119,21.915992330034825,19.766546390931573,24.065438269138077,4.0,10.0,22.0,1.0,49.0,10.0,8.0,10.0
2011,30-45 y.,6913,21.066650688630506,19.872193969309123,22.26110740795189,4.0,10.0,25.0,1.0,56.5,10.0,8.0,10.0
2011,46-65 y.,5712,20.30338915258468,18.996166598035757,21.6106117071336,3.0,10.0,20.0,1.0,45.5,10.0,10.0,11.0
2011,66 and older,144,28.56361967593607,9.533678770053367,47.59356058181878,1.8830311074388915,6.0,15.0,1.0,34.67545333884166,6.0,3.0,9.0
2012,0-16 y.,,,,,,,,,,,,
2012,17-29 y.,2098,19.691937206301727,17.78395492521202,21.599919487391436,3.0,10.0,21.0,1.0,48.0,10.0,10.0,11.0
2012,30-45 y.,6494,22.72758620360331,21.29348583200066,24.16168657520596,4.0,10.0,25.0,0.0,56.5,10.0,8.0,10.0
2012,46-65 y.,5911,19.280181730668282,18.09870773533758,20.461655725998984,3.0,10.0,20.0,0.0,45.5,10.0,10.0,11.0
2012,66 and older,177,14.011427132951997,7.022013740214745,21.00084052568925,2.0,6.0,12.0,1.0,27.0,6.0,4.0,7.0
2013,0-16 y.,,,,,,,,,,,,
2013,17-29 y.,2705,19.855942890599433,18.218052527431098,21.493833253767768,3.0,10.0,20.0,1.0,45.5,10.0,10.0,11.0
2013,30-45 y.,7363,21.517008733417942,20.304533802712708,22.729483664123176,4.0,10.0,24.0,1.0,54.0,10.0,9.0,10.0
2013,46-65 y.,6554,20.83599231599278,19.66008532390848,22.01189930807708,3.0,10.0,21.0,1.0,48.0,10.0,10.0,10.0
2013,66 and older,179,16.127975602130718,8.347353376250556,23.90859782801088,2.0,5.0,12.211207582553097,1.0,27.528018956382745,5.0,3.0,6.0
2014,0-16 y.,,,,,,,,,,,,
2014,17-29 y.,,,,,,,,,,,,
2014,30-45 y.,,,,,,,,,,,,
2014,46-65 y.,,,,,,,,,,,,
2014,66 and older,,,,,,,,,,,,
2015,0-16 y.,,,,,,,,,,,,
2015,17-29 y.,2460,15.585626978020676,14.832547424768077,16.338706531273274,3.0,10.0,20.0,0.0,45.5,10.0,10.0,11.0
