year,bula_h,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Just Right,0.65502,132,132,0.57362,0.73643
1984,Hamburg,A Bit Too Small,0.18245,34,151,0.12064,0.24425
1984,Hamburg,Just Right,0.72236,117,151,0.65069,0.79403
1984,Lower Saxony,A Bit Too Small,0.10528,77,565,0.07995,0.13061
1984,Lower Saxony,Just Right,0.77848,448,565,0.74421,0.81276
1984,Lower Saxony,A Bit Too Large,0.07475,40,565,0.05304,0.09645
1984,Bremen,Just Right,0.81021,59,59,0.70929,0.91113
1984,North Rhine-Westphalia,Much Too Small,0.02427,65,1576,0.01667,0.03187
1984,North Rhine-Westphalia,A Bit Too Small,0.13043,256,1576,0.11380,0.14706
1984,North Rhine-Westphalia,Just Right,0.75470,1158,1576,0.73345,0.77595
1984,North Rhine-Westphalia,A Bit Too Large,0.07801,97,1576,0.06477,0.09126
1984,Hesse,A Bit Too Small,0.10048,89,521,0.07464,0.12632
1984,Hesse,Just Right,0.79701,432,521,0.76244,0.83159
1984,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.07280,39,373,0.04640,0.09920
1984,"Rhineland-Palatinate, Saarland",Just Right,0.75728,292,373,0.71372,0.80085
1984,"Rhineland-Palatinate, Saarland",A Bit Too Large,0.12203,42,373,0.08877,0.15529
1984,Baden-Wuerttemberg,Much Too Small,0.02223,39,1045,0.01329,0.03118
1984,Baden-Wuerttemberg,A Bit Too Small,0.11362,163,1045,0.09437,0.13287
1984,Baden-Wuerttemberg,Just Right,0.78184,792,1045,0.75678,0.80689
1984,Baden-Wuerttemberg,A Bit Too Large,0.07239,51,1045,0.05667,0.08810
1984,Bavaria,A Bit Too Small,0.14379,161,948,0.12145,0.16614
1984,Bavaria,Just Right,0.76053,731,948,0.73335,0.78771
1984,Bavaria,A Bit Too Large,0.06695,56,948,0.05104,0.08287
1984,Berlin,A Bit Too Small,0.21062,58,200,0.15396,0.26727
1984,Berlin,Just Right,0.69175,142,200,0.62759,0.75591
1985,Schleswig-Holstein,Just Right,0.74527,133,133,0.67094,0.81960
1985,Hamburg,A Bit Too Small,0.19826,37,140,0.13198,0.26454
1985,Hamburg,Just Right,0.68841,103,140,0.61141,0.76540
1985,Lower Saxony,A Bit Too Small,0.07510,47,502,0.05202,0.09818
1985,Lower Saxony,Just Right,0.79319,407,502,0.75773,0.82866
1985,Lower Saxony,A Bit Too Large,0.10937,48,502,0.08204,0.13670
1985,Bremen,Just Right,0.83561,50,50,0.73183,0.93938
1985,North Rhine-Westphalia,Much Too Small,0.02617,54,1403,0.01782,0.03453
1985,North Rhine-Westphalia,A Bit Too Small,0.12611,222,1403,0.10873,0.14348
1985,North Rhine-Westphalia,Just Right,0.76439,1049,1403,0.74217,0.78660
1985,North Rhine-Westphalia,A Bit Too Large,0.06894,78,1403,0.05568,0.08220
1985,Hesse,A Bit Too Small,0.11537,89,468,0.08640,0.14435
1985,Hesse,Just Right,0.76873,379,468,0.73049,0.80697
1985,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.07756,34,305,0.04749,0.10763
1985,"Rhineland-Palatinate, Saarland",Just Right,0.78590,271,305,0.73978,0.83201
1985,Baden-Wuerttemberg,A Bit Too Small,0.09365,124,898,0.07458,0.11271
1985,Baden-Wuerttemberg,Just Right,0.80458,727,898,0.77863,0.83053
1985,Baden-Wuerttemberg,A Bit Too Large,0.06751,47,898,0.05109,0.08393
1985,Bavaria,A Bit Too Small,0.12561,137,853,0.10335,0.14786
1985,Bavaria,Just Right,0.75648,648,853,0.72766,0.78530
1985,Bavaria,A Bit Too Large,0.08672,68,853,0.06782,0.10561
1985,Berlin,A Bit Too Small,0.17007,39,181,0.11519,0.22496
1985,Berlin,Just Right,0.75104,142,181,0.68787,0.81421
1986,Schleswig-Holstein,Just Right,0.75756,123,123,0.68151,0.83361
1986,Hamburg,A Bit Too Small,0.19159,32,134,0.12470,0.25847
1986,Hamburg,Just Right,0.73550,102,134,0.66054,0.81046
1986,Lower Saxony,A Bit Too Small,0.06399,38,499,0.04249,0.08548
1986,Lower Saxony,Just Right,0.80607,412,499,0.77134,0.84080
1986,Lower Saxony,A Bit Too Large,0.11091,49,499,0.08333,0.13849
1986,Bremen,Just Right,0.79190,44,44,0.67056,0.91324
1986,North Rhine-Westphalia,Much Too Small,0.02058,39,1342,0.01298,0.02818
1986,North Rhine-Westphalia,A Bit Too Small,0.12398,198,1342,0.10634,0.14162
1986,North Rhine-Westphalia,Just Right,0.77707,1032,1342,0.75479,0.79935
1986,North Rhine-Westphalia,A Bit Too Large,0.06657,73,1342,0.05323,0.07991
1986,Hesse,A Bit Too Small,0.14905,95,442,0.11581,0.18229
1986,Hesse,Just Right,0.74171,347,442,0.70086,0.78257
1986,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.09177,37,311,0.05963,0.12391
1986,"Rhineland-Palatinate, Saarland",Just Right,0.78493,274,311,0.73919,0.83067
1986,Baden-Wuerttemberg,A Bit Too Small,0.08987,113,857,0.07071,0.10902
1986,Baden-Wuerttemberg,Just Right,0.79980,696,857,0.77299,0.82661
1986,Baden-Wuerttemberg,A Bit Too Large,0.07488,48,857,0.05725,0.09251
1986,Bavaria,A Bit Too Small,0.12220,120,798,0.09946,0.14494
1986,Bavaria,Just Right,0.75124,612,798,0.72123,0.78125
1986,Bavaria,A Bit Too Large,0.09060,66,798,0.07067,0.11053
1986,Berlin,A Bit Too Small,0.18850,40,181,0.13136,0.24563
1986,Berlin,Just Right,0.75108,141,181,0.68791,0.81425
1987,Schleswig-Holstein,Just Right,0.76813,126,126,0.69415,0.84212
1987,Hamburg,Just Right,0.76249,95,95,0.67646,0.84852
1987,Lower Saxony,A Bit Too Small,0.07648,43,495,0.05305,0.09992
1987,Lower Saxony,Just Right,0.78796,400,495,0.75192,0.82401
1987,Lower Saxony,A Bit Too Large,0.11449,52,495,0.08641,0.14257
1987,Bremen,Just Right,0.85485,47,47,0.75306,0.95665
1987,North Rhine-Westphalia,Much Too Small,0.01923,32,1332,0.01185,0.02660
1987,North Rhine-Westphalia,A Bit Too Small,0.10915,182,1332,0.09240,0.12591
1987,North Rhine-Westphalia,Just Right,0.78929,1039,1332,0.76738,0.81119
1987,North Rhine-Westphalia,A Bit Too Large,0.07228,79,1332,0.05837,0.08620
1987,Hesse,A Bit Too Small,0.13575,89,434,0.10349,0.16801
1987,Hesse,Just Right,0.74895,345,434,0.70810,0.78979
1987,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.08078,37,310,0.05039,0.11116
1987,"Rhineland-Palatinate, Saarland",Just Right,0.78594,273,310,0.74020,0.83167
1987,Baden-Wuerttemberg,A Bit Too Small,0.09224,112,856,0.07285,0.11164
1987,Baden-Wuerttemberg,Just Right,0.81755,700,856,0.79166,0.84344
1987,Baden-Wuerttemberg,A Bit Too Large,0.06972,44,856,0.05265,0.08679
1987,Bavaria,A Bit Too Small,0.12588,119,799,0.10287,0.14890
1987,Bavaria,Just Right,0.76877,620,799,0.73952,0.79802
1987,Bavaria,A Bit Too Large,0.07938,60,799,0.06063,0.09814
1987,Berlin,A Bit Too Small,0.17472,37,178,0.11878,0.23067
1987,Berlin,Just Right,0.74242,141,178,0.67799,0.80684
1988,Schleswig-Holstein,Just Right,0.74806,122,122,0.67070,0.82541
1988,Hamburg,Just Right,0.80386,93,93,0.72272,0.88500
1988,Lower Saxony,A Bit Too Small,0.06933,38,472,0.04639,0.09227
1988,Lower Saxony,Just Right,0.80006,387,472,0.76394,0.83618
1988,Lower Saxony,A Bit Too Large,0.10567,47,472,0.07790,0.13343
1988,Bremen,Just Right,0.81841,45,45,0.70450,0.93232
1988,North Rhine-Westphalia,A Bit Too Small,0.11155,171,1243,0.09404,0.12906
1988,North Rhine-Westphalia,Just Right,0.79501,999,1243,0.77256,0.81747
1988,North Rhine-Westphalia,A Bit Too Large,0.06684,73,1243,0.05295,0.08072
1988,Hesse,A Bit Too Small,0.12239,81,443,0.09183,0.15294
1988,Hesse,Just Right,0.75174,330,443,0.71146,0.79201
1988,Hesse,A Bit Too Large,0.09930,32,443,0.07142,0.12718
1988,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.08010,32,296,0.04912,0.11108
1988,"Rhineland-Palatinate, Saarland",Just Right,0.78700,264,296,0.74027,0.83372
1988,Baden-Wuerttemberg,A Bit Too Small,0.09801,106,838,0.07786,0.11815
1988,Baden-Wuerttemberg,Just Right,0.81813,694,838,0.79200,0.84426
1988,Baden-Wuerttemberg,A Bit Too Large,0.06208,38,838,0.04573,0.07842
1988,Bavaria,A Bit Too Small,0.11809,110,771,0.09530,0.14089
1988,Bavaria,Just Right,0.77199,600,771,0.74236,0.80163
1988,Bavaria,A Bit Too Large,0.08799,61,771,0.06799,0.10800
1988,Berlin,A Bit Too Small,0.18701,36,170,0.12822,0.24580
1988,Berlin,Just Right,0.74606,134,170,0.68044,0.81169
1989,Schleswig-Holstein,Just Right,0.73243,115,115,0.65117,0.81370
1989,Hamburg,Just Right,0.77222,88,88,0.68409,0.86035
1989,Lower Saxony,A Bit Too Small,0.07689,41,470,0.05278,0.10100
1989,Lower Saxony,Just Right,0.78115,373,470,0.74373,0.81858
1989,Lower Saxony,A Bit Too Large,0.12633,56,470,0.09626,0.15639
1989,Bremen,Just Right,0.83200,48,48,0.72511,0.93889
1989,North Rhine-Westphalia,A Bit Too Small,0.11174,161,1206,0.09395,0.12953
1989,North Rhine-Westphalia,Just Right,0.80147,980,1206,0.77895,0.82399
1989,North Rhine-Westphalia,A Bit Too Large,0.06280,65,1206,0.04910,0.07650
1989,Hesse,A Bit Too Small,0.12995,86,420,0.09775,0.16214
1989,Hesse,Just Right,0.75720,334,420,0.71614,0.79826
1989,"Rhineland-Palatinate, Saarland",Just Right,0.79101,253,253,0.74081,0.84121
1989,Baden-Wuerttemberg,A Bit Too Small,0.07489,90,800,0.05664,0.09314
1989,Baden-Wuerttemberg,Just Right,0.84141,670,800,0.81608,0.86674
1989,Baden-Wuerttemberg,A Bit Too Large,0.06231,40,800,0.04555,0.07907
