year,bula_h,rentown,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,Just Right,0.66443,69,69,0.55220,0.77666
1984,Schleswig-Holstein,Tenant,Just Right,0.64515,63,63,0.52604,0.76425
1984,Hamburg,Tenant,A Bit Too Small,0.20267,32,130,0.13330,0.27204
1984,Hamburg,Tenant,Just Right,0.69386,98,130,0.61432,0.77339
1984,Lower Saxony,Owner,Just Right,0.76587,195,195,0.70628,0.82546
1984,Lower Saxony,Tenant,A Bit Too Small,0.12654,54,307,0.08929,0.16379
1984,Lower Saxony,Tenant,Just Right,0.78981,253,307,0.74416,0.83547
1984,Bremen,Tenant,Just Right,0.82748,47,47,0.71829,0.93667
1984,North Rhine-Westphalia,Owner,A Bit Too Small,0.08510,40,431,0.05873,0.11148
1984,North Rhine-Westphalia,Owner,Just Right,0.77823,347,431,0.73897,0.81750
1984,North Rhine-Westphalia,Owner,A Bit Too Large,0.11186,44,431,0.08207,0.14166
1984,North Rhine-Westphalia,Tenant,Much Too Small,0.03289,62,1142,0.02254,0.04323
1984,North Rhine-Westphalia,Tenant,A Bit Too Small,0.15203,216,1142,0.13120,0.17287
1984,North Rhine-Westphalia,Tenant,Just Right,0.74348,811,1142,0.71814,0.76882
1984,North Rhine-Westphalia,Tenant,A Bit Too Large,0.06188,53,1142,0.04790,0.07586
1984,Hesse,Owner,Just Right,0.84877,144,144,0.79005,0.90749
1984,Hesse,Tenant,A Bit Too Small,0.14408,83,371,0.10830,0.17986
1984,Hesse,Tenant,Just Right,0.76437,288,371,0.72113,0.80762
1984,"Rhineland-Palatinate, Saarland",Owner,Just Right,0.76683,155,155,0.70005,0.83362
1984,"Rhineland-Palatinate, Saarland",Tenant,Just Right,0.74541,137,137,0.67220,0.81863
1984,Baden-Wuerttemberg,Owner,A Bit Too Small,0.07296,34,374,0.04657,0.09936
1984,Baden-Wuerttemberg,Owner,Just Right,0.80646,308,374,0.76636,0.84655
1984,Baden-Wuerttemberg,Owner,A Bit Too Large,0.09835,32,374,0.06813,0.12857
1984,Baden-Wuerttemberg,Tenant,Much Too Small,0.03107,33,646,0.01768,0.04446
1984,Baden-Wuerttemberg,Tenant,A Bit Too Small,0.15199,129,646,0.12428,0.17969
1984,Baden-Wuerttemberg,Tenant,Just Right,0.75860,484,646,0.72558,0.79163
1984,Bavaria,Owner,A Bit Too Small,0.11729,50,393,0.08544,0.14915
1984,Bavaria,Owner,Just Right,0.77105,310,393,0.72946,0.81265
1984,Bavaria,Owner,A Bit Too Large,0.08850,33,393,0.06038,0.11661
1984,Bavaria,Tenant,A Bit Too Small,0.16622,111,532,0.13455,0.19788
1984,Bavaria,Tenant,Just Right,0.75162,421,532,0.71487,0.78837
1984,Berlin,Tenant,A Bit Too Small,0.22677,57,185,0.16626,0.28727
1984,Berlin,Tenant,Just Right,0.67714,128,185,0.60958,0.74470
