year,hhtyp,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,A Bit Too Small,0.10099,40,297,0.06666,0.13531
1984,Single-person household,1st Quintile,Just Right,0.79377,257,297,0.74767,0.83986
1984,Single-person household,2nd Quintile,Just Right,0.78326,178,178,0.72256,0.84396
1984,Single-person household,3rd Quintile,Just Right,0.76009,177,177,0.69700,0.82318
1984,Single-person household,4th Quintile,Just Right,0.68599,164,164,0.61474,0.75724
1984,Single-person household,5th Quintile,Just Right,0.71711,165,165,0.64817,0.78604
1984,Couple without children,1st Quintile,Just Right,0.82818,135,135,0.76431,0.89205
1984,Couple without children,2nd Quintile,Just Right,0.84029,170,170,0.78506,0.89553
1984,Couple without children,3rd Quintile,Just Right,0.80222,204,204,0.74743,0.85702
1984,Couple without children,4th Quintile,A Bit Too Small,0.12158,39,275,0.08288,0.16027
1984,Couple without children,4th Quintile,Just Right,0.79518,236,275,0.74739,0.84296
1984,Couple without children,5th Quintile,A Bit Too Small,0.12469,57,381,0.09147,0.15791
1984,Couple without children,5th Quintile,Just Right,0.77229,324,381,0.73012,0.81445
1984,Single parent,1st Quintile,Just Right,0.70440,86,86,0.60739,0.80141
1984,Single parent,2nd Quintile,Just Right,0.74151,51,51,0.62016,0.86287
1984,Single parent,3rd Quintile,Just Right,0.82852,44,44,0.71586,0.94118
1984,Single parent,4th Quintile,Just Right,0.85169,35,35,0.73222,0.97116
1984,Couple with children,1st Quintile,Much Too Small,0.07957,48,520,0.05628,0.10285
1984,Couple with children,1st Quintile,A Bit Too Small,0.19227,116,520,0.15836,0.22617
1984,Couple with children,1st Quintile,Just Right,0.69146,356,520,0.65173,0.73120
1984,Couple with children,2nd Quintile,Much Too Small,0.04644,40,605,0.02966,0.06322
1984,Couple with children,2nd Quintile,A Bit Too Small,0.20915,150,605,0.17672,0.24159
1984,Couple with children,2nd Quintile,Just Right,0.69936,415,605,0.66280,0.73593
1984,Couple with children,3rd Quintile,A Bit Too Small,0.18688,124,525,0.15350,0.22025
1984,Couple with children,3rd Quintile,Just Right,0.71834,401,525,0.67982,0.75685
1984,Couple with children,4th Quintile,A Bit Too Small,0.14012,89,498,0.10960,0.17064
1984,Couple with children,4th Quintile,Just Right,0.77682,409,498,0.74021,0.81343
1984,Couple with children,5th Quintile,A Bit Too Small,0.10873,44,318,0.07446,0.14300
1984,Couple with children,5th Quintile,Just Right,0.79853,274,318,0.75437,0.84268
1985,Single-person household,1st Quintile,A Bit Too Small,0.09101,35,265,0.05632,0.12571
1985,Single-person household,1st Quintile,Just Right,0.79154,230,265,0.74254,0.84054
1985,Single-person household,2nd Quintile,Just Right,0.77793,156,156,0.71250,0.84336
1985,Single-person household,3rd Quintile,Just Right,0.86300,171,171,0.81131,0.91469
1985,Single-person household,4th Quintile,Just Right,0.68927,155,155,0.61618,0.76236
1985,Single-person household,5th Quintile,Just Right,0.69141,133,133,0.61261,0.77021
1985,Couple without children,1st Quintile,Just Right,0.88113,113,113,0.82119,0.94106
1985,Couple without children,2nd Quintile,Just Right,0.84007,163,163,0.78362,0.89651
1985,Couple without children,3rd Quintile,Just Right,0.82615,177,177,0.77016,0.88214
1985,Couple without children,4th Quintile,Just Right,0.81144,230,230,0.76078,0.86211
1985,Couple without children,5th Quintile,A Bit Too Small,0.08561,40,377,0.05733,0.11389
1985,Couple without children,5th Quintile,Just Right,0.77839,297,377,0.73641,0.82037
1985,Couple without children,5th Quintile,A Bit Too Large,0.11520,40,377,0.08293,0.14747
1985,Single parent,1st Quintile,Just Right,0.71047,72,72,0.60498,0.81597
1985,Single parent,2nd Quintile,Just Right,0.62232,40,40,0.47017,0.77448
1985,Single parent,3rd Quintile,Just Right,0.83075,44,44,0.71867,0.94282
1985,Couple with children,1st Quintile,Much Too Small,0.07804,43,468,0.05371,0.10236
1985,Couple with children,1st Quintile,A Bit Too Small,0.17185,103,468,0.13763,0.20606
1985,Couple with children,1st Quintile,Just Right,0.70916,322,468,0.66797,0.75035
1985,Couple with children,2nd Quintile,A Bit Too Small,0.22947,131,510,0.19294,0.26600
1985,Couple with children,2nd Quintile,Just Right,0.69192,379,510,0.65181,0.73203
1985,Couple with children,3rd Quintile,A Bit Too Small,0.14554,96,490,0.11429,0.17680
1985,Couple with children,3rd Quintile,Just Right,0.76184,394,490,0.72409,0.79960
1985,Couple with children,4th Quintile,A Bit Too Small,0.14050,74,412,0.10690,0.17409
1985,Couple with children,4th Quintile,Just Right,0.76022,338,412,0.71894,0.80149
1985,Couple with children,5th Quintile,A Bit Too Small,0.10349,40,304,0.06920,0.13779
1985,Couple with children,5th Quintile,Just Right,0.82521,264,304,0.78244,0.86797
1986,Single-person household,1st Quintile,A Bit Too Small,0.11978,41,251,0.07953,0.16003
1986,Single-person household,1st Quintile,Just Right,0.78505,210,251,0.73413,0.83597
1986,Single-person household,2nd Quintile,Just Right,0.80234,143,143,0.73684,0.86784
1986,Single-person household,3rd Quintile,Just Right,0.76882,155,155,0.70223,0.83540
1986,Single-person household,4th Quintile,Just Right,0.75312,159,159,0.68589,0.82036
1986,Single-person household,5th Quintile,Just Right,0.68135,123,123,0.59866,0.76403
1986,Couple without children,1st Quintile,Just Right,0.86845,124,124,0.80871,0.92818
1986,Couple without children,2nd Quintile,Just Right,0.86216,157,157,0.80806,0.91626
1986,Couple without children,3rd Quintile,Just Right,0.81788,168,168,0.75934,0.87641
1986,Couple without children,4th Quintile,A Bit Too Small,0.09912,31,259,0.06266,0.13558
1986,Couple without children,4th Quintile,Just Right,0.77764,228,259,0.72690,0.82839
1986,Couple without children,5th Quintile,A Bit Too Small,0.10160,36,369,0.07073,0.13247
1986,Couple without children,5th Quintile,Just Right,0.77381,297,369,0.73107,0.81656
1986,Couple without children,5th Quintile,A Bit Too Large,0.11251,36,369,0.08023,0.14480
1986,Single parent,1st Quintile,Just Right,0.74526,72,72,0.64391,0.84661
1986,Single parent,2nd Quintile,Just Right,0.74688,41,41,0.61213,0.88162
1986,Single parent,3rd Quintile,Just Right,0.79682,44,44,0.67655,0.91709
1986,Couple with children,1st Quintile,A Bit Too Small,0.19823,92,376,0.15788,0.23859
1986,Couple with children,1st Quintile,Just Right,0.69700,284,376,0.65048,0.74351
1986,Couple with children,2nd Quintile,A Bit Too Small,0.15152,100,500,0.12006,0.18298
1986,Couple with children,2nd Quintile,Just Right,0.77338,400,500,0.73664,0.81011
1986,Couple with children,3rd Quintile,A Bit Too Small,0.18278,101,463,0.14754,0.21802
1986,Couple with children,3rd Quintile,Just Right,0.72463,362,463,0.68390,0.76537
