year,hhtyp,rentown,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Owner,Just Right,0.69906,178,225,0.63899,0.75912
1984,Single-person household,Owner,A Bit Too Large,0.18836,47,225,0.13716,0.23956
1984,Single-person household,Tenant,Much Too Small,0.02380,37,1015,0.01442,0.03319
1984,Single-person household,Tenant,A Bit Too Small,0.10659,125,1015,0.08759,0.12558
1984,Single-person household,Tenant,Just Right,0.77083,778,1015,0.74496,0.79670
1984,Single-person household,Tenant,A Bit Too Large,0.08502,75,1015,0.06785,0.10218
1984,Couple without children,Owner,Just Right,0.81068,413,479,0.77556,0.84580
1984,Couple without children,Owner,A Bit Too Large,0.13249,66,479,0.10209,0.16288
1984,Couple without children,Tenant,A Bit Too Small,0.14907,132,788,0.12419,0.17396
1984,Couple without children,Tenant,Just Right,0.79339,656,788,0.76510,0.82168
1984,Single parent,Owner,Just Right,0.80732,70,70,0.71425,0.90038
1984,Single parent,Tenant,A Bit Too Small,0.14434,38,209,0.09658,0.19210
1984,Single parent,Tenant,Just Right,0.74213,171,209,0.68268,0.80159
1984,Couple with children,Owner,A Bit Too Small,0.10975,117,1002,0.09039,0.12912
1984,Couple with children,Owner,Just Right,0.80139,822,1002,0.77667,0.82610
1984,Couple with children,Owner,A Bit Too Large,0.06460,63,1002,0.04937,0.07983
1984,Couple with children,Tenant,Much Too Small,0.06539,125,1606,0.05329,0.07748
1984,Couple with children,Tenant,A Bit Too Small,0.23482,406,1606,0.21408,0.25556
1984,Couple with children,Tenant,Just Right,0.66478,1033,1606,0.64168,0.68787
1984,Couple with children,Tenant,A Bit Too Large,0.03255,42,1606,0.02387,0.04123
1984,Multi-generational household,Owner,Just Right,0.67160,47,47,0.53589,0.80732
1984,Multi-generational household,Tenant,Just Right,0.66216,36,36,0.50547,0.81886
1984,Other Combinations,Owner,Just Right,0.80946,43,43,0.69068,0.92823
1984,Other Combinations,Tenant,Just Right,0.76011,56,56,0.64726,0.87297
1985,Single-person household,Owner,Just Right,0.77452,166,197,0.71601,0.83302
1985,Single-person household,Owner,A Bit Too Large,0.14628,31,197,0.09681,0.19576
1985,Single-person household,Tenant,Much Too Small,0.02612,33,905,0.01572,0.03651
1985,Single-person household,Tenant,A Bit Too Small,0.10674,115,905,0.08661,0.12687
1985,Single-person household,Tenant,Just Right,0.76206,682,905,0.73430,0.78982
1985,Single-person household,Tenant,A Bit Too Large,0.09163,75,905,0.07282,0.11044
1985,Couple without children,Owner,Just Right,0.82846,377,436,0.79303,0.86388
1985,Couple without children,Owner,A Bit Too Large,0.13167,59,436,0.09989,0.16345
1985,Couple without children,Tenant,A Bit Too Small,0.11457,96,739,0.09159,0.13755
1985,Couple without children,Tenant,Just Right,0.80883,604,739,0.78046,0.83720
1985,Couple without children,Tenant,A Bit Too Large,0.05387,39,739,0.03758,0.07015
1985,Single parent,Owner,Just Right,0.76667,65,65,0.66305,0.87030
1985,Single parent,Tenant,A Bit Too Small,0.17672,43,184,0.12146,0.23199
1985,Single parent,Tenant,Just Right,0.71430,141,184,0.64885,0.77975
1985,Couple with children,Owner,A Bit Too Small,0.10071,104,963,0.08169,0.11972
1985,Couple with children,Owner,Just Right,0.80860,790,963,0.78373,0.83346
1985,Couple with children,Owner,A Bit Too Large,0.07352,69,963,0.05702,0.09001
1985,Couple with children,Tenant,Much Too Small,0.05987,98,1345,0.04719,0.07256
1985,Couple with children,Tenant,A Bit Too Small,0.23240,340,1345,0.20982,0.25499
1985,Couple with children,Tenant,Just Right,0.67544,907,1345,0.65041,0.70047
1985,Multi-generational household,Owner,Just Right,0.73545,52,52,0.61438,0.85651
1985,Multi-generational household,Tenant,Just Right,0.80206,31,31,0.65948,0.94464
1985,Other Combinations,Owner,Just Right,0.81619,39,39,0.69304,0.93935
1985,Other Combinations,Tenant,Just Right,0.77537,55,55,0.66406,0.88669
1986,Single-person household,Owner,Just Right,0.76555,168,201,0.70683,0.82426
1986,Single-person household,Owner,A Bit Too Large,0.15445,33,201,0.10437,0.20454
1986,Single-person household,Tenant,Much Too Small,0.02673,31,836,0.01579,0.03767
1986,Single-person household,Tenant,A Bit Too Small,0.12435,123,836,0.10197,0.14673
1986,Single-person household,Tenant,Just Right,0.76092,623,836,0.73199,0.78985
1986,Single-person household,Tenant,A Bit Too Large,0.07732,59,836,0.05920,0.09543
1986,Couple without children,Owner,Just Right,0.82079,373,432,0.78458,0.85700
1986,Couple without children,Owner,A Bit Too Large,0.13647,59,432,0.10406,0.16888
1986,Couple without children,Tenant,A Bit Too Small,0.13166,96,734,0.10718,0.15614
1986,Couple without children,Tenant,Just Right,0.80180,601,734,0.77294,0.83066
1986,Couple without children,Tenant,A Bit Too Large,0.05644,37,734,0.03973,0.07315
1986,Single parent,Owner,Just Right,0.74865,64,64,0.64154,0.85577
1986,Single parent,Tenant,A Bit Too Small,0.15320,34,171,0.09905,0.20734
1986,Single parent,Tenant,Just Right,0.74363,137,171,0.67799,0.80927
1986,Couple with children,Owner,A Bit Too Small,0.09641,96,943,0.07756,0.11526
1986,Couple with children,Owner,Just Right,0.80813,773,943,0.78298,0.83327
1986,Couple with children,Owner,A Bit Too Large,0.08389,74,943,0.06619,0.10160
1986,Couple with children,Tenant,Much Too Small,0.04979,79,1233,0.03764,0.06193
1986,Couple with children,Tenant,A Bit Too Small,0.21252,294,1233,0.18967,0.23536
1986,Couple with children,Tenant,Just Right,0.70669,860,1233,0.68127,0.73212
1986,Multi-generational household,Owner,Just Right,0.72902,48,48,0.60194,0.85609
1986,Multi-generational household,Tenant,Just Right,0.86090,39,39,0.75087,0.97093
1986,Other Combinations,Owner,Just Right,0.74007,37,37,0.59679,0.88334
1986,Other Combinations,Tenant,Just Right,0.80485,57,57,0.70104,0.90865
1987,Single-person household,Owner,Just Right,0.76819,171,206,0.71043,0.82596
1987,Single-person household,Owner,A Bit Too Large,0.16167,35,206,0.11127,0.21207
1987,Single-person household,Tenant,A Bit Too Small,0.11291,112,814,0.09116,0.13467
1987,Single-person household,Tenant,Just Right,0.77605,641,814,0.74739,0.80471
1987,Single-person household,Tenant,A Bit Too Large,0.08082,61,814,0.06208,0.09956
1987,Couple without children,Owner,Just Right,0.81234,384,446,0.77606,0.84861
1987,Couple without children,Owner,A Bit Too Large,0.13536,62,446,0.10358,0.16715
1987,Couple without children,Tenant,A Bit Too Small,0.12364,88,703,0.09929,0.14799
1987,Couple without children,Tenant,Just Right,0.80312,573,703,0.77370,0.83253
1987,Couple without children,Tenant,A Bit Too Large,0.06252,42,703,0.04461,0.08043
1987,Single parent,Owner,Just Right,0.77737,69,69,0.67849,0.87625
1987,Single parent,Tenant,A Bit Too Small,0.13245,32,165,0.08057,0.18433
1987,Single parent,Tenant,Just Right,0.77039,133,165,0.70602,0.83476
1987,Couple with children,Owner,A Bit Too Small,0.09278,90,923,0.07406,0.11151
1987,Couple with children,Owner,Just Right,0.81416,762,923,0.78905,0.83927
1987,Couple with children,Owner,A Bit Too Large,0.08220,71,923,0.06447,0.09993
1987,Couple with children,Tenant,Much Too Small,0.03837,60,1213,0.02756,0.04919
1987,Couple with children,Tenant,A Bit Too Small,0.20129,280,1213,0.17871,0.22386
1987,Couple with children,Tenant,Just Right,0.72776,873,1213,0.70270,0.75282
1987,Multi-generational household,Owner,Just Right,0.73744,47,47,0.61028,0.86460
1987,Multi-generational household,Tenant,Just Right,0.75018,38,38,0.61069,0.88967
1987,Other Combinations,Owner,Just Right,0.76091,33,33,0.61313,0.90870
1987,Other Combinations,Tenant,Just Right,0.90180,61,61,0.82651,0.97710
1988,Single-person household,Owner,Just Right,0.76052,171,206,0.70210,0.81894
1988,Single-person household,Owner,A Bit Too Large,0.15959,35,206,0.10946,0.20972
1988,Single-person household,Tenant,A Bit Too Small,0.11110,99,782,0.08906,0.13314
1988,Single-person household,Tenant,Just Right,0.77847,624,782,0.74935,0.80760
1988,Single-person household,Tenant,A Bit Too Large,0.08212,59,782,0.06286,0.10137
1988,Couple without children,Owner,Just Right,0.80770,364,423,0.77010,0.84531
1988,Couple without children,Owner,A Bit Too Large,0.13611,59,423,0.10339,0.16882
1988,Couple without children,Tenant,A Bit Too Small,0.13372,95,703,0.10855,0.15890
1988,Couple without children,Tenant,Just Right,0.80826,570,703,0.77914,0.83739
