year,hhtyp,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,Much Too Small,0.01891,38,1287,0.01146,0.02635
1984,Single-person household,West,A Bit Too Small,0.09120,137,1287,0.07547,0.10694
1984,Single-person household,West,Just Right,0.75414,956,1287,0.73060,0.77767
1984,Single-person household,West,A Bit Too Large,0.10905,122,1287,0.09201,0.12608
1984,Single-person household,West,Much Too Large,0.02670,34,1287,0.01789,0.03551
1984,Couple without children,West,A Bit Too Small,0.10400,157,1322,0.08754,0.12046
1984,Couple without children,West,Just Right,0.80094,1069,1322,0.77941,0.82247
1984,Couple without children,West,A Bit Too Large,0.08053,96,1322,0.06586,0.09521
1984,Single parent,West,A Bit Too Small,0.13117,48,289,0.09218,0.17016
1984,Single parent,West,Just Right,0.76413,241,289,0.71510,0.81317
1984,Couple with children,West,Much Too Small,0.03910,141,2624,0.03168,0.04652
1984,Couple with children,West,A Bit Too Small,0.16892,523,2624,0.15458,0.18326
1984,Couple with children,West,Just Right,0.73676,1855,2624,0.71990,0.75361
1984,Couple with children,West,A Bit Too Large,0.04944,105,2624,0.04114,0.05774
1984,Multi-generational household,West,Just Right,0.66905,83,83,0.56720,0.77090
1984,Other Combinations,West,Just Right,0.78326,99,99,0.70168,0.86484
1985,Single-person household,West,Much Too Small,0.02041,33,1108,0.01208,0.02874
1985,Single-person household,West,A Bit Too Small,0.08892,121,1108,0.07215,0.10568
1985,Single-person household,West,Just Right,0.76478,848,1108,0.73980,0.78977
1985,Single-person household,West,A Bit Too Large,0.10357,106,1108,0.08562,0.12152
1985,Couple without children,West,A Bit Too Small,0.07849,111,1190,0.06321,0.09378
1985,Couple without children,West,Just Right,0.81727,981,1190,0.79531,0.83924
1985,Couple without children,West,A Bit Too Large,0.08733,98,1190,0.07128,0.10338
1985,Single parent,West,A Bit Too Small,0.13660,49,255,0.09437,0.17884
1985,Single parent,West,Just Right,0.73269,206,255,0.67826,0.78712
1985,Couple with children,West,Much Too Small,0.03406,111,2347,0.02672,0.04139
1985,Couple with children,West,A Bit Too Small,0.16014,444,2347,0.14530,0.17498
1985,Couple with children,West,Just Right,0.74850,1697,2347,0.73095,0.76606
1985,Couple with children,West,A Bit Too Large,0.05176,95,2347,0.04280,0.06073
1985,Multi-generational household,West,Just Right,0.75151,83,83,0.65798,0.84505
1985,Other Combinations,West,Just Right,0.79415,94,94,0.71198,0.87633
1986,Single-person household,West,Much Too Small,0.02067,31,1045,0.01204,0.02930
1986,Single-person household,West,A Bit Too Small,0.10283,130,1045,0.08440,0.12125
1986,Single-person household,West,Just Right,0.76203,792,1045,0.73619,0.78786
1986,Single-person household,West,A Bit Too Large,0.09476,92,1045,0.07700,0.11253
1986,Couple without children,West,A Bit Too Small,0.08733,109,1179,0.07120,0.10345
1986,Couple without children,West,Just Right,0.80988,974,1179,0.78747,0.83229
1986,Couple without children,West,A Bit Too Large,0.09051,96,1179,0.07412,0.10689
1986,Single parent,West,A Bit Too Small,0.11583,39,241,0.07534,0.15632
1986,Single parent,West,Just Right,0.74579,202,241,0.69071,0.80088
1986,Couple with children,West,Much Too Small,0.02687,88,2211,0.02013,0.03361
1986,Couple with children,West,A Bit Too Small,0.14882,390,2211,0.13398,0.16366
1986,Couple with children,West,Just Right,0.76246,1634,2211,0.74472,0.78021
1986,Couple with children,West,A Bit Too Large,0.05762,99,2211,0.04790,0.06733
1986,Multi-generational household,West,Just Right,0.77061,87,87,0.68175,0.85947
1986,Other Combinations,West,Just Right,0.77365,94,94,0.68860,0.85870
1987,Single-person household,West,A Bit Too Small,0.09443,120,1029,0.07656,0.11231
1987,Single-person household,West,Just Right,0.77460,813,1029,0.74905,0.80014
1987,Single-person household,West,A Bit Too Large,0.09880,96,1029,0.08056,0.11704
1987,Couple without children,West,A Bit Too Small,0.08593,106,1167,0.06984,0.10201
1987,Couple without children,West,Just Right,0.80715,957,1167,0.78451,0.82980
1987,Couple without children,West,A Bit Too Large,0.09439,104,1167,0.07761,0.11117
1987,Single parent,West,A Bit Too Small,0.10365,38,240,0.06501,0.14229
1987,Single parent,West,Just Right,0.77296,202,240,0.71985,0.82607
1987,Couple with children,West,Much Too Small,0.02158,68,2169,0.01547,0.02770
1987,Couple with children,West,A Bit Too Small,0.14306,370,2169,0.12832,0.15780
1987,Couple with children,West,Just Right,0.77412,1635,2169,0.75652,0.79173
1987,Couple with children,West,A Bit Too Large,0.05748,96,2169,0.04768,0.06728
1987,Multi-generational household,West,Just Right,0.74164,85,85,0.64803,0.83525
1987,Other Combinations,West,Just Right,0.83810,94,94,0.76323,0.91296
