"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 Jahre alt","","","","",""
"1985","35-65 Jahre alt","34.95","40","3602","34.59","35.31"
"1985","66 und Ã¤lter","27.91","20","40","21.22","34.6"
"1986","16-34 Jahre alt","","","","",""
"1986","35-65 Jahre alt","34.92","40","3517","34.56","35.28"
"1986","66 und Ã¤lter","","","","",""
"1987","16-34 Jahre alt","","","","",""
"1987","35-65 Jahre alt","35.64","40","3380","35.3","35.98"
"1987","66 und Ã¤lter","20","15.73","31","13.42","26.58"
"1988","16-34 Jahre alt","","","","",""
"1988","35-65 Jahre alt","34.93","38","3292","34.58","35.28"
"1988","66 und Ã¤lter","22.69","20","32","16.86","28.52"
"1989","16-34 Jahre alt","","","","",""
"1989","35-65 Jahre alt","","","","",""
"1989","66 und Ã¤lter","","","","",""
"1990","16-34 Jahre alt","35.18","38","3061","34.88","35.48"
"1990","35-65 Jahre alt","33.85","37","3275","33.52","34.18"
"1990","66 und Ã¤lter","","","","",""
"1991","16-34 Jahre alt","35.76","38","3601","35.46","36.06"
"1991","35-65 Jahre alt","35.06","38","4835","34.79","35.33"
"1991","66 und Ã¤lter","20.24","20","35","15.32","25.16"
"1992","16-34 Jahre alt","","","","",""
"1992","35-65 Jahre alt","33.93","37","3142","33.58","34.28"
"1992","66 und Ã¤lter","","","","",""
"1993","16-34 Jahre alt","35.64","38","3223","35.33","35.95"
"1993","35-65 Jahre alt","34.62","38","4340","34.33","34.91"
"1993","66 und Ã¤lter","","","","",""
"1994","16-34 Jahre alt","36.02","38","3051","35.72","36.32"
"1994","35-65 Jahre alt","34.64","38","4142","34.35","34.93"
"1994","66 und Ã¤lter","","","","",""
"1995","16-34 Jahre alt","35.03","38","3232","34.65","35.41"
"1995","35-65 Jahre alt","33.6","37","4421","33.26","33.94"
"1995","66 und Ã¤lter","","","","",""
"1996","16-34 Jahre alt","","","","",""
"1996","35-65 Jahre alt","","","","",""
"1996","66 und Ã¤lter","","","","",""
"1997","16-34 Jahre alt","","","","",""
"1997","35-65 Jahre alt","35.07","38","4235","34.77","35.37"
"1997","66 und Ã¤lter","17.8","10","30","12.76","22.84"
"1998","16-34 Jahre alt","35.99","38","3061","35.67","36.31"
"1998","35-65 Jahre alt","34.22","37","4809","33.93","34.51"
"1998","66 und Ã¤lter","18.65","15","35","13.02","24.28"
"1999","16-34 Jahre alt","35.89","38","3059","35.53","36.25"
"1999","35-65 Jahre alt","34.47","37","4820","34.17","34.77"
"1999","66 und Ã¤lter","17.42","15","40","13.09","21.75"
"2000","16-34 Jahre alt","35.87","38","4508","35.57","36.17"
"2000","35-65 Jahre alt","34.31","37.5","8659","34.09","34.53"
"2000","66 und Ã¤lter","21.75","20","73","18.09","25.41"
"2001","16-34 Jahre alt","35.76","38.5","4019","35.43","36.09"
"2001","35-65 Jahre alt","34.68","38","8131","34.45","34.91"
"2001","66 und Ã¤lter","19.31","15","83","15.91","22.71"
"2002","16-34 Jahre alt","35.96","38.5","3815","35.63","36.29"
"2002","35-65 Jahre alt","34.07","37.5","8958","33.84","34.3"
"2002","66 und Ã¤lter","","","","",""
"2003","16-34 Jahre alt","35.53","38","3551","35.18","35.88"
"2003","35-65 Jahre alt","34.46","38","8543","34.23","34.69"
"2003","66 und Ã¤lter","","","","",""
"2004","16-34 Jahre alt","36.06","38.5","3365","35.71","36.41"
"2004","35-65 Jahre alt","34.77","38","8344","34.54","35"
"2004","66 und Ã¤lter","","","","",""
"2005","16-34 Jahre alt","36.41","39","3102","36.05","36.77"
"2005","35-65 Jahre alt","34.96","38","7996","34.73","35.19"
"2005","66 und Ã¤lter","","","","",""
"2006","16-34 Jahre alt","36.41","39.5","3106","36.05","36.77"
"2006","35-65 Jahre alt","34.9","38.5","8644","34.68","35.12"
"2006","66 und Ã¤lter","","","","",""
"2007","16-34 Jahre alt","","","","",""
"2007","35-65 Jahre alt","35.28","38.5","8179","35.05","35.51"
"2007","66 und Ã¤lter","","","","",""
"2008","16-34 Jahre alt","","","","",""
"2008","35-65 Jahre alt","34.55","38","7840","34.32","34.78"
"2008","66 und Ã¤lter","","","","",""
"2009","16-34 Jahre alt","","","","",""
"2009","35-65 Jahre alt","34.88","38","7233","34.64","35.12"
"2009","66 und Ã¤lter","","","","",""
"2010","16-34 Jahre alt","","","","",""
"2010","35-65 Jahre alt","34.67","38","7776","34.44","34.9"
"2010","66 und Ã¤lter","","","","",""
"2011","16-34 Jahre alt","36.15","40","3185","35.78","36.52"
"2011","35-65 Jahre alt","35.08","38","9669","34.87","35.29"
"2011","66 und Ã¤lter","","","","",""
"2012","16-34 Jahre alt","35.33","39","3082","34.95","35.71"
"2012","35-65 Jahre alt","34.54","38","9572","34.33","34.75"
"2012","66 und Ã¤lter","","","","",""
"2013","16-34 Jahre alt","","","","",""
"2013","35-65 Jahre alt","34.31","37.5","8918","34.1","34.52"
"2013","66 und Ã¤lter","","","","",""
"2014","16-34 Jahre alt","34.62","38","3211","34.26","34.98"
"2014","35-65 Jahre alt","","","","",""
"2014","66 und Ã¤lter","","","","",""
"2015","16-34 Jahre alt","35.06","38.5","4175","34.75","35.37"
"2015","35-65 Jahre alt","","","","",""
"2015","66 und Ã¤lter","","","","",""
"2016","16-34 Jahre alt","34.49","38","3610","34.16","34.82"
