year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1998,Rural regions,East,1418,36.49333,35.97913,37.00753,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
1999,Urban regions,West,4418,34.09557,33.76977,34.42137,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,36.00000,37.00000
1999,Urban regions,East,704,36.95568,36.25524,37.65612,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,39.00000,40.00000
1999,Rural regions,West,1341,34.89668,34.26401,35.52934,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.00000,38.00000
1999,Rural regions,East,1425,37.40649,36.94538,37.86761,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2000,Urban regions,West,7617,34.13179,33.88408,34.37950,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,37.50000,37.50000
2000,Urban regions,East,1002,36.88587,36.33103,37.44071,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,38.50000,40.00000
2000,Rural regions,West,2476,34.79400,34.36359,35.22441,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.50000,38.00000
2000,Rural regions,East,2086,36.99965,36.61221,37.38710,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2001,Urban regions,West,7051,34.30671,34.05037,34.56305,30.00000,37.63403,40.00000,15.00000,55.00000,37.7,37.50000,38.00000
2001,Urban regions,East,961,36.98361,36.43461,37.53260,35.00000,39.50000,40.00000,27.50000,47.50000,39.5,38.48750,40.00000
2001,Rural regions,West,2232,34.98032,34.51684,35.44380,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.50000,38.00000
2001,Rural regions,East,1932,37.12460,36.73391,37.51529,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2002,Urban regions,West,7643,34.02239,33.77197,34.27281,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,37.50000,38.00000
2002,Urban regions,East,974,36.63802,36.08402,37.19202,35.00000,39.00000,40.00000,27.50000,47.50000,39.0,38.00000,40.00000
2002,Rural regions,West,2336,34.05613,33.59878,34.51348,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,36.50000,38.00000
2002,Rural regions,East,1877,37.56523,37.20752,37.92294,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2003,Urban regions,West,7227,34.13538,33.88284,34.38791,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,37.50000,38.00000
2003,Urban regions,East,928,36.87537,36.32054,37.43019,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,38.50000,40.00000
2003,Rural regions,West,2202,33.99277,33.53586,34.44967,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,37.00000,38.00000
2003,Rural regions,East,1812,37.48873,37.10253,37.87492,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2004,Urban regions,West,6968,34.38636,34.13185,34.64088,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.50000,38.00000
2004,Urban regions,East,951,36.70383,36.18014,37.22751,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,38.00000,40.00000
2004,Rural regions,West,2140,34.80416,34.34530,35.26301,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.59750,38.50000
2004,Rural regions,East,1743,37.15682,36.77512,37.53852,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2005,Urban regions,West,6634,34.73152,34.46944,34.99360,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2005,Urban regions,East,887,37.09469,36.52807,37.66131,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,39.00000,40.00000
2005,Rural regions,West,2012,34.95517,34.49156,35.41877,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2005,Rural regions,East,1654,36.97550,36.57280,37.37820,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2006,Urban regions,West,6978,34.54103,34.29368,34.78837,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2006,Urban regions,East,919,37.19365,36.64892,37.73839,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2006,Rural regions,West,2233,34.93679,34.49516,35.37842,30.00000,38.50000,40.00000,15.00000,55.00000,38.5,38.00000,38.50000
2006,Rural regions,East,1759,37.50161,37.10427,37.89894,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2007,Urban regions,West,6559,34.80961,34.54879,35.07042,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2007,Urban regions,East,877,36.76362,36.17431,37.35294,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,39.00000,40.00000
2007,Rural regions,West,2120,35.07072,34.59296,35.54848,30.00000,38.50000,40.00000,15.00000,55.00000,38.5,38.00000,38.50000
2007,Rural regions,East,1721,37.80922,37.39784,38.22061,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2008,Urban regions,West,6272,34.20107,33.94388,34.45827,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.00000
2008,Urban regions,East,867,36.78398,36.19750,37.37045,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,39.48750,40.00000
