year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,4872,34.849790722014774,34.701512678262745,34.9980687657668,30.0,40.0,40.0,15.0,55.0,40.0,40.0,40.0
1985,Rural regions,1276,35.62850554362333,35.326151785629115,35.93085930161755,30.0,40.0,40.0,15.0,55.0,40.0,40.0,40.0
1986,Urban regions,4802,34.81006068685498,34.671859384336194,34.94826198937377,30.0,40.0,40.0,15.0,55.0,40.0,40.0,42.0
1986,Rural regions,1252,35.92474978294638,35.6257030480499,36.22379651784286,30.0,40.0,40.0,15.0,55.0,40.0,40.0,40.0
1987,Urban regions,4649,35.64857264154303,35.51124943979825,35.78589584328782,35.0,39.0,40.0,27.5,47.5,39.0,38.0,39.0
1987,Rural regions,1244,36.19964952875763,35.907192916617355,36.49210614089791,35.0,40.0,40.0,27.5,47.5,40.0,40.0,41.0
1988,Urban regions,4548,35.19325238023026,35.05462479812075,35.33187996233978,30.0,38.0,40.0,15.0,55.0,38.0,38.0,38.0
1988,Rural regions,1170,35.62298231300571,35.3325706921736,35.91339393383782,31.27476515458221,40.0,40.0,18.186912886455524,53.08785226812669,40.0,40.0,42.0
1989,Urban regions,4274,34.93356582190686,34.793868686982215,35.073262956831506,30.0,38.0,40.0,15.0,55.0,38.0,38.0,38.0
1989,Rural regions,1081,35.946580955607686,35.632493386225434,36.26066852498994,32.0,39.0,40.0,20.0,52.0,39.0,38.0,40.0
1990,Urban regions,4957,34.27909813971942,34.151250257164584,34.40694602227426,30.0,37.0,40.0,15.0,55.0,37.0,37.0,37.0
1990,Rural regions,1261,34.68509719767695,34.437108672590085,34.93308572276382,30.0,38.0,40.0,15.0,55.0,38.0,38.0,39.0
1991,Urban regions,5375,34.683901900487534,34.556747307472186,34.81105649350288,30.0,38.0,40.0,15.0,55.0,38.0,38.0,39.0
1991,Rural regions,2946,36.37265796392767,36.19583207186859,36.54948385598676,35.0,39.0,40.0,27.5,47.5,39.0,38.0,40.0
