year,sampreg,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,male,,,,,,,,,,,,
1984,West,female,,,,,,,,,,,,
1985,West,male,3822,38.84306733113998,38.705332077404144,38.98080258487581,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1985,West,female,2388,29.361589458133405,29.142148599331247,29.581030316935564,20.0,30.0,40.0,0.0,70.0,30.0,30.0,30.0
1986,West,male,3754,38.53584361748402,38.407346751211655,38.66434048375638,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1986,West,female,2356,29.823795148334813,29.609944837026706,30.03764545964292,20.0,30.0,40.0,0.0,70.0,30.0,30.0,30.0
1987,West,male,3650,39.19829395799582,39.07330587037725,39.3232820456144,36.0,40.0,40.0,30.0,46.0,40.0,40.0,40.0
1987,West,female,2302,30.621345379876203,30.408060341257606,30.8346304184948,20.0,35.0,40.0,0.0,70.0,35.0,35.0,38.0
1988,West,male,3523,38.85465913154759,38.731537850118976,38.97778041297621,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1988,West,female,2259,30.007138924804792,29.795138316378527,30.219139533231058,20.0,32.0,40.0,0.0,70.0,32.0,29.0,34.0
1989,West,male,3275,38.563345362448686,38.43776528381817,38.6889254410792,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
1989,West,female,2107,30.065929189205967,29.842762149029763,30.28909622938217,20.0,30.0,39.0,0.0,67.5,30.0,25.0,30.0
1990,West,male,3618,38.12750538135622,38.018701473459416,38.23630928925303,35.0,39.0,40.0,27.5,47.5,39.0,39.0,40.0
1990,West,female,2717,29.46835991708292,29.287078770251103,29.64964106391474,20.0,30.0,38.0,0.0,65.0,30.0,25.0,30.0
1990,East,male,,,,,,,,,,,,
1990,East,female,,,,,,,,,,,,
1991,West,male,3380,37.91846309819991,37.79272514520494,38.044201051194875,35.0,38.0,40.0,27.5,47.5,38.0,37.0,38.0
1991,West,female,2320,29.180452689690032,28.967049271215856,29.393856108164208,20.0,30.0,38.0,0.0,65.0,30.0,28.0,30.0
1991,East,male,1473,40.83495167369297,40.6273506626329,41.04255268475304,40.0,40.0,42.0,37.0,45.0,40.0,40.0,40.0
1991,East,female,1268,35.729417189147014,35.516577971465445,35.942256406828584,30.0,40.0,40.0,15.0,55.0,40.0,40.0,40.0
1992,West,male,3274,37.94783790972173,37.81951250739506,38.07616331204839,35.0,39.0,40.0,27.5,47.5,39.0,38.0,40.0
1992,West,female,2246,29.16654480572325,28.957165592633096,29.375924018813407,20.0,30.0,38.0,0.0,60.0,30.0,30.0,30.0
1992,East,male,,,,,,,,,,,,
1992,East,female,,,,,,,,,,,,
1993,West,male,3154,38.26431419627149,38.140521553082436,38.38810683946055,35.0,40.0,40.0,27.5,47.5,40.0,40.0,41.0
1993,West,female,2215,28.763475865762096,28.547553214709165,28.979398516815028,20.0,30.0,38.0,0.0,65.0,30.0,30.0,30.0
1993,East,male,1191,39.5596226877618,39.33818375556738,39.781061619956226,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1993,East,female,997,34.99498663094433,34.73864021535799,35.251333046530675,30.0,38.0,40.0,15.0,55.0,38.0,36.974999999999994,39.025
1994,West,male,2953,38.20650007555005,38.07752894135818,38.335471209741925,36.0,40.0,40.0,30.0,46.0,40.0,40.0,41.0
1994,West,female,2124,29.13082087710601,28.919443025102336,29.342198729109686,20.0,30.0,38.0,0.0,65.0,30.0,30.0,30.0
1994,East,male,1135,40.13805214212082,39.93193999692354,40.3441642873181,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
