year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,6210,35.05858,34.74247,35.40646,30.00000,40.00000,40.00000,15.00000,55.00000,40.0,40.00000,40.00000
1986,West,6110,35.07952,34.80791,35.34796,30.00000,40.00000,40.00000,15.00000,55.00000,40.0,40.00000,40.00000
1987,West,5952,35.78514,35.49407,36.09760,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,41.00000
1988,West,5782,35.30865,34.99828,35.61921,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.00000,38.00000
1989,West,5382,35.16106,34.81465,35.49773,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.00000
1990,West,6335,34.41165,34.14942,34.68083,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,37.00000,37.00000
1990,East,,,,,,,,,,,,
1991,West,5700,34.31126,34.00107,34.60065,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,36.00000,37.00000
1991,East,2741,38.55727,38.22637,38.96710,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
1992,West,5520,34.36304,34.06104,34.67712,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,36.00000,37.00000
1992,East,,,,,,,,,,,,
1993,West,5369,34.34986,34.02749,34.67363,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,39.00000
1993,East,2188,37.56647,37.20508,37.96964,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
1994,West,5077,34.42645,34.04275,34.77541,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,39.00000
1994,East,2113,38.14520,37.80890,38.47090,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
1995,West,5498,33.66189,33.30518,34.00798,30.00000,37.00000,40.00000,15.00000,55.00000,37.0,37.00000,37.02500
