year,age_gr,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,Pre-primary Level,,,,,,,,,,,,
1984,0-16 y.,Primary Level,,,,,,,,,,,,
1984,0-16 y.,Lower Secondary Level,,,,,,,,,,,,
1984,17-29 y.,Pre-primary Level,,,,,,,,,,,,
1984,17-29 y.,Primary Level,,,,,,,,,,,,
1984,17-29 y.,Lower Secondary Level,,,,,,,,,,,,
1984,17-29 y.,Upper Secondary Level,,,,,,,,,,,,
1984,17-29 y.,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,17-29 y.,First Stage of Tertiary Education,,,,,,,,,,,,
1984,17-29 y.,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,30-45 y.,Primary Level,,,,,,,,,,,,
1984,30-45 y.,Lower Secondary Level,,,,,,,,,,,,
1984,30-45 y.,Upper Secondary Level,,,,,,,,,,,,
1984,30-45 y.,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,30-45 y.,First Stage of Tertiary Education,,,,,,,,,,,,
1984,30-45 y.,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,46-65 y.,Primary Level,,,,,,,,,,,,
1984,46-65 y.,Lower Secondary Level,,,,,,,,,,,,
1984,46-65 y.,Upper Secondary Level,,,,,,,,,,,,
1984,46-65 y.,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,46-65 y.,First Stage of Tertiary Education,,,,,,,,,,,,
1984,46-65 y.,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,66 and older,Primary Level,,,,,,,,,,,,
1984,66 and older,Lower Secondary Level,,,,,,,,,,,,
1984,66 and older,Upper Secondary Level,,,,,,,,,,,,
1984,66 and older,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,66 and older,First Stage of Tertiary Education,,,,,,,,,,,,
1984,66 and older,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,0-16 y.,Pre-primary Level,,,,,,,,,,,,
1985,0-16 y.,Lower Secondary Level,,,,,,,,,,,,
1985,0-16 y.,Upper Secondary Level,,,,,,,,,,,,
1985,17-29 y.,Pre-primary Level,,,,,,,,,,,,
1985,17-29 y.,Primary Level,52,7.46503,5.81273,9.11732,2.00000,8.00000,10.00000,0.00000,22.00000,8.00000,3.00000,10.00000
1985,17-29 y.,Lower Secondary Level,500,10.03704,8.84715,11.22693,3.00000,6.00000,12.00000,1.00000,25.50000,6.00000,5.00000,7.00000
1985,17-29 y.,Upper Secondary Level,886,11.91217,11.02009,12.80425,3.00000,8.00000,15.00000,0.00000,33.00000,8.00000,7.00000,9.00000
1985,17-29 y.,Post-secondary Non-tertiary Level,56,12.47453,7.95187,16.99720,3.00000,8.00000,15.00000,1.00000,33.00000,8.00000,5.00000,10.00000
1985,17-29 y.,First Stage of Tertiary Education,68,14.04994,9.85952,18.24035,3.00000,9.70347,16.61808,0.00000,37.04521,10.00000,5.00000,12.00000
1985,17-29 y.,Second Stage of Tertiary Education,77,16.16186,11.46439,20.85933,5.00000,8.00000,16.00000,1.00000,32.50000,8.00000,7.00000,12.02500
1985,30-45 y.,Primary Level,154,7.47562,6.16116,8.79008,2.00000,4.00000,10.00000,1.00000,22.00000,4.00000,4.00000,6.00000
1985,30-45 y.,Lower Secondary Level,362,8.32349,7.45193,9.19505,2.00000,6.00000,12.00000,1.00000,27.00000,6.00000,4.97500,7.00000
1985,30-45 y.,Upper Secondary Level,1103,12.60159,11.48086,13.72232,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,7.00000,8.00000
1985,30-45 y.,Post-secondary Non-tertiary Level,57,12.21590,9.07994,15.35187,4.00000,8.00000,15.00000,1.00000,31.50000,8.00000,5.00000,10.02500
1985,30-45 y.,First Stage of Tertiary Education,152,13.54919,10.24555,16.85283,3.93463,9.01828,17.00000,1.00000,36.59806,9.00000,8.00000,10.00000
1985,30-45 y.,Second Stage of Tertiary Education,267,16.22233,13.85855,18.58611,4.00000,10.00000,20.00000,1.00000,44.00000,10.00000,7.97500,10.00000
1985,46-65 y.,Primary Level,175,7.25279,5.81776,8.68782,1.00000,4.00000,10.00000,0.00000,23.50000,4.00000,2.97500,5.00000
1985,46-65 y.,Lower Secondary Level,343,8.64592,7.31938,9.97246,2.00000,5.00000,10.00000,0.00000,22.00000,5.00000,4.00000,6.00000
1985,46-65 y.,Upper Secondary Level,723,12.11168,11.00640,13.21696,3.00000,8.00000,15.00000,1.00000,33.00000,8.00000,7.00000,9.00000
1985,46-65 y.,Post-secondary Non-tertiary Level,30,11.01031,7.95399,14.06663,3.00000,9.06746,18.00000,1.00000,28.00000,9.00000,3.00000,18.00000
1985,46-65 y.,First Stage of Tertiary Education,98,14.94448,7.11056,22.77841,3.00000,7.00000,15.00000,1.00000,33.00000,7.00000,6.00000,10.00000
