year,age_gr,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,0-16 y.,Urban regions,,,,,,,,,,,,
1985,0-16 y.,Rural regions,,,,,,,,,,,,
1985,17-29 y.,Urban regions,1325,11.54284,10.85901,12.22667,4.00000,8.00000,15.00000,0.00000,31.50000,8.00000,7.00000,8.00000
1985,17-29 y.,Rural regions,340,11.93639,9.96229,13.91049,2.00000,5.00000,15.00000,1.00000,34.50000,5.00000,5.00000,7.00000
1985,30-45 y.,Urban regions,1706,12.08613,11.34359,12.82867,3.00000,8.00000,15.00000,0.00000,33.00000,8.00000,7.00000,8.00000
1985,30-45 y.,Rural regions,405,14.74358,12.26126,17.22591,3.00000,7.00000,17.00000,0.00000,38.00000,7.00000,5.00000,9.00000
1985,46-65 y.,Urban regions,1253,11.47344,10.47028,12.47660,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,7.00000,8.00000
1985,46-65 y.,Rural regions,272,11.52857,9.69538,13.36175,2.00000,5.00000,15.00000,1.00000,34.50000,5.00000,5.00000,8.00000
1985,66 and older,Urban regions,,,,,,,,,,,,
1985,66 and older,Rural regions,,,,,,,,,,,,
1986,0-16 y.,Urban regions,,,,,,,,,,,,
1986,0-16 y.,Rural regions,,,,,,,,,,,,
1986,17-29 y.,Urban regions,,,,,,,,,,,,
1986,17-29 y.,Rural regions,,,,,,,,,,,,
1986,30-45 y.,Urban regions,,,,,,,,,,,,
1986,30-45 y.,Rural regions,,,,,,,,,,,,
1986,46-65 y.,Urban regions,,,,,,,,,,,,
1986,46-65 y.,Rural regions,,,,,,,,,,,,
1986,66 and older,Urban regions,,,,,,,,,,,,
1986,66 and older,Rural regions,,,,,,,,,,,,
1987,0-16 y.,Urban regions,,,,,,,,,,,,
1987,0-16 y.,Rural regions,,,,,,,,,,,,
1987,17-29 y.,Urban regions,,,,,,,,,,,,
1987,17-29 y.,Rural regions,,,,,,,,,,,,
1987,30-45 y.,Urban regions,,,,,,,,,,,,
1987,30-45 y.,Rural regions,,,,,,,,,,,,
1987,46-65 y.,Urban regions,,,,,,,,,,,,
1987,46-65 y.,Rural regions,,,,,,,,,,,,
1987,66 and older,Urban regions,,,,,,,,,,,,
1987,66 and older,Rural regions,,,,,,,,,,,,
1988,0-16 y.,Urban regions,,,,,,,,,,,,
1988,0-16 y.,Rural regions,,,,,,,,,,,,
1988,17-29 y.,Urban regions,,,,,,,,,,,,
1988,17-29 y.,Rural regions,,,,,,,,,,,,
1988,30-45 y.,Urban regions,,,,,,,,,,,,
1988,30-45 y.,Rural regions,,,,,,,,,,,,
1988,46-65 y.,Urban regions,,,,,,,,,,,,
1988,46-65 y.,Rural regions,,,,,,,,,,,,
1988,66 and older,Urban regions,,,,,,,,,,,,
1988,66 and older,Rural regions,,,,,,,,,,,,
1989,0-16 y.,Urban regions,,,,,,,,,,,,
1989,0-16 y.,Rural regions,,,,,,,,,,,,
1989,17-29 y.,Urban regions,,,,,,,,,,,,
1989,17-29 y.,Rural regions,,,,,,,,,,,,
1989,30-45 y.,Urban regions,,,,,,,,,,,,
1989,30-45 y.,Rural regions,,,,,,,,,,,,
1989,46-65 y.,Urban regions,,,,,,,,,,,,
1989,46-65 y.,Rural regions,,,,,,,,,,,,
1989,66 and older,Urban regions,,,,,,,,,,,,
1989,66 and older,Rural regions,,,,,,,,,,,,
1990,0-16 y.,Urban regions,,,,,,,,,,,,
1990,0-16 y.,Rural regions,,,,,,,,,,,,
1990,17-29 y.,Urban regions,1202,14.13375,12.97278,15.29472,4.00000,8.00000,17.00000,1.00000,36.50000,8.00000,8.00000,10.00000
1990,17-29 y.,Rural regions,336,17.14881,14.02876,20.26887,4.00000,10.59493,20.00000,1.00000,44.00000,10.00000,8.00000,15.00000
1990,30-45 y.,Urban regions,1481,13.41397,12.48938,14.33857,4.00000,8.00000,16.00000,0.00000,34.00000,8.00000,8.00000,10.00000
1990,30-45 y.,Rural regions,346,14.59810,12.65555,16.54065,3.00000,10.00000,18.00000,1.00000,40.50000,10.00000,6.97500,12.00000
1990,46-65 y.,Urban regions,1142,10.99324,10.27668,11.70979,3.00000,7.00000,14.00000,0.00000,30.50000,7.00000,6.00000,7.00000
1990,46-65 y.,Rural regions,245,16.32314,13.24383,19.40245,3.00000,7.00000,20.00000,0.00000,45.50000,7.00000,6.00000,10.00000
1990,66 and older,Urban regions,,,,,,,,,,,,
1990,66 and older,Rural regions,,,,,,,,,,,,
1991,0-16 y.,Urban regions,,,,,,,,,,,,
1991,0-16 y.,Rural regions,,,,,,,,,,,,
1991,17-29 y.,Urban regions,62,64.46493,28.61289,100.31696,6.00000,12.00000,24.48289,0.00000,52.20722,12.00000,9.95000,17.00000
1991,17-29 y.,Rural regions,228,44.33691,32.43022,56.24360,7.00000,14.70409,33.63212,2.00000,73.58031,15.00000,10.00000,17.00000
1991,30-45 y.,Urban regions,82,44.43924,17.83151,71.04696,7.00000,11.76431,20.72006,1.00000,41.30015,12.00000,10.00000,15.00000
1991,30-45 y.,Rural regions,277,46.98916,32.85544,61.12287,7.00000,10.00000,20.00000,1.00000,39.50000,10.00000,10.00000,13.00000
1991,46-65 y.,Urban regions,46,30.66234,-3.70802,65.03269,5.00000,8.00000,15.00000,2.00000,30.00000,8.00000,6.00000,12.00000
1991,46-65 y.,Rural regions,143,23.48341,10.28021,36.68660,7.00000,10.00000,15.00000,1.00000,27.00000,10.00000,10.00000,12.00000
1991,66 and older,Urban regions,,,,,,,,,,,,
1991,66 and older,Rural regions,,,,,,,,,,,,
1992,0-16 y.,Urban regions,,,,,,,,,,,,
1992,0-16 y.,Rural regions,,,,,,,,,,,,
1992,17-29 y.,Urban regions,49,45.02729,13.37839,76.67620,10.00000,15.00000,22.49240,3.00000,41.23100,15.00000,12.00000,17.00000
1992,17-29 y.,Rural regions,180,56.44627,38.08752,74.80501,8.00000,15.00000,30.00000,2.00000,63.00000,15.00000,12.00000,20.00000
1992,30-45 y.,Urban regions,81,23.74534,8.90857,38.58211,7.36200,12.00000,17.69484,1.00000,33.19410,12.00000,8.97500,15.00000
1992,30-45 y.,Rural regions,274,41.70269,28.96508,54.44030,7.00000,14.80172,25.00000,2.00000,52.00000,15.00000,12.00000,15.00000
1992,46-65 y.,Urban regions,44,22.52132,3.66348,41.37917,7.25130,10.00000,15.06174,3.00000,26.77741,10.00000,8.00000,14.02500
1992,46-65 y.,Rural regions,127,22.04912,14.39743,29.70081,6.00000,10.00000,18.30722,1.00000,36.76804,10.00000,9.97500,12.00000
1992,66 and older,Urban regions,,,,,,,,,,,,
1992,66 and older,Rural regions,,,,,,,,,,,,
1993,0-16 y.,Urban regions,,,,,,,,,,,,
1993,0-16 y.,Rural regions,,,,,,,,,,,,
1993,17-29 y.,Urban regions,1333,12.26890,11.59962,12.93819,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,8.00000,10.00000
1993,17-29 y.,Rural regions,632,12.67522,11.44448,13.90597,2.00000,7.00000,20.00000,0.00000,47.00000,7.00000,6.00000,9.00000
1993,30-45 y.,Urban regions,1946,12.14558,11.54167,12.74948,3.00000,7.00000,17.00000,0.00000,38.00000,7.00000,7.00000,8.00000
1993,30-45 y.,Rural regions,1033,10.78873,9.91040,11.66706,2.00000,5.00000,15.00000,0.00000,34.50000,5.00000,5.00000,6.00000
1993,46-65 y.,Urban regions,1408,10.12737,9.43550,10.81924,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,5.00000,7.00000
1993,46-65 y.,Rural regions,595,11.03930,9.48892,12.58967,1.00000,4.00000,13.00000,0.00000,31.00000,4.00000,4.00000,5.00000
1993,66 and older,Urban regions,,,,,,,,,,,,
1993,66 and older,Rural regions,,,,,,,,,,,,
1994,0-16 y.,Urban regions,,,,,,,,,,,,
1994,0-16 y.,Rural regions,,,,,,,,,,,,
1994,17-29 y.,Urban regions,,,,,,,,,,,,
1994,17-29 y.,Rural regions,,,,,,,,,,,,
1994,30-45 y.,Urban regions,,,,,,,,,,,,
1994,30-45 y.,Rural regions,,,,,,,,,,,,
1994,46-65 y.,Urban regions,,,,,,,,,,,,
1994,46-65 y.,Rural regions,,,,,,,,,,,,
1994,66 and older,Urban regions,,,,,,,,,,,,
1994,66 and older,Rural regions,,,,,,,,,,,,
1995,0-16 y.,Urban regions,,,,,,,,,,,,
1995,0-16 y.,Rural regions,,,,,,,,,,,,
1995,17-29 y.,Urban regions,1229,13.30987,12.39428,14.22546,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,10.00000
1995,17-29 y.,Rural regions,674,18.15764,14.53542,21.77986,3.00000,9.00000,20.00000,0.00000,45.50000,9.00000,7.00000,10.00000
1995,30-45 y.,Urban regions,2060,14.28370,13.38320,15.18420,3.00000,8.00000,18.00000,0.00000,40.50000,8.00000,7.00000,10.00000
1995,30-45 y.,Rural regions,1114,13.57709,12.20868,14.94549,2.00000,7.00000,18.00000,0.00000,42.00000,7.00000,6.00000,8.00000
1995,46-65 y.,Urban regions,1387,11.62918,10.65371,12.60465,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,6.00000,8.00000
1995,46-65 y.,Rural regions,661,13.14020,11.23925,15.04114,1.00000,5.00000,15.00000,0.00000,36.00000,5.00000,4.00000,6.00000
1995,66 and older,Urban regions,,,,,,,,,,,,
1995,66 and older,Rural regions,,,,,,,,,,,,
1996,0-16 y.,Urban regions,,,,,,,,,,,,
1996,0-16 y.,Rural regions,,,,,,,,,,,,
1996,17-29 y.,Urban regions,,,,,,,,,,,,
1996,17-29 y.,Rural regions,,,,,,,,,,,,
1996,30-45 y.,Urban regions,,,,,,,,,,,,
1996,30-45 y.,Rural regions,,,,,,,,,,,,
1996,46-65 y.,Urban regions,,,,,,,,,,,,
1996,46-65 y.,Rural regions,,,,,,,,,,,,
1996,66 and older,Urban regions,,,,,,,,,,,,
1996,66 and older,Rural regions,,,,,,,,,,,,
1997,0-16 y.,Urban regions,,,,,,,,,,,,
1997,0-16 y.,Rural regions,,,,,,,,,,,,
1997,17-29 y.,Urban regions,485,30.75929,25.88241,35.63618,11.55801,18.00000,30.00000,2.00000,57.66299,18.00000,15.97500,20.00000
1997,17-29 y.,Rural regions,370,38.81350,31.58136,46.04563,12.00000,20.00000,34.91332,2.00000,69.28331,20.00000,17.00000,22.00000
1997,30-45 y.,Urban regions,949,28.94589,26.18325,31.70852,10.00000,20.00000,30.00000,1.00000,60.00000,20.00000,18.00000,20.00000
1997,30-45 y.,Rural regions,571,28.19595,23.99947,32.39243,11.00000,16.00000,30.00000,2.00000,58.50000,16.00000,15.00000,18.00000
1997,46-65 y.,Urban regions,491,29.05323,23.36385,34.74260,10.00000,15.00000,25.00000,1.00000,47.50000,15.00000,14.00000,16.00000
1997,46-65 y.,Rural regions,339,31.03582,26.43077,35.64086,11.79349,20.00000,32.00000,1.00000,62.30976,20.00000,17.00000,20.00000
1997,66 and older,Urban regions,,,,,,,,,,,,
1997,66 and older,Rural regions,,,,,,,,,,,,
1998,0-16 y.,Urban regions,,,,,,,,,,,,
1998,0-16 y.,Rural regions,,,,,,,,,,,,
1998,17-29 y.,Urban regions,1298,14.27077,13.33772,15.20382,4.00000,8.00000,20.00000,0.00000,44.00000,8.00000,8.00000,10.00000
1998,17-29 y.,Rural regions,701,17.40396,15.71753,19.09040,4.00000,10.00000,23.00000,1.00000,51.50000,10.00000,9.00000,12.00000
1998,30-45 y.,Urban regions,2127,15.92481,15.17875,16.67087,4.00000,10.00000,21.00000,0.00000,46.50000,10.00000,10.00000,11.00000
1998,30-45 y.,Rural regions,1049,16.52100,15.22259,17.81941,3.00000,10.00000,20.00000,0.00000,45.50000,10.00000,8.00000,12.00000
1998,46-65 y.,Urban regions,1271,12.54738,11.79132,13.30344,4.00000,8.00000,16.00000,0.00000,34.00000,8.00000,8.00000,10.00000
1998,46-65 y.,Rural regions,682,13.88362,12.45149,15.31575,2.00000,7.00000,18.00000,0.00000,42.00000,7.00000,6.00000,10.00000
1998,66 and older,Urban regions,,,,,,,,,,,,
1998,66 and older,Rural regions,,,,,,,,,,,,
1999,0-16 y.,Urban regions,,,,,,,,,,,,
1999,0-16 y.,Rural regions,,,,,,,,,,,,
1999,17-29 y.,Urban regions,521,32.89720,25.93414,39.86025,10.00000,18.00000,30.00000,2.00000,60.00000,18.00000,15.00000,20.00000
1999,17-29 y.,Rural regions,394,33.81411,25.45209,42.17614,10.00000,15.00000,30.00000,2.00000,60.00000,15.00000,15.00000,20.00000
1999,30-45 y.,Urban regions,1118,29.11319,26.29088,31.93551,12.00000,20.00000,32.00000,2.00000,62.00000,20.00000,18.00000,20.00000
1999,30-45 y.,Rural regions,699,31.85792,27.08356,36.63227,10.00000,18.00000,30.00000,2.00000,60.00000,18.00000,15.00000,20.00000
1999,46-65 y.,Urban regions,595,24.16939,20.56203,27.77675,10.00000,15.00000,25.00000,2.00000,47.50000,15.00000,15.00000,16.00000
1999,46-65 y.,Rural regions,386,27.78711,23.30565,32.26857,10.00000,15.00000,30.00000,2.00000,60.00000,15.00000,14.00000,18.00000
1999,66 and older,Urban regions,,,,,,,,,,,,
1999,66 and older,Rural regions,,,,,,,,,,,,
2000,0-16 y.,Urban regions,,,,,,,,,,,,
2000,0-16 y.,Rural regions,,,,,,,,,,,,
